% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,8,10,18,23,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute serror_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,slowBody}

@data
218,509,4,0,255,0,normal
211,1355,2,0,255,0,normal
156,634,5,0,255,0,normal
264,3687,1,0,255,0,normal
315,5323,1,0,255,0.02,normal
216,10041,14,0,255,0,normal
293,7643,3,0,255,0,normal
220,1016,9,0,255,0,normal
344,1234,1,0,255,0,normal
224,8230,16,0,255,0,normal
163,30113,1,0,255,0.01,normal
331,1694,13,0,255,0,normal
213,1404,10,0,255,0,normal
197,1637,3,0,255,0,normal
299,1075,7,0,250,0,normal
228,31614,1,0,255,0,normal
229,255,6,0,255,0,normal
0,0,1,0,255,0,normal
309,6086,5,0,255,0,normal
249,290,29,0,255,0,normal
317,6329,19,0,255,0,normal
230,2196,10,0,255,0,normal
326,1502,8,0,255,0,normal
293,1271,13,0,204,0,normal
350,870,12,0,255,0,normal
229,6049,3,0,255,0,normal
314,659,18,0,255,0,normal
303,7208,16,0,255,0,normal
224,3279,7,0,255,0,normal
244,1546,1,0,255,0,normal
0,0,1,0,255,0,normal
328,2433,6,0,255,0.01,normal
219,3692,51,0,255,0,normal
304,336,9,0,255,0,normal
386,3173,12,0,255,0,normal
327,5200,5,0,255,0,normal
209,25167,1,0,255,0,normal
236,256,1,0,255,0,normal
290,2042,34,0,255,0,normal
209,33056,19,0,255,0,normal
325,268,24,0,253,0,normal
224,1892,4,0,255,0,normal
211,4097,27,0,255,0,normal
251,1414,5,0.2,255,0.01,normal
228,1695,21,0,255,0,normal
164,7542,13,0,255,0,normal
215,863,6,0,255,0,normal
189,313,2,0,255,0,normal
218,2647,6,0,255,0,normal
238,405,5,0,255,0,normal
209,19874,1,0,255,0,normal
259,5170,4,0,255,0,normal
359,3198,3,0,255,0.01,normal
205,408,32,0,255,0.01,normal
350,431,4,0,255,0,normal
297,1445,12,0,255,0,normal
200,867,25,0,255,0,normal
198,2810,3,0,255,0,normal
311,670,7,0,255,0,normal
206,656,7,0,255,0,normal
299,1859,11,0,255,0,normal
242,16819,7,0,255,0,normal
223,1187,16,0,255,0,normal
328,357,10,0,255,0,normal
250,1512,10,0,255,0,normal
202,4841,3,0,255,0,normal
349,5208,13,0,235,0,normal
413,8801,17,0,255,0,normal
205,8064,13,0,255,0,normal
308,3222,3,0,237,0,normal
237,241,66,0,255,0,normal
166,426,37,0,255,0,normal
0,0,1,0,58,0,normal
210,296,12,0,255,0,normal
214,367,19,0,255,0,normal
299,1427,5,0,255,0,normal
238,9092,4,0,255,0,normal
327,2226,8,0,255,0,normal
190,5847,5,0,255,0,normal
336,86082,1,0,255,0.5,normal
180,175,1,0,255,0,normal
227,189,25,0,255,0,normal
205,365,21,0,255,0,normal
323,10293,2,0,255,0,normal
287,12884,4,0,118,0.01,normal
0,0,1,0,242,0,normal
201,873,8,0,255,0,normal
212,4132,15,0,255,0,normal
202,777,23,0,255,0,normal
220,261,4,0,255,0,normal
241,795,7,0,255,0,normal
261,1100,2,0,255,0,normal
234,34237,4,0,255,0,normal
324,389,11,0,255,0,normal
182,12246,2,0,255,0,normal
212,2917,6,0,255,0,normal
208,9363,28,0,255,0,normal
0,0,1,0,255,0,normal
252,1809,10,0,255,0,normal
164,2365,6,0,255,0,normal
369,620,28,0,255,0,normal
167,4528,1,0,255,0,normal
327,11715,9,0,255,0,normal
281,1167,3,0,255,0,normal
230,2507,5,0,255,0,normal
302,718,10,0,255,0,normal
275,337,1,0,255,0,normal
189,525,2,0,255,0,normal
232,30520,6,0,255,0,normal
367,7333,5,0,255,0,normal
210,443,3,0,255,0,normal
298,3265,5,0.2,252,0.2,normal
294,1617,21,0.05,255,0.02,normal
307,2625,11,0,255,0,normal
308,406,14,0,255,0,normal
213,2996,22,0,255,0,normal
304,1930,19,0,198,0.01,normal
203,334,33,0,255,0,normal
159,13380,1,0,255,0,normal
214,10293,2,0,255,0,normal
204,1337,30,0,255,0,normal
0,0,1,0,19,0,normal
328,1516,1,0,255,0,normal
373,1408,2,0,255,0,normal
209,1412,2,0,255,0,normal
310,9158,2,0,255,0,normal
0,0,1,0,247,0,normal
281,447,2,0,255,0,normal
303,17945,3,0,255,0,normal
189,9345,3,0,255,0,normal
174,3159,1,0,26,0,normal
311,4359,13,0,255,0.01,normal
341,1672,11,0,255,0,normal
217,280,10,0,255,0,normal
240,1221,14,0,255,0,normal
0,0,1,0,133,0,normal
173,236,1,0,255,0,normal
315,1396,19,0,255,0,normal
230,9528,1,0,255,0,normal
295,8667,1,0,255,0,normal
200,4244,10,0,255,0,normal
294,10514,7,0,255,0,normal
0,0,1,0,237,0,normal
0,20256,7,0.14,255,0.14,normal
330,544,17,0,255,0,normal
292,1432,21,0,255,0,normal
0,0,1,0,33,0,normal
230,370,5,0,255,0,normal
211,1415,5,0,42,0,normal
0,0,1,0,19,0,normal
0,0,1,0,245,0,normal
300,9986,2,0,255,0,normal
0,0,1,0,247,0,normal
260,1228,18,0,255,0,normal
287,392,32,0,219,0,normal
193,759,1,0,255,0.01,normal
305,528,2,0,255,0,normal
288,1399,14,0,255,0,normal
315,12884,11,0,168,0,normal
340,67721,35,0,255,0,normal
248,497,2,0,255,0,normal
320,911,30,0,255,0,normal
211,480,30,0,255,0,normal
222,1880,1,0,255,0,normal
324,5220,7,0,255,0,normal
232,671,11,0,255,0.04,normal
224,1030,15,0,255,0,normal
223,3687,2,0,255,0,normal
221,1183,30,0,252,0.01,normal
145,11974,1,0,255,0,normal
249,128,1,0,255,0,normal
274,6052,1,0,255,0,normal
355,1421,3,0,255,0,normal
215,6154,4,0,255,0,normal
304,2507,7,0,247,0,normal
236,3076,3,0,255,0,normal
0,0,2,0.5,255,0.5,normal
245,381,1,0,255,0,normal
236,442,5,0,255,0,normal
229,934,3,0,255,0,normal
215,2825,4,0,255,0,normal
253,745,2,0,255,0,normal
327,801,21,0,255,0,normal
204,2229,3,0,255,0,normal
313,1480,20,0,255,0,normal
224,2113,8,0,255,0,normal
223,1294,8,0,255,0,normal
283,1476,2,0,255,0,normal
309,854,11,0,255,0,normal
0,0,1,0,255,0,normal
368,426,8,0,231,0,normal
243,984,4,0,255,0,normal
212,5030,13,0,255,0,normal
300,769,12,0,255,0,normal
219,309,11,0,255,0,normal
293,1193,6,0,255,0,normal
270,3781,14,0,255,0,normal
0,0,1,0,255,0,normal
336,4283,3,0,255,0,normal
272,13923,35,0,255,0,normal
147,3842,2,0,255,0,normal
186,14609,1,0,255,0,normal
245,7649,3,0,255,0,normal
314,902,20,0,255,0,normal
235,1942,22,0,255,0,normal
291,790,2,0,255,0.01,normal
335,3393,19,0,255,0,normal
274,1264,25,0,255,0,normal
230,2239,6,0,249,0.02,normal
350,1627,17,0,255,0,normal
205,1506,22,0.05,255,0.05,normal
230,810,13,0,255,0,normal
333,216,20,0,255,0,normal
194,365,18,0,255,0,normal
200,402,7,0,255,0,normal
325,770,5,0,255,0,normal
251,1253,10,0,255,0,normal
235,5238,9,0,255,0,normal
210,13149,7,0,255,0,normal
266,1617,6,0,255,0,normal
247,391,3,0,255,0,normal
280,944,2,0,255,0,normal
309,4833,6,0,255,0,normal
221,398,3,0,255,0,normal
0,0,1,0,254,0,normal
0,0,1,0,195,0,normal
0,0,1,0,253,0,normal
225,18278,4,0,255,0,normal
246,3200,7,0,255,0,normal
319,9569,4,0,255,0,normal
328,1441,9,0,255,0,normal
226,312,14,0,255,0,normal
195,8104,4,0,255,0,normal
306,1075,7,0,251,0,normal
193,712,26,0,255,0,normal
301,3276,25,0,255,0,normal
224,1998,16,0,255,0,normal
244,14262,9,0,255,0,normal
233,695,10,0,255,0,normal
164,37746,1,0,255,0,normal
329,2080,17,0,255,0,normal
183,3376,6,0,255,0,normal
207,2594,10,0,255,0,normal
208,1227,6,0,85,0,normal
217,1903,5,0,10,0,normal
299,1443,35,0,255,0,normal
321,21953,5,0,255,0,normal
477,350,1,0,255,0,normal
215,827,7,0,255,0,normal
336,817,35,0,255,0,normal
333,4023,5,0,255,0,normal
247,807,1,0,255,0,normal
333,6202,15,0,255,0,normal
297,2286,9,0,255,0,normal
331,885,10,0,255,0,normal
230,505,8,0,255,0,normal
217,6297,7,0,255,0,normal
224,3012,2,0,255,0,normal
231,455,13,0,255,0,normal
149,1030,1,0,255,0.33,normal
203,1674,20,0,255,0,normal
289,1862,1,0,255,0,normal
0,0,1,0,151,0,normal
262,5957,2,0,255,0,normal
211,392,11,0,255,0,normal
258,1887,20,0,255,0.01,normal
265,10485,1,0,255,0,normal
218,1542,4,0,255,0,normal
323,278,7,0,255,0,normal
327,2402,13,0,255,0,normal
209,1958,2,0,255,0,normal
376,51,3,0,255,0,normal
208,2599,45,0,255,0,normal
224,1712,14,0,255,0.02,normal
254,5172,1,0,255,0,normal
191,3302,4,0,255,0,normal
217,13389,2,0,255,0,normal
213,308,10,0,255,0,normal
304,297,13,0.08,255,0.01,normal
156,10995,1,0,255,0,normal
224,2407,9,0,255,0,normal
229,1397,1,0,255,0,normal
0,0,1,0,46,0,normal
236,3252,2,0,255,0,normal
0,0,1,0,247,0,normal
241,1383,4,0,255,0,normal
246,1342,5,0,255,0,normal
220,370,10,0,255,0,normal
204,1596,24,0,255,0,normal
0,0,1,0,255,0,normal
331,7054,18,0,255,0,normal
0,0,1,0,255,0.01,normal
342,1035,5,0,255,0,normal
197,7203,17,0.06,255,0.01,normal
203,3273,7,0,255,0,normal
0,0,1,0,103,0,normal
343,6731,11,0,255,0,normal
0,0,2,0.5,255,0.09,normal
234,2750,25,0,255,0,normal
266,667,8,0,255,0,normal
290,4171,13,0,255,0,normal
226,1512,17,0,255,0.01,normal
225,342,5,0,255,0,normal
293,6217,12,0,255,0,normal
0,0,1,0,255,0,normal
239,422,5,0,255,0,normal
224,3707,3,0,255,0,normal
347,20811,4,0,255,0,normal
205,4868,3,0,255,0,normal
0,0,9,0,102,0,normal
249,3098,3,0,255,0,normal
297,27084,3,0.33,255,0,normal
237,3952,7,0,255,0,normal
0,0,1,0,253,0,normal
226,1404,20,0,255,0,normal
357,10481,12,0,255,0,normal
327,833,12,0,255,0,normal
241,398,5,0,255,0,normal
0,0,1,0,255,0,normal
218,1091,13,0,239,0,normal
221,1367,3,0,255,0,normal
200,1061,18,0,255,0,normal
349,632,10,0,163,0,normal
288,6877,21,0,255,0,normal
318,3848,11,0,255,0,normal
207,938,20,0,255,0,normal
336,279,12,0,241,0,normal
313,334,10,0,255,0,normal
0,0,1,0,255,0,normal
220,2655,8,0,255,0,normal
208,311,17,0,255,0,normal
351,2999,1,0,255,0,normal
316,6367,17,0,255,0,normal
232,412,5,0,255,0,normal
227,349,5,0,255,0,normal
245,578,5,0,255,0,normal
288,301,29,0,255,0,normal
218,983,24,0,179,0,normal
195,1254,20,0,255,0,normal
252,6673,6,0,255,0,normal
282,3342,17,0,255,0,normal
323,3080,5,0,255,0,normal
272,6752,7,0,255,0,normal
197,307,28,0,255,0,normal
262,12397,3,0,255,0,normal
204,604,4,0,196,0,normal
227,3597,5,0,255,0,normal
201,369,54,0,255,0,normal
310,3222,2,0,254,0,normal
306,504,2,0,255,0,normal
301,714,7,0,255,0,normal
295,1320,2,0,255,0,normal
164,18275,13,0,255,0,normal
215,288,11,0.09,255,0.02,normal
232,12691,1,0,99,0,normal
357,937,16,0,255,0,normal
365,774,13,0,255,0,normal
316,293,11,0,255,0,normal
194,4189,3,0,255,0,normal
212,2531,5,0,251,0.01,normal
147,4843,4,0,255,0,normal
298,256,2,0,255,0,normal
233,1295,1,0,255,0,normal
166,3871,1,0,255,0,normal
272,4841,2,0,255,0,normal
213,1344,1,0,255,0,normal
278,2903,19,0,255,0,normal
250,2577,5,0,255,0,normal
375,9127,20,0,255,0,normal
0,0,1,0,214,0,normal
267,16143,2,0,255,0.01,normal
229,1259,1,0,255,0,normal
255,1659,3,0,255,0,normal
288,294,14,0,255,0,normal
196,578,22,0,255,0,normal
266,0,4,0.25,255,0,normal
243,5907,13,0,255,0,normal
222,397,12,0,255,0,normal
148,14506,1,0,255,0,normal
222,897,11,0,255,0,normal
287,5200,5,0,255,0,normal
220,1941,8,0,255,0,normal
300,189,19,0,255,0,normal
221,659,18,0,255,0,normal
212,293,24,0,255,0,normal
0,0,1,0,255,0,normal
300,13788,7,0,255,0.01,normal
350,1183,17,0,255,0,normal
182,1285,4,0,255,0,normal
232,7104,9,0,255,0,normal
223,1040,10,0,255,0,normal
303,1381,1,1,248,0.02,normal
263,13332,3,0,245,0,normal
339,1405,28,0,255,0,normal
191,1938,2,0,255,0,normal
214,1124,11,0,255,0,normal
248,330,17,0,255,0,normal
285,247,1,0,255,0,normal
405,10219,2,0,245,0,normal
352,3900,40,0,255,0,normal
317,2099,14,0,255,0,normal
0,0,1,0,165,0,normal
298,6515,2,0,255,0,normal
279,1984,3,0,255,0,normal
222,480,9,0.11,255,0.01,normal
286,11148,2,0,255,0,normal
288,879,21,0,255,0,normal
272,769,7,0,255,0,normal
205,27280,2,0,255,0,normal
298,362,27,0,255,0,normal
159,21375,2,0,255,0,normal
0,0,1,0,255,0,normal
142,21900,1,1,255,0.01,normal
294,893,12,0,255,0,normal
377,342,3,0,255,0,normal
208,1778,3,0,255,0,normal
208,261,42,0,255,0,normal
277,1911,5,0,255,0,normal
364,2102,8,0,255,0,normal
302,754,8,0,255,0,normal
257,398,6,0,255,0.01,normal
338,367,5,0,255,0,normal
338,1893,2,0,255,0,normal
316,9737,1,0,255,0,normal
300,4505,2,0,255,0,normal
0,0,1,0,146,0,normal
196,5670,2,0,255,0,normal
210,761,2,0,255,0,normal
235,7333,5,0.2,255,0,normal
229,2239,3,0,252,0,normal
284,3724,4,0,255,0,normal
0,0,1,0,255,0,normal
246,5480,4,0,255,0,normal
170,4716,1,0,255,0,normal
236,28549,1,0,255,0.05,normal
275,2139,18,0,255,0,normal
215,7509,11,0,255,0,normal
301,2454,2,0,255,0,normal
285,705,2,0,255,0,normal
165,28382,1,0,255,0.06,normal
316,1681,7,0,255,0,normal
272,4841,2,0,255,0,normal
221,1701,13,0,255,0,normal
299,480,7,0,255,0,normal
281,5897,3,0,255,0,normal
294,1394,25,0,108,0,normal
0,0,1,0,165,0,normal
375,2655,10,0,255,0,normal
290,269,13,0,255,0,normal
314,6924,26,0,255,0,normal
165,3615,2,0,255,0,normal
249,171,1,0,255,0,normal
250,275,8,0,119,0,normal
316,332,17,0,255,0,normal
232,480,10,0,255,0,normal
328,521,7,0,255,0,normal
319,993,8,0,255,0,normal
224,1214,9,0,255,0,normal
206,1970,19,0,255,0,normal
289,658,12,0,255,0,normal
251,1695,4,0,255,0,normal
215,863,14,0,255,0,normal
215,434,25,0,255,0,normal
211,1628,2,0,2,0,normal
211,1028,11,0,255,0,normal
360,186,1,0,255,0,normal
372,1003,29,0,255,0,normal
0,0,1,0,255,0,normal
237,4017,3,0,255,0,normal
353,7659,12,0,255,0,normal
491,9852,16,0.06,255,0,normal
251,3221,1,0,131,0.01,normal
226,190,1,0,41,0,normal
254,9877,8,0,255,0,normal
312,9284,13,0,255,0,normal
269,7840,1,0,255,0,normal
234,700,22,0,255,0,normal
151,8719,2,0,255,0,normal
324,258,26,0,255,0,normal
195,1761,11,0,255,0,normal
213,501,5,0,255,0,normal
409,6033,13,0,247,0,normal
231,5379,18,0,255,0,normal
182,9442,5,0,255,0,normal
206,1718,8,0,255,0,normal
217,1893,12,0,255,0,normal
324,10996,8,0,255,0,normal
233,999,14,0,255,0,normal
236,1211,9,0,255,0,normal
310,1077,11,0,242,0,normal
238,215,9,0,255,0,normal
291,10181,3,0.33,255,0,normal
330,707,2,0,255,0,normal
270,1434,4,0,255,0,normal
0,0,4,0,189,0,normal
307,863,11,0,255,0,normal
372,8198,3,0,255,0,normal
291,321,26,0,255,0,normal
243,382,18,0,255,0,normal
305,1434,7,0,255,0,normal
165,11868,9,0,191,0,normal
239,8412,15,0,255,0,normal
329,337,11,0,255,0,normal
325,15215,1,0,254,0,normal
209,2828,15,0,255,0,normal
238,1112,1,0,255,0,normal
222,642,10,0,255,0,normal
195,24572,4,0,255,0,normal
243,274,5,0.2,255,0.01,normal
249,1092,11,0,255,0,normal
231,1719,10,0,255,0,normal
308,1512,12,0,255,0,normal
197,1505,3,0,255,0,normal
224,3172,13,0,24,0,normal
362,8052,2,0,255,0,normal
203,4341,7,0,255,0,normal
0,0,17,0,188,0,normal
323,181,50,0,255,0,normal
0,0,1,0,47,0,normal
338,2590,17,0,255,0,normal
203,5034,4,0,255,0,normal
305,260,5,0,244,0,normal
217,7510,3,0,255,0,normal
221,443,11,0,255,0,normal
374,9142,5,0,255,0,normal
78,0,5786,0,64,0,tcpFlood
78,0,6073,0,63,0,tcpFlood
78,0,1303,0,64,0,tcpFlood
78,0,1614,0,57,0,tcpFlood
78,0,3526,0,64,0,tcpFlood
78,0,5086,0,62,0,tcpFlood
78,0,4956,0,56,0,tcpFlood
78,0,2571,0,64,0,tcpFlood
78,0,4504,0,66,0,tcpFlood
78,0,314,0,53,0,tcpFlood
78,0,1490,0,62,0,tcpFlood
78,0,3073,0,66,0,tcpFlood
78,0,519,0,68,0,tcpFlood
78,0,3785,0,64,0,tcpFlood
78,0,2815,0,65,0,tcpFlood
78,0,1715,0,64,0,tcpFlood
78,0,625,0,65,0,tcpFlood
78,0,778,0,76,0,tcpFlood
78,0,1107,0,75,0,tcpFlood
78,0,4975,0,64,0,tcpFlood
78,0,1948,0,67,0,tcpFlood
78,0,1609,0,57,0,tcpFlood
78,0,3209,0,65,0,tcpFlood
78,0,215,0,63,0,tcpFlood
78,0,3289,0,69,0,tcpFlood
78,0,3985,0,67,0,tcpFlood
78,0,34,0,34,0,tcpFlood
78,0,488,0,63,0,tcpFlood
78,0,776,0,74,0,tcpFlood
78,0,1865,0,61,0,tcpFlood
78,0,5782,0,64,0,tcpFlood
78,0,4411,0,61,0,tcpFlood
78,0,6217,0,63,0,tcpFlood
78,0,4237,0,66,0,tcpFlood
78,0,3579,0,60,0,tcpFlood
78,0,452,0,58,0,tcpFlood
78,0,1269,0,63,0,tcpFlood
78,0,3039,0,59,0,tcpFlood
78,0,1295,0,57,0,tcpFlood
78,0,3734,0,66,0,tcpFlood
78,0,263,0,72,0,tcpFlood
78,0,4671,0,56,0,tcpFlood
78,0,3842,0,62,0,tcpFlood
78,0,3145,0,63,0,tcpFlood
78,0,2926,0,62,0,tcpFlood
78,0,738,0,68,0,tcpFlood
78,0,2204,0,58,0,tcpFlood
78,0,690,0,92,0,tcpFlood
78,0,6349,0,55,0,tcpFlood
78,0,695,0,92,0,tcpFlood
78,0,1310,0,67,0,tcpFlood
78,0,5874,0,61,0,tcpFlood
78,0,3697,0,57,0,tcpFlood
78,0,1432,0,62,0,tcpFlood
78,0,6115,0,56,0,tcpFlood
78,0,1319,0,67,0,tcpFlood
78,0,1184,0,59,0,tcpFlood
78,0,4205,0,59,0,tcpFlood
78,0,4111,0,65,0,tcpFlood
78,0,1606,0,58,0,tcpFlood
78,0,5246,0,62,0,tcpFlood
78,0,197,0,64,0,tcpFlood
78,0,4922,0,61,0,tcpFlood
78,0,112,0,57,0,tcpFlood
78,0,4878,0,63,0,tcpFlood
78,0,1173,0,58,0,tcpFlood
78,0,3984,0,67,0,tcpFlood
78,0,4155,0,70,0,tcpFlood
78,0,4664,0,63,0,tcpFlood
78,0,2532,0,63,0,tcpFlood
78,0,1644,0,67,0,tcpFlood
78,0,3859,0,64,0,tcpFlood
78,0,3001,0,61,0,tcpFlood
78,0,4661,0,63,0,tcpFlood
78,0,1526,0,61,0,tcpFlood
78,0,2757,0,65,0,tcpFlood
78,0,5523,0,56,0,tcpFlood
78,0,3643,0,63,0,tcpFlood
78,0,587,0,63,0,tcpFlood
78,0,3412,0,64,0,tcpFlood
78,0,678,0,81,0,tcpFlood
78,0,1541,0,65,0,tcpFlood
78,0,6261,0,64,0,tcpFlood
78,0,5553,0,57,0,tcpFlood
78,0,4140,0,73,0,tcpFlood
78,0,2276,0,62,0,tcpFlood
78,0,5987,0,63,0,tcpFlood
78,0,5962,0,64,0,tcpFlood
78,0,4479,0,61,0,tcpFlood
78,0,2871,0,67,0,tcpFlood
78,0,517,0,68,0,tcpFlood
78,0,6347,0,65,0,tcpFlood
78,0,11,0,11,0,tcpFlood
78,0,4363,0,65,0,tcpFlood
78,0,5781,0,63,0,tcpFlood
78,0,5703,0,64,0,tcpFlood
78,0,2249,0,64,0,tcpFlood
78,0,1044,0,61,0,tcpFlood
78,0,730,0,68,0,tcpFlood
78,0,4210,0,56,0,tcpFlood
78,0,4119,0,66,0,tcpFlood
78,0,673,0,84,0,tcpFlood
78,0,5204,0,52,0,tcpFlood
78,0,1094,0,68,0,tcpFlood
78,0,1763,0,67,0,tcpFlood
78,0,2648,0,61,0,tcpFlood
78,0,5466,0,65,0,tcpFlood
78,0,5900,0,58,0,tcpFlood
78,0,4331,0,65,0,tcpFlood
78,0,3065,0,65,0,tcpFlood
78,0,2439,0,63,0,tcpFlood
78,0,3480,0,68,0,tcpFlood
78,0,1195,0,67,0,tcpFlood
78,0,2682,0,64,0,tcpFlood
78,0,4604,0,58,0,tcpFlood
78,0,598,0,57,0,tcpFlood
78,0,2991,0,66,0,tcpFlood
78,0,835,0,54,0,tcpFlood
78,0,261,0,71,0,tcpFlood
78,0,2476,0,66,0,tcpFlood
78,0,3296,0,63,0,tcpFlood
78,0,4558,0,62,0,tcpFlood
78,0,1330,0,69,0,tcpFlood
78,0,1151,0,60,0,tcpFlood
78,0,2619,0,63,0,tcpFlood
78,0,5198,0,55,0,tcpFlood
78,0,3185,0,55,0,tcpFlood
78,0,4143,0,73,0,tcpFlood
78,0,1853,0,60,0,tcpFlood
78,0,3012,0,60,0,tcpFlood
78,0,2245,0,62,0,tcpFlood
78,0,959,0,60,0,tcpFlood
78,0,4510,0,57,0,tcpFlood
78,0,1054,0,57,0,tcpFlood
78,0,2065,0,62,0,tcpFlood
78,0,2274,0,72,0,tcpFlood
78,0,1744,0,62,0,tcpFlood
78,0,3212,0,63,0,tcpFlood
78,0,1050,0,64,0,tcpFlood
78,0,3810,0,60,0,tcpFlood
78,0,4249,0,71,0,tcpFlood
78,0,2091,0,64,0,tcpFlood
78,0,5136,0,66,0,tcpFlood
78,0,4723,0,64,0,tcpFlood
78,0,6182,0,70,0,tcpFlood
78,0,3147,0,63,0,tcpFlood
78,0,3112,0,72,0,tcpFlood
78,0,4966,0,60,0,tcpFlood
78,0,3535,0,56,0,tcpFlood
78,0,4282,0,69,0,tcpFlood
78,0,4701,0,65,0,tcpFlood
78,0,1832,0,63,0,tcpFlood
78,0,2500,0,67,0,tcpFlood
78,0,924,0,63,0,tcpFlood
78,0,2336,0,60,0,tcpFlood
78,0,4454,0,69,0,tcpFlood
78,0,1562,0,62,0,tcpFlood
78,0,4326,0,69,0,tcpFlood
78,0,2538,0,63,0,tcpFlood
78,0,6213,0,59,0,tcpFlood
78,0,3388,0,63,0,tcpFlood
78,0,3254,0,59,0,tcpFlood
78,0,4716,0,57,0,tcpFlood
78,0,3776,0,61,0,tcpFlood
78,0,17,0,17,0,tcpFlood
78,0,801,0,60,0,tcpFlood
78,0,902,0,66,0,tcpFlood
78,0,4714,0,60,0,tcpFlood
78,0,4638,0,59,0,tcpFlood
78,0,1129,0,62,0,tcpFlood
78,0,482,0,63,0,tcpFlood
78,0,2005,0,60,0,tcpFlood
78,0,1751,0,61,0,tcpFlood
78,0,4668,0,56,0,tcpFlood
78,0,4059,0,57,0,tcpFlood
78,0,5229,0,65,0,tcpFlood
78,0,3435,0,66,0,tcpFlood
78,0,796,0,60,0,tcpFlood
78,0,927,0,63,0,tcpFlood
78,0,2765,0,62,0,tcpFlood
78,0,3919,0,59,0,tcpFlood
78,0,181,0,74,0,tcpFlood
78,0,6262,0,64,0,tcpFlood
78,0,3629,0,65,0,tcpFlood
78,0,3905,0,65,0,tcpFlood
78,0,700,0,92,0,tcpFlood
78,0,476,0,68,0,tcpFlood
78,0,4996,0,57,0,tcpFlood
78,0,1857,0,58,0,tcpFlood
78,0,5326,0,59,0,tcpFlood
78,0,5094,0,60,0,tcpFlood
78,0,1610,0,57,0,tcpFlood
78,0,4407,0,61,0,tcpFlood
78,0,1727,0,62,0,tcpFlood
78,0,5277,0,66,0,tcpFlood
78,0,1141,0,60,0,tcpFlood
78,0,2509,0,64,0,tcpFlood
78,0,450,0,58,0,tcpFlood
78,0,1252,0,65,0,tcpFlood
78,0,5183,0,66,0,tcpFlood
78,0,5747,0,60,0,tcpFlood
78,0,5000,0,54,0,tcpFlood
78,0,221,0,63,0,tcpFlood
78,0,5357,0,60,0,tcpFlood
78,0,3356,0,63,0,tcpFlood
78,0,5159,0,71,0,tcpFlood
78,0,6218,0,64,0,tcpFlood
78,0,1932,0,64,0,tcpFlood
78,0,4109,0,65,0,tcpFlood
78,0,1105,0,75,0,tcpFlood
