% isAttack normal:	2000
% isAttack attack:	2000
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack, normal:normal-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,11,15-16,18,22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,2,0,0,0,255,0,normal
tcp,REJ,1,0,0,0,231,0.09,normal
tcp,SF,3,0,0,0,255,0.05,normal
tcp,SF,7,0,0,0,255,0.03,normal
tcp,SF,3,0.33,0,0,255,0,normal
tcp,SF,9,0,0,0,255,0.01,normal
tcp,SF,3,0,0,0,255,0,normal
tcp,SF,17,0,0,0.07,255,0.02,normal
tcp,SF,1,0,0,0.33,255,0.05,normal
tcp,SF,12,0,0,0,255,0.06,normal
tcp,SF,6,0,0,0,255,0.03,normal
tcp,SF,30,0,0,0,255,0,normal
tcp,SF,9,0,0,0,255,0,normal
tcp,SF,2,0,0,0.5,255,0.05,normal
tcp,SF,2,0,0,0.67,255,0.03,normal
tcp,SF,3,0,0,0.5,255,0.02,normal
tcp,SF,8,0,0,0,255,0.05,normal
tcp,SF,16,0,0,0.06,255,0.01,normal
tcp,SF,1,0,0,0.11,255,0.04,normal
tcp,SF,3,0,0,0.13,255,0.02,normal
tcp,SF,3,0.07,0,0.17,251,0,normal
tcp,SF,8,0,0,0.22,255,0,normal
tcp,SF,31,0,0,0,255,0,normal
tcp,SF,14,0,0,0.17,255,0.03,normal
tcp,S0,1,1,0,0,126,0.16,normal
tcp,REJ,4,0,0,0,245,0.2,normal
tcp,SF,14,0,0,0,255,0,normal
tcp,SF,6,0,0,0.18,255,0,normal
tcp,REJ,1,0,0,0,250,0.14,normal
tcp,REJ,1,0,0,0,207,0,normal
tcp,SF,10,0,0,0,63,0,normal
tcp,SF,3,0,0,0,255,0.05,normal
tcp,SF,12,0,0,0,255,0.04,normal
tcp,SF,10,0,0,0.19,255,0.03,normal
tcp,SF,8,0,0,0,255,0.03,normal
tcp,S0,2,0.2,0,0.4,255,0.04,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,REJ,1,0,0,0,255,0.12,normal
tcp,SF,9,0,0,0,67,0,normal
tcp,SF,3,0,0,0.12,255,0.05,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,22,0,0,0,255,0,normal
tcp,SF,2,0,0,0,255,0.04,normal
tcp,SF,6,0,0,0,255,0,normal
tcp,SF,12,0,0,0.11,255,0.01,normal
tcp,SF,10,0,0,0,255,0,normal
tcp,SF,21,0,0,0,255,0.03,normal
tcp,SF,9,0,0,0.18,255,0.05,normal
tcp,SF,11,0,0,0,255,0.02,normal
tcp,SF,4,0,0,0,255,0,normal
tcp,SF,7,0,0,0,255,0.03,normal
tcp,SF,7,0,0,0.25,255,0.02,normal
tcp,SF,19,0,0,0,255,0,normal
tcp,SF,2,0,0,0,255,0.05,normal
tcp,SF,9,0,0,0,255,0,normal
tcp,SF,2,0,0,0,255,0.03,normal
tcp,REJ,1,0,0,0,12,0,normal
tcp,SF,3,0,0,0,255,0,normal
tcp,SF,10,0,0,0,255,0.04,normal
tcp,SF,8,0,0,0.22,255,0.04,normal
tcp,SF,15,0,0,0,255,0,normal
tcp,SF,30,0,0,0,255,0.01,normal
tcp,SF,15,0,0,0.08,255,0.04,normal
tcp,SF,10,0,0,0.13,255,0.03,normal
tcp,SF,10,0,0,0.18,255,0.04,normal
tcp,SF,5,0.2,0,0,255,0,normal
tcp,SF,10,0,0,0,247,0,normal
tcp,SF,11,0,0,0,255,0,normal
tcp,SF,4,0,0,0.4,255,0.01,normal
tcp,SF,2,0,0,0,255,0.03,normal
tcp,SF,27,0,0,0.09,29,0.07,normal
tcp,SF,2,0,0,0,11,0.18,normal
tcp,SF,5,0,0,0.43,255,0.02,normal
tcp,SF,1,0,0,0.67,255,0.04,normal
tcp,SF,3,0,0,0,255,0.01,normal
tcp,SF,5,0,0,0.22,72,0,normal
tcp,SF,16,0,0,0,255,0,normal
tcp,SF,17,0,0,0.07,255,0.01,normal
tcp,SF,2,0,0,0.4,47,0.04,normal
tcp,SF,5,0,0,0.08,255,0.02,normal
tcp,SF,4,0,0,0,255,0.02,normal
tcp,SF,23,0,0,0,255,0,normal
tcp,SF,2,0.5,0,0,255,0,normal
tcp,SF,5,0.2,0,0,255,0,normal
tcp,SF,5,0,0,0.22,255,0.04,normal
tcp,SF,3,0,0,0.05,193,0.05,normal
tcp,SF,9,0,0,0,255,0,normal
tcp,SF,2,0,0,0.5,127,0.02,normal
tcp,SF,4,0,0,0.27,255,0,normal
tcp,SF,26,0,0,0,255,0.01,normal
tcp,SF,7,0,0,0.11,255,0.05,normal
tcp,SF,2,0,0,0.5,255,0.02,normal
tcp,SF,8,0,0,0.13,255,0.02,normal
tcp,SF,10,0,0,0.18,153,0.06,normal
tcp,SF,5,0,0,0,255,0,normal
tcp,SF,3,0,0,0,255,0.04,normal
tcp,SF,27,0,0,0,255,0,normal
tcp,SF,4,0.25,0,0,255,0.02,normal
tcp,SF,44,0,0,0.07,255,0.02,normal
tcp,SF,21,0,0,0.09,255,0,normal
tcp,REJ,1,0.25,0,1,22,0.18,normal
tcp,REJ,1,0,0,0,219,0.13,normal
tcp,SF,12,0,0,0,255,0,normal
tcp,SF,6,0,0,0,255,0.07,normal
tcp,SF,5,0,0,0,255,0.01,normal
tcp,SF,5,0,0,0,255,0.03,normal
tcp,SF,10,0,0,0,255,0.02,normal
tcp,SF,5,0,0,0,255,0.05,normal
tcp,SF,37,0,0,0,255,0,normal
tcp,SF,5,0,0,0,255,0.03,normal
tcp,SF,2,0,0,0,255,0.01,normal
tcp,SF,21,0,0,0.08,255,0.01,normal
tcp,SF,8,0,0,0.22,255,0.03,normal
tcp,REJ,1,0,0,0,255,0.11,normal
tcp,SF,4,0,0,0,255,0.03,normal
tcp,SF,1,0,0,0.57,246,0,normal
tcp,S0,2,0.5,0,0,254,0.07,normal
tcp,SF,9,0,0,0,255,0,normal
tcp,SF,3,0,0,0.5,255,0.04,normal
tcp,SF,2,0,0,0.06,237,0,normal
tcp,SF,19,0,0,0,255,0.04,normal
tcp,SF,19,0,0,0.14,255,0.03,normal
tcp,SF,6,0,0,0,255,0,normal
tcp,SF,15,0,0,0.12,255,0.04,normal
tcp,SF,3,0,0,0.5,255,0,normal
tcp,SF,19,0,0,0,255,0.02,normal
tcp,SF,8,0,0,0,255,0,normal
tcp,SF,29,0,0,0.06,255,0,normal
tcp,SF,3,0,0,0.4,255,0.05,normal
tcp,RSTO,1,0,0,1,255,0.01,normal
tcp,SF,5,0,0,0,255,0.03,normal
tcp,SF,16,0,0,0.11,255,0.05,normal
tcp,SF,13,0,0,0.14,255,0,normal
tcp,SF,1,0,0,0.67,255,0.04,normal
tcp,SF,3,0.33,0,0,237,0.05,normal
tcp,SF,5,0,0,0,220,0,normal
tcp,SF,14,0,0,0,255,0.02,normal
tcp,SF,2,0,0,0,255,0,normal
tcp,SF,5,0,0,0,255,0.01,normal
tcp,SF,7,0,0,0.12,255,0,normal
tcp,SF,20,0,0,0,255,0.02,normal
tcp,REJ,1,0,0,1,238,0.21,normal
tcp,REJ,1,0,0,0,249,0.11,normal
tcp,SF,13,0,0,0.14,255,0.01,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,6,0,0,0,255,0,normal
tcp,SF,4,0,0,0.5,255,0.03,normal
tcp,SF,3,0,0,0.33,255,0.01,normal
tcp,SF,20,0,0,0,255,0.01,normal
tcp,SF,1,0,0,0,255,0.04,normal
tcp,SF,19,0,0,0,255,0.04,normal
tcp,SF,5,0,0,0.33,255,0.01,normal
tcp,REJ,1,0,0,0,255,0.05,normal
tcp,SF,22,0,0,0.16,255,0,normal
tcp,SF,9,0,0,0.17,255,0.02,normal
tcp,SF,8,0,0,0,255,0.07,normal
tcp,SF,5,0,0,0,255,0.04,normal
tcp,SF,17,0,0,0.11,255,0,normal
tcp,SF,5,0,0,0.33,255,0.03,normal
tcp,SF,6,0,0,0.2,255,0.03,normal
tcp,SF,15,0,0,0.17,255,0.08,normal
tcp,SF,14,0,0,0.13,255,0.05,normal
tcp,SF,2,0,0,0.67,240,0.03,normal
tcp,SF,26,0,0,0,255,0.01,normal
tcp,SF,2,0,0,0.29,255,0.04,normal
tcp,SF,5,0,0,0,255,0,normal
tcp,SF,1,0,0,0,61,0.07,normal
tcp,SF,1,0,0,0,255,0.14,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,REJ,1,0,0,0,255,0.09,normal
tcp,SF,1,0,0,0,255,0.04,normal
tcp,SF,4,0,0,0,255,0,normal
tcp,SF,2,0,0,0,204,0.12,normal
tcp,SF,17,0,0,0.11,255,0.02,normal
tcp,REJ,1,0,0,1,255,0.21,normal
tcp,SF,28,0,0,0.07,255,0.03,normal
tcp,SF,12,0,0,0,255,0.02,normal
tcp,SF,1,0,0,0,255,0.01,normal
tcp,SF,26,0,0,0.1,255,0,normal
tcp,SF,10,0,0,0.12,255,0.04,normal
tcp,SF,4,0,0,0,255,0,normal
tcp,SF,7,0,0,0,255,0,normal
tcp,SF,10,0,0,0.18,255,0.01,normal
tcp,SF,2,0,0,0,255,0,normal
tcp,SF,2,0,0,0,255,0,normal
tcp,SF,3,0,0,0,255,0,normal
tcp,SF,3,0,0,0,255,0.06,normal
tcp,SF,3,0,0,0,255,0.07,normal
tcp,SF,1,0,0,0,255,0.03,normal
tcp,SF,13,0,0,0,255,0,normal
tcp,SF,29,0,0,0,255,0.02,normal
tcp,SF,1,0,0,0,251,0,normal
tcp,SF,17,0,0,0.11,255,0.02,normal
tcp,SF,3,0,0,0,255,0.02,normal
tcp,SF,18,0,0,0,255,0.04,normal
tcp,SF,4,0,0,0,255,0.01,normal
tcp,SF,3,0,0,0,255,0.03,normal
tcp,REJ,1,0,0,0,253,0.12,normal
tcp,SF,9,0,0,0,255,0.04,normal
tcp,SF,6,0,0,0,255,0.01,normal
tcp,SF,9,0,0,0.2,255,0,normal
tcp,SF,9,0,0,0,255,0.03,normal
tcp,SF,14,0,0,0.13,255,0.02,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,SF,10,0.05,0,0.14,216,0.02,normal
tcp,SF,15,0,0,0,255,0,normal
tcp,SF,32,0,0,0,255,0,normal
tcp,REJ,1,0,0,0,251,0.15,normal
tcp,SF,2,0,0,0,255,0,normal
tcp,SF,3,0,0,0.38,255,0.02,normal
tcp,REJ,1,0,0,0,255,0.06,normal
tcp,SF,2,0,0,0,255,0.07,normal
tcp,SF,4,0,0,0.4,255,0.02,normal
tcp,SF,6,0,0,0,238,0,normal
tcp,SF,14,0,0,0,255,0.05,normal
tcp,REJ,1,0,0,0,157,0.15,normal
tcp,SF,15,0,0,0,255,0.03,normal
tcp,SF,6,0,0,0,255,0.07,normal
tcp,SF,17,0,0,0,255,0,normal
tcp,SF,8,0,0,0,255,0,normal
tcp,SF,4,0,0,0.33,255,0.02,normal
tcp,SF,2,0,0,0.17,249,0,normal
tcp,SF,12,0,0,0.1,255,0.01,normal
tcp,SF,35,0,0,0,255,0,normal
tcp,SF,20,0,0,0.21,255,0.07,normal
tcp,SF,5,0,0,0,255,0.02,normal
tcp,REJ,1,0,0,0,38,0.18,normal
tcp,SF,29,0,0,0.07,255,0.02,normal
tcp,SF,17,0,0,0.08,255,0,normal
tcp,SF,1,0,0,0.17,253,0.21,normal
tcp,SF,12,0,0,0,255,0.05,normal
tcp,SF,1,0,0,1,232,0,normal
tcp,SF,7,0.2,0,0.2,255,0.02,normal
tcp,SF,4,0,0,0,211,0.06,normal
tcp,SF,3,0,0,0.19,255,0.02,normal
tcp,SF,21,0,0,0,255,0,normal
tcp,REJ,1,0,0,0,255,0.17,normal
tcp,S0,2,0.25,0,0.5,255,0.05,normal
tcp,REJ,1,0,0,0,115,0.05,normal
tcp,SF,1,0,0,1,236,0,normal
tcp,SF,9,0,0,0,255,0.01,normal
tcp,SF,3,0,0,0,247,0,normal
tcp,SF,5,0,0,0.15,204,0.03,normal
tcp,SF,6,0,0,0,255,0.04,normal
tcp,SF,4,0,0,0.4,255,0,normal
tcp,SF,6,0.06,0,0.12,255,0,normal
tcp,SF,30,0,0,0,255,0,normal
tcp,SF,5,0,0,0.33,255,0.02,normal
tcp,SF,27,0,0,0.15,255,0,normal
tcp,S1,1,1,0,0,255,0.08,normal
tcp,SF,12,0,0,0.07,255,0,normal
tcp,SF,4,0,0,0,255,0,normal
tcp,SF,3,0.33,0,0,164,0.02,normal
tcp,SF,20,0,0,0,255,0,normal
tcp,SF,3,0,0,0,255,0.02,normal
tcp,SF,1,0,0,0,255,0.05,normal
tcp,SF,1,0,0,0,92,0.05,normal
tcp,SF,6,0,0,0,255,0,normal
tcp,SF,3,0.11,0,0.16,255,0,normal
tcp,S1,5,0.33,0,0.44,255,0.02,normal
tcp,SF,17,0,0,0,255,0.05,normal
tcp,SF,5,0,0,0.33,255,0.05,normal
tcp,SF,10,0,0,0,255,0.06,normal
tcp,SF,1,0,0,0.09,255,0,normal
tcp,SF,8,0,0,0.22,255,0,normal
tcp,SF,23,0,0,0.05,255,0,normal
tcp,SF,22,0,0,0.09,255,0.01,normal
tcp,SF,2,0,0,0,230,0.07,normal
tcp,SF,2,0,0,0,255,0.05,normal
tcp,SF,17,0,0,0,255,0.05,normal
tcp,SF,11,0,0,0,255,0.02,normal
tcp,REJ,1,0,0,0,253,0.24,normal
tcp,S0,2,0.5,0,0,255,0.04,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,20,0,0,0.11,255,0,normal
tcp,SF,2,0,0,0.08,255,0.02,normal
tcp,SF,4,0,0,0,231,0.2,normal
tcp,SF,2,0,0,0.67,255,0.07,normal
tcp,REJ,1,0,0,0,130,0,normal
tcp,SF,25,0,0,0.08,255,0,normal
tcp,REJ,27,0,0,0.07,231,0.16,normal
tcp,SF,2,0,0,0.67,255,0.03,normal
tcp,SF,7,0,0,0,255,0,normal
tcp,SF,2,0,0,0.22,255,0.01,normal
tcp,SF,2,0,0,0.67,255,0.03,normal
tcp,SF,1,0,0,0,255,0.03,normal
tcp,SF,10,0,0,0.25,255,0,normal
tcp,REJ,2,0,0,0,217,0.18,normal
tcp,SF,16,0,0,0,229,0.06,normal
tcp,SF,3,0,0,0,255,0.03,normal
tcp,SF,17,0,0,0,255,0,normal
tcp,REJ,1,0,0,1,152,0.05,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,1,0,0,0.5,255,0.02,normal
tcp,SF,14,0,0,0,255,0.01,normal
tcp,REJ,1,0,0,1,255,0.05,normal
tcp,SF,10,0,0,0,255,0,normal
tcp,SF,21,0,0,0.1,255,0.01,normal
tcp,SF,1,0,0,1,255,0,normal
tcp,SF,8,0,0,0.22,255,0,normal
tcp,SF,20,0,0,0.09,255,0.01,normal
tcp,REJ,1,0,0,0,255,0.09,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,S0,5,0.33,0,0.33,255,0,normal
tcp,SF,4,0,0,0.09,255,0.02,normal
tcp,SF,6,0,0,0.11,255,0.02,normal
tcp,SF,12,0,0,0.2,255,0.05,normal
tcp,SF,17,0,0,0,255,0.03,normal
tcp,SF,10,0,0,0,255,0.05,normal
tcp,SF,16,0,0,0,255,0.06,normal
tcp,SF,4,0,0,0,255,0.02,normal
tcp,SF,2,0,0,0.29,255,0.07,normal
tcp,SF,2,0,0,0,255,0,normal
tcp,SF,18,0,0,0,255,0.02,normal
tcp,SF,1,0,0,1,231,0,normal
tcp,SF,5,0,0,0,255,0,normal
tcp,SF,11,0,0,0.1,255,0.02,normal
tcp,SF,3,0,0,0.5,255,0.01,normal
tcp,SF,8,0,0,0.24,255,0,normal
tcp,SF,4,0,0,0.4,255,0.02,normal
tcp,SF,6,0,0,0,255,0.01,normal
tcp,SF,7,0,0,0,255,0.02,normal
tcp,SF,3,0,0,0,255,0.01,normal
tcp,SF,5,0,0,0.22,255,0.03,normal
tcp,SF,2,0,0,0.67,255,0.03,normal
tcp,SF,5,0.17,0,0.33,255,0.03,normal
tcp,SF,9,0,0,0,255,0,normal
tcp,SF,4,0,0,0,255,0.02,normal
tcp,SF,17,0,0,0.18,255,0,normal
tcp,SF,9,0,0,0.07,255,0,normal
tcp,SF,3,0,0,0,231,0.03,normal
tcp,SF,5,0,0,0.18,255,0.01,normal
tcp,SF,25,0,0,0,255,0,normal
tcp,SF,7,0,0,0,255,0.04,normal
tcp,SF,1,0,0,0,255,0.03,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,SF,3,0,0,0,255,0,normal
tcp,SF,4,0,0,0,255,0.03,normal
tcp,SF,10,0.04,0,0.26,255,0,normal
tcp,SF,13,0,0,0,255,0.05,normal
tcp,SF,5,0,0,0,255,0.03,normal
tcp,SF,1,0,0,0,255,0.01,normal
tcp,SF,1,0,0,0.07,255,0.02,normal
tcp,SF,23,0,0,0,255,0,normal
tcp,SF,27,0,0,0,255,0.03,normal
tcp,SF,10,0,0,0.18,255,0,normal
tcp,SF,12,0,0,0,255,0.03,normal
tcp,SF,15,0,0,0,255,0.03,normal
tcp,SF,9,0,0,0,26,0,normal
tcp,SF,6,0,0,0.25,255,0.04,normal
tcp,SF,1,0,0,0,255,0.01,normal
tcp,SF,3,0,0,0.25,255,0.02,normal
tcp,REJ,1,0,0,0,255,0,normal
tcp,SF,22,0,0,0.09,255,0.04,normal
tcp,SF,30,0,0,0,255,0,normal
tcp,SF,7,0,0,0.2,255,0,normal
tcp,SF,23,0,0,0,255,0,normal
tcp,SF,2,0,0,0,255,0.04,normal
tcp,SF,26,0,0,0,255,0.04,normal
tcp,SF,2,0,0,0,255,0.07,normal
tcp,S1,1,1,0,0,255,0,normal
tcp,SF,9,0,0,0.12,255,0.07,normal
tcp,REJ,1,0,0,0,253,0.16,normal
tcp,SF,24,0,0,0,255,0.01,normal
tcp,SF,16,0,0,0,255,0,normal
tcp,SF,1,0,0,0,255,0.01,normal
tcp,SF,1,0,0,0,255,0.06,normal
tcp,SF,2,0,0,0.5,255,0.03,normal
tcp,SF,7,0,0,0,255,0.01,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,SF,8,0,0,0,255,0,normal
tcp,SF,35,0,0,0,255,0.01,normal
tcp,SF,39,0,0,0,255,0.02,normal
tcp,SF,13,0,0,0,255,0,normal
tcp,SF,23,0,0,0,255,0,normal
tcp,SF,3,0.33,0,0,255,0.01,normal
tcp,SF,2,0,0,0,255,0.01,normal
tcp,SF,2,0,0,0,255,0.01,normal
tcp,REJ,1,0,0,1,254,0.22,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,SF,5,0,0,0,255,0.06,normal
tcp,SF,7,0,0,0.21,255,0.04,normal
tcp,SF,1,0,0,0.21,255,0.02,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,SF,4,0,0,0,255,0,normal
tcp,SF,7,0,0,0,255,0,normal
tcp,REJ,1,0,0,0,255,0.09,normal
tcp,SF,7,0,0,0.22,255,0.02,normal
tcp,SF,7,0,0,0.25,255,0.02,normal
tcp,SF,3,0,0,0,255,0,normal
tcp,SF,8,0,0,0.22,255,0,normal
tcp,SF,16,0,0,0,206,0.03,normal
tcp,SF,6,0,0,0.29,255,0,normal
tcp,SF,2,0,0,0,241,0,normal
tcp,SF,9,0,0,0,238,0,normal
tcp,SF,1,0,0,0.24,255,0,normal
tcp,SF,5,0,0,0,211,0,normal
tcp,SF,2,0,0,0,255,0.05,normal
tcp,SF,2,0,0,0.05,58,0.03,normal
tcp,SF,5,0,0,0,255,0.03,normal
tcp,SF,42,0,0,0.03,255,0,normal
tcp,SF,11,0,0,0,255,0.04,normal
tcp,SF,7,0,0,0.18,255,0,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,REJ,2,0,0,0,255,0.1,normal
tcp,SF,5,0,0,0.33,255,0.05,normal
tcp,SF,14,0,0,0.07,255,0.01,normal
tcp,SF,25,0,0,0,255,0,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,13,0,0,0.12,255,0.01,normal
tcp,SF,13,0,0,0.19,255,0,normal
tcp,SF,5,0,0,0,253,0,normal
tcp,SF,11,0,0,0,255,0.04,normal
tcp,SF,19,0,0,0.14,255,0.02,normal
tcp,REJ,1,0,0,0,229,0.2,normal
tcp,SF,1,0,0,0,255,0.02,normal
tcp,SF,11,0,0,0,255,0,normal
tcp,SF,23,0.04,0,0.08,255,0,normal
tcp,REJ,1,0,0,1,94,0.14,normal
tcp,SF,22,0,0,0,255,0,normal
tcp,SF,5,0,0,0.29,255,0,normal
tcp,SF,54,0,0,0.07,255,0,normal
tcp,SF,7,0,0,0,255,0.09,normal
tcp,SF,16,0,0,0,255,0,normal
tcp,SF,27,0,0,0.07,255,0,normal
tcp,SF,12,0,0,0.1,255,0.01,normal
tcp,SF,20,0,0,0,255,0,normal
tcp,REJ,1,0,0,0,253,0.19,normal
tcp,SF,4,0,0,0,255,0.04,normal
tcp,SF,3,0,0,0.67,255,0.05,normal
tcp,SF,7,0,0,0,255,0,normal
tcp,SF,6,0,0,0.2,255,0.02,normal
tcp,SF,8,0,0,0.22,255,0,normal
tcp,REJ,1,0,0,0.67,255,0.15,normal
tcp,REJ,1,0,0,0,255,0.14,normal
tcp,SF,19,0,0,0,255,0,normal
tcp,SF,4,0,0,0,252,0,normal
tcp,SF,5,0,0,0,255,0.04,normal
tcp,SF,11,0,0,0,255,0.03,normal
tcp,SF,7,0,0,0.25,255,0.07,normal
tcp,SF,7,0,0,0,232,0,normal
tcp,SF,21,0,0,0,255,0,normal
tcp,SF,11,0,0,0,255,0.01,normal
tcp,SF,12,0,0,0,255,0.01,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,3,0,0,0.06,229,0,normal
tcp,SF,2,0,0,0,1,0,normal
tcp,SF,38,0,0,0.07,255,0,normal
tcp,REJ,1,0,0,0,255,0.09,normal
tcp,SF,1,0,0,1,255,0.06,normal
tcp,SF,7,0,0,0,255,0.02,normal
tcp,SF,4,0,0,0.12,255,0.04,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,1,0,0,0.5,248,0,normal
tcp,SF,7,0,0,0,255,0.02,normal
tcp,SF,17,0,0,0,255,0,normal
tcp,SF,5,0,0,0,238,0,normal
tcp,SF,25,0,0,0.09,255,0,normal
tcp,SF,39,0,0,0,255,0.02,normal
tcp,SF,6,0,0,0.25,255,0.05,normal
tcp,SF,17,0,0,0,255,0,normal
tcp,REJ,1,0,0,1,253,0.05,normal
tcp,SF,32,0,0,0,255,0.02,normal
tcp,SF,8,0,0,0.09,255,0.02,normal
tcp,SF,5,0,0,0,249,0,normal
tcp,S1,3,0.33,0,0,255,0.05,normal
tcp,SF,10,0,0,0,255,0,normal
tcp,SF,8,0,0,0,239,0.02,normal
tcp,SF,7,0,0,0,255,0.02,normal
tcp,SF,7,0,0,0,255,0,normal
tcp,SF,4,0,0,0,234,0,normal
tcp,SF,17,0,0,0.16,255,0,normal
tcp,SF,1,0,0,0,241,0,normal
tcp,SF,7,0,0,0,255,0,normal
tcp,SF,16,0,0,0,255,0,normal
tcp,SF,6,0,0,0,255,0,normal
tcp,SF,13,0,0,0.13,255,0,normal
tcp,SF,7,0,0,0.18,255,0.05,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,9,0,0,0,255,0.02,normal
tcp,SF,4,0,0,0.4,255,0.03,normal
tcp,SF,19,0,0,0,255,0.01,normal
tcp,SF,6,0,0,0.29,255,0.01,normal
tcp,SF,22,0,0,0.12,255,0.02,normal
tcp,SF,21,0,0,0.1,255,0,normal
tcp,SF,13,0,0,0,239,0.03,normal
tcp,SF,6,0.17,0,0,255,0,normal
tcp,SF,8,0,0,0,255,0.05,normal
tcp,SF,38,0,0,0.05,255,0,normal
tcp,SF,4,0,0,0,255,0.02,normal
tcp,SF,3,0,0,0,255,0.04,normal
tcp,SF,14,0,0,0,255,0.02,normal
tcp,SF,2,0,0,0.67,25,0,normal
tcp,SF,6,0,0,0,246,0,normal
tcp,SF,3,0,0,0,255,0.01,normal
tcp,SF,1,0,0,0,255,0.07,normal
tcp,SF,1,0,0,0,255,0,normal
tcp,SF,4,0,0,0,255,0,normal
tcp,SF,11,0,0,0,255,0.06,normal
tcp,SF,19,0,0,0,255,0,normal
tcp,SF,15,0,0,0,255,0,normal
tcp,SF,10,0,0,0.18,255,0,normal
tcp,SF,10,0,0,0,255,0.01,normal
tcp,SF,4,0,0,0,83,0.05,normal
tcp,REJ,1,0,0,0,249,0.01,normal
tcp,S0,2,0.5,0,0,255,0.01,normal
tcp,REJ,1,0,0,0,60,0.03,normal
tcp,SF,5,0,0,0,255,0.04,normal
tcp,SF,10,0,0,0,255,0.03,normal
tcp,SF,3,0,0,0,255,0.01,normal
tcp,REJ,1,0,0,0,195,0.15,normal
