% isAttack normal:	2000
% isAttack attack:	2000
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,9,12,17,20,22,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute srv_count numeric
@attribute rerror_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {normal,attack}

@data
tcp,SF,267,2544,5,0,255,0,0,normal
tcp,SF,314,522,21,0,223,0,0.01,normal
tcp,SF,274,1233,19,0,255,0,0,normal
tcp,SF,211,1138,2,0,2,0,0.03,normal
tcp,SF,292,188,3,0,255,0,0,normal
tcp,SF,189,8692,8,0,255,0,0,normal
tcp,SF,234,280,14,0,255,0,0,normal
tcp,SF,305,847,5,0,30,0,0.01,normal
tcp,SF,275,37865,1,0,67,0,0.02,normal
tcp,SF,341,255,5,0,255,0,0,normal
tcp,SF,320,1234,1,0,138,0,0.03,normal
tcp,SF,309,2239,7,0,255,0.01,0,normal
tcp,REJ,0,0,2,1,1,0,0.14,normal
tcp,SF,263,3253,13,0,92,0,0.03,normal
tcp,SF,378,346,32,0,8,0,0.04,normal
tcp,SF,251,2742,1,0,255,0.02,0,normal
tcp,SF,218,2758,3,0,123,0,0.02,normal
tcp,SF,211,356,30,0,230,0,0.01,normal
tcp,SF,294,2144,18,0,30,0,0.05,normal
tcp,SF,196,5132,1,0,1,0,0.03,normal
tcp,SF,191,3090,4,0,19,0,0.08,normal
tcp,SF,294,1120,6,0,53,0,0.01,normal
tcp,SF,237,275,12,0,255,0,0,normal
tcp,SF,212,300,1,0,1,0,0.04,normal
tcp,SF,276,313,40,0,255,0,0,normal
tcp,SF,248,1374,3,0,82,0,0.05,normal
tcp,SF,308,2107,29,0,13,0,0.04,normal
tcp,SF,314,2527,14,0,255,0,0,normal
tcp,SF,321,1425,6,0,255,0,0,normal
tcp,SF,213,810,35,0,255,0,0,normal
tcp,SF,224,1808,19,0,23,0,0.23,normal
tcp,SF,225,269,27,0,255,0,0,normal
tcp,SF,243,4975,4,0,26,0,0.03,normal
tcp,SF,235,411,22,0,25,0,0.04,normal
tcp,SF,256,3397,5,0,255,0,0,normal
tcp,SF,212,16493,4,0,255,0,0,normal
tcp,SF,158,26866,4,0,255,0,0,normal
tcp,SF,336,7602,11,0,37,0,0.02,normal
tcp,SF,286,1319,10,0,28,0,0.03,normal
tcp,SF,320,261,7,0,59,0,0.02,normal
tcp,SF,231,4593,67,0,15,0,0.07,normal
tcp,SF,219,788,31,0,255,0,0,normal
tcp,SF,270,1791,60,0,51,0,0.04,normal
tcp,SF,255,6734,23,0,39,0,0.04,normal
tcp,SF,226,6265,5,0,65,0,0.02,normal
tcp,SF,164,9676,8,0,108,0,0.02,normal
tcp,SF,229,4039,11,0,255,0,0,normal
tcp,SF,215,182,7,0,7,0,0.16,normal
tcp,SF,239,365,27,0,255,0,0,normal
tcp,SF,337,1765,12,0,255,0,0,normal
tcp,SF,309,3222,1,0,255,0.01,0,normal
tcp,SF,318,25558,2,0,150,0,0.02,normal
tcp,SF,338,290,37,0,255,0,0,normal
tcp,SF,208,3410,17,0,255,0,0,normal
tcp,SF,310,2251,67,0,255,0,0,normal
tcp,SF,193,1395,26,0,255,0,0,normal
tcp,SF,329,753,10,0,37,0,0.22,normal
tcp,REJ,0,0,1,1,60,0,0.12,normal
tcp,SF,213,947,12,0,136,0,0.01,normal
tcp,SF,208,284,8,0,255,0,0,normal
tcp,SF,267,10735,82,0,17,0,0.04,normal
tcp,SF,217,1800,16,0,255,0,0,normal
tcp,SF,305,4758,7,0,255,0,0,normal
tcp,SF,216,6318,6,0,19,0,0.09,normal
tcp,SF,315,337,4,0,4,0,0.02,normal
tcp,SF,315,2168,10,0,255,0,0,normal
tcp,SF,317,923,3,0,29,0,0.05,normal
tcp,SF,383,1672,28,0,99,0,0.04,normal
tcp,SF,214,7096,14,0,208,0,0.02,normal
tcp,SF,221,285,20,0,255,0,0,normal
tcp,SF,193,32944,2,0,1,0,0,normal
tcp,REJ,0,0,1,1,8,0,0.06,normal
tcp,SF,171,561,6,0,133,0,0.08,normal
tcp,S1,230,43800,1,0,255,0,0,normal
tcp,SF,167,9724,3,0,39,0,0.06,normal
tcp,SF,292,246,12,0,142,0,0.04,normal
tcp,SF,238,714,44,0,63,0,0.01,normal
tcp,SF,235,7546,12,0,255,0,0,normal
tcp,REJ,0,0,2,1,2,0,0.32,normal
tcp,SF,209,2488,10,0,91,0,0.01,normal
tcp,S0,0,0,1,0,134,0,0.05,normal
tcp,SF,299,2324,2,0,25,0,0.04,normal
tcp,SF,228,22021,13,0,169,0,0.03,normal
tcp,SF,306,2013,1,0,255,0.02,0,normal
tcp,SF,203,171,20,0,236,0,0.01,normal
tcp,SF,236,14997,10,0,255,0,0,normal
tcp,SF,322,4137,9,0,255,0,0,normal
tcp,SF,327,270,5,0,255,0.01,0,normal
tcp,SF,338,2896,7,0,36,0,0.01,normal
tcp,SF,200,525,5,0,8,0,0.03,normal
tcp,REJ,0,0,2,1,51,0,0.17,normal
tcp,SF,288,14781,22,0,255,0,0,normal
tcp,SF,221,1607,12,0,36,0,0.01,normal
tcp,SF,217,2968,10,0,31,0,0.09,normal
tcp,SF,341,279,2,0,255,0.01,0,normal
tcp,SF,286,310,6,0,194,0,0.02,normal
tcp,SF,282,1146,20,0,255,0,0,normal
tcp,SF,253,893,14,0,255,0,0,normal
tcp,SF,370,837,4,0,120,0,0.06,normal
tcp,SF,299,1988,23,0,67,0,0.06,normal
tcp,SF,222,2432,25,0,255,0,0,normal
tcp,SF,216,511,29,0,255,0,0,normal
tcp,SF,336,285,8,0,13,0,0,normal
tcp,SF,234,765,9,0,10,0,0.14,normal
tcp,SF,215,655,43,0,255,0,0,normal
tcp,SF,312,2164,14,0,100,0,0.03,normal
tcp,REJ,0,0,2,1,38,0,0.02,normal
tcp,SF,236,19776,1,0,255,0,0,normal
tcp,SF,207,660,6,0,41,0,0.02,normal
tcp,SF,239,128,14,0,5,0,0.03,normal
tcp,SF,276,2924,4,0,88,0,0.02,normal
tcp,SF,218,702,1,0,74,0,0.03,normal
tcp,SF,232,3434,3,0,84,0,0.04,normal
tcp,SF,191,1928,21,0,146,0,0.02,normal
tcp,SF,321,2335,23,0,43,0,0.01,normal
tcp,SF,308,1075,5,0,255,0.01,0,normal
tcp,SF,223,1227,4,0,167,0,0,normal
tcp,SF,347,49480,2,0,78,0,0.05,normal
tcp,SF,243,1247,6,0,135,0,0.05,normal
tcp,SF,224,5260,22,0,255,0,0,normal
tcp,SF,247,756,37,0,75,0,0.01,normal
tcp,SF,326,5987,8,0,23,0,0.01,normal
tcp,SF,305,571,19,0,80,0,0.03,normal
tcp,SF,345,8220,31,0,59,0,0.04,normal
tcp,SF,232,12426,31,0,222,0,0.03,normal
tcp,SF,354,736,5,0,209,0,0.02,normal
tcp,SF,306,607,14,0,255,0,0,normal
tcp,SF,313,14665,27,0,62,0,0.03,normal
tcp,S1,336,0,5,0,137,0,0.04,normal
tcp,SF,316,607,12,0,180,0,0.03,normal
tcp,SF,237,1505,10,0,65,0,0.01,normal
tcp,SF,268,4740,1,0,255,0.01,0,normal
tcp,SF,246,1461,2,0,255,0,0,normal
tcp,SF,290,3501,4,0,10,0,0.03,normal
tcp,SF,259,1270,18,0,255,0,0,normal
tcp,SF,233,3267,3,0,2,0,0.03,normal
tcp,SF,309,3353,1,0,55,0,0.03,normal
tcp,SF,224,5705,35,0,34,0,0.02,normal
tcp,SF,153,391,2,0,20,0,0.01,normal
tcp,SF,302,1203,15,0,15,0,0.02,normal
tcp,SF,226,5381,5,0,255,0,0,normal
tcp,SF,233,4759,14,0,133,0,0.01,normal
tcp,SF,233,555,2,0,255,0,0,normal
tcp,SF,228,1438,48,0,255,0,0,normal
tcp,SF,319,11120,1,0,2,0,0.04,normal
tcp,SF,290,6763,15,0,255,0,0,normal
tcp,SF,287,17810,10,0,10,0,0.02,normal
tcp,SF,214,5985,14,0,117,0,0.01,normal
tcp,SF,322,1432,26,0,26,0,0.09,normal
tcp,SF,288,912,20,0,255,0,0,normal
tcp,SF,193,1337,36,0,255,0,0,normal
tcp,SF,164,19950,1,0,187,0,0.01,normal
tcp,SF,213,13392,11,0,168,0,0.03,normal
tcp,SF,172,2760,3,0,214,0,0.02,normal
tcp,SF,195,8777,12,0,32,0,0.02,normal
tcp,S1,215,11680,14,0,2,0,0.02,normal
tcp,SF,221,268,7,0,255,0,0,normal
tcp,SF,154,34193,2,0,255,0,0,normal
tcp,SF,295,10203,18,0,20,0,0.04,normal
tcp,SF,236,3586,20,0,113,0,0.04,normal
tcp,SF,190,14768,4,0,4,0,0.04,normal
tcp,SF,349,269,4,0,110,0,0.04,normal
tcp,S1,163,14600,1,0,255,0,0,normal
tcp,SF,182,805,1,0,255,0,0,normal
tcp,SF,326,4405,11,0,38,0,0.01,normal
tcp,SF,264,19932,1,0,1,0,0.04,normal
tcp,SF,225,309,5,0,62,0,0.02,normal
tcp,REJ,0,0,1,1,20,0,0.11,normal
tcp,SF,329,12471,9,0,255,0,0,normal
tcp,SF,223,2302,5,0,255,0,0,normal
tcp,SF,281,296,14,0,255,0,0,normal
tcp,SF,306,5620,8,0,8,0,0.05,normal
tcp,SF,284,1094,4,0,5,0,0.05,normal
tcp,SF,291,10142,54,0,255,0,0,normal
tcp,SF,289,3158,1,0,154,0,0.01,normal
tcp,SF,201,458,38,0,255,0,0,normal
tcp,SF,144,2444,1,0,41,0,0.06,normal
tcp,SF,320,2367,10,0,255,0,0,normal
tcp,SF,286,338,6,0,162,0,0.02,normal
tcp,SF,204,2247,9,0,211,0,0.01,normal
tcp,SF,308,897,7,0,37,0,0.04,normal
tcp,SF,339,249,6,0,72,0,0.04,normal
tcp,SF,295,8422,35,0,170,0,0.03,normal
tcp,SF,269,9317,6,0,25,0,0.05,normal
tcp,SF,211,43129,23,0,19,0,0.05,normal
tcp,SF,214,484,19,0,255,0,0,normal
tcp,SF,196,1096,4,0,4,0,0.07,normal
tcp,SF,199,466,32,0,255,0,0,normal
tcp,SF,231,1930,20,0,42,0,0.06,normal
tcp,SF,216,333,34,0,117,0,0.03,normal
tcp,SF,176,142716,1,0,5,0,0.02,normal
tcp,SF,192,7925,23,0,51,0,0.03,normal
tcp,SF,281,15105,4,0,255,0,0,normal
tcp,REJ,0,0,1,1,5,0,0.34,normal
tcp,SF,238,276,13,0,59,0,0.03,normal
tcp,SF,318,10370,25,0,255,0,0,normal
tcp,SF,198,27305,14,0,9,0,0.06,normal
tcp,SF,301,1870,14,0,57,0,0.05,normal
tcp,SF,236,667,7,0,255,0,0,normal
tcp,SF,300,2355,9,0,255,0,0,normal
tcp,SF,332,352,2,0,255,0,0,normal
tcp,SF,272,13154,1,0,255,0,0,normal
tcp,SF,239,1461,1,0,255,0,0,normal
tcp,SF,254,4845,13,0,102,0,0.02,normal
tcp,SF,208,2568,8,0,245,0,0.01,normal
tcp,SF,297,7732,2,0,10,0,0.05,normal
tcp,SF,316,367,14,0,255,0,0,normal
tcp,SF,352,2251,21,0,147,0,0.03,normal
tcp,SF,208,3997,3,0,27,0,0.02,normal
tcp,SF,317,596,10,0,252,0,0.01,normal
tcp,SF,301,480,14,0,216,0,0.01,normal
tcp,SF,337,774,6,0,6,0,0.12,normal
tcp,SF,194,1912,17,0,255,0,0,normal
tcp,SF,286,579,14,0,14,0,0.07,normal
tcp,SF,224,880,1,0,12,0,0.05,normal
tcp,REJ,0,0,1,1,172,0,0.06,normal
tcp,SF,298,1108,19,0,21,0,0.04,normal
tcp,SF,314,5589,2,0,14,0,0.02,normal
tcp,SF,348,2712,33,0,255,0,0,normal
tcp,SF,144,193,2,0,9,0,0.07,normal
tcp,SF,243,6940,14,0,255,0,0,normal
tcp,REJ,0,0,2,1,8,0,0.23,normal
tcp,SF,240,379,14,0,189,0,0.01,normal
tcp,SF,282,2618,17,0,17,0,0.05,normal
tcp,SF,312,1227,3,0,138,0,0,normal
tcp,SF,267,14496,7,0,255,0,0,normal
tcp,SF,359,269,8,0,255,0,0,normal
tcp,SF,329,2093,12,0,255,0,0,normal
tcp,SF,249,976,22,0,255,0,0,normal
tcp,REJ,0,0,2,1,1,0,0.28,normal
tcp,SF,231,6162,5,0,255,0,0,normal
tcp,SF,257,2917,7,0,255,0,0,normal
tcp,SF,295,1310,4,0,4,0,0.06,normal
tcp,SF,264,1608,6,0,255,0,0,normal
tcp,SF,211,1792,7,0,73,0,0.04,normal
tcp,SF,230,2265,2,0,55,0,0.03,normal
tcp,SF,336,640,31,0,185,0,0.01,normal
tcp,SF,202,6810,21,0,129,0,0.01,normal
tcp,SF,332,9211,42,0,255,0,0,normal
tcp,SF,341,250,4,0,39,0,0.03,normal
tcp,SF,305,2507,7,0,255,0.02,0,normal
tcp,SF,233,773,17,0,10,0,0.09,normal
tcp,SF,417,15133,2,0,255,0,0,normal
tcp,SF,165,5169,5,0,22,0,0.06,normal
tcp,SF,202,303,12,0,255,0,0,normal
tcp,REJ,0,0,2,1,3,0,0.09,normal
tcp,SF,308,2071,1,0,50,0,0.01,normal
tcp,SF,320,494,10,0,255,0,0,normal
tcp,SF,249,1645,13,0,255,0,0,normal
tcp,SF,311,5478,21,0,43,0,0.05,normal
tcp,SF,166,6227,1,0,1,0,0.04,normal
tcp,SF,267,3599,3,0,255,0,0,normal
tcp,SF,196,6136,1,0,255,0.01,0,normal
tcp,SF,470,7497,11,0,96,0,0.11,normal
tcp,REJ,0,0,4,1,20,0,0.03,normal
tcp,SF,195,1521,6,0,36,0,0.02,normal
tcp,SF,243,1055,17,0,255,0,0,normal
tcp,SF,205,530,22,0,197,0,0.02,normal
tcp,SF,307,290,24,0,255,0,0,normal
tcp,SF,297,8422,22,0,255,0,0,normal
tcp,REJ,0,0,1,1,17,0,0.06,normal
tcp,SF,237,1021,24,0,59,0,0.03,normal
tcp,SF,307,1992,16,0,59,0,0.01,normal
tcp,SF,345,1694,9,0,170,0,0.02,normal
tcp,SF,239,298,59,0,227,0,0.01,normal
tcp,SF,327,2662,4,0,255,0,0,normal
tcp,SF,245,253,11,0,255,0,0,normal
tcp,SF,229,1425,12,0,109,0,0.01,normal
tcp,SF,296,1649,22,0,90,0,0.04,normal
tcp,SF,172,15142,1,0,25,0,0.05,normal
tcp,SF,208,412,7,0,188,0,0.02,normal
tcp,SF,300,370,7,0,7,0,0.01,normal
tcp,SF,186,520,14,0,36,0,0.04,normal
tcp,REJ,0,0,1,1,8,0,0.17,normal
tcp,SF,329,707,38,0,255,0,0,normal
tcp,SF,229,439,1,0,15,0,0.07,normal
tcp,SF,285,511,32,0,255,0,0,normal
tcp,SF,228,32755,2,0,255,0,0,normal
tcp,SF,220,13011,1,0,1,0,0.06,normal
tcp,SF,333,6137,24,0,255,0,0,normal
tcp,SF,215,2746,14,0,37,0,0.02,normal
tcp,SF,301,2698,6,0,255,0.01,0,normal
tcp,SF,208,296,29,0,255,0,0,normal
tcp,SF,157,4316,4,0,13,0,0.04,normal
tcp,REJ,0,0,9,1,6,0,0.15,normal
tcp,SF,262,13603,3,0,2,0,0,normal
tcp,REJ,0,0,1,1,8,0,0.21,normal
tcp,SF,304,912,19,0,65,0,0.01,normal
tcp,SF,201,1411,3,0,3,0,0.05,normal
tcp,REJ,0,0,2,1,8,0,0.03,normal
tcp,SF,236,821,5,0,3,0,0.02,normal
tcp,SF,306,1380,6,0,255,0.01,0,normal
tcp,SF,198,1111,3,0,63,0,0.05,normal
tcp,SF,292,4906,3,0,76,0,0.04,normal
tcp,SF,339,791,5,0,255,0,0,normal
tcp,SF,343,134175,12,0,245,0,0.01,normal
tcp,SF,147,18932,1,0,255,0,0,normal
tcp,SF,214,505,2,0,2,0,0.07,normal
tcp,SF,163,1558,2,0,255,0,0,normal
tcp,SF,198,261,39,0,31,0,0.01,normal
tcp,SF,275,468,1,0,227,0,0.02,normal
tcp,SF,221,1043,30,0,30,0,0.07,normal
tcp,SF,317,1040,9,0,9,0,0.02,normal
tcp,SF,242,5559,12,0,44,0,0.05,normal
tcp,SF,205,3591,20,0,255,0,0,normal
tcp,SF,211,975,6,0,38,0,0.05,normal
tcp,SF,313,343,8,0,255,0,0,normal
tcp,SF,312,4339,3,0,55,0,0.04,normal
tcp,SF,233,155,1,0,255,0,0,normal
tcp,SF,231,3733,2,0,2,0,0.01,normal
tcp,SF,268,994,21,0,44,0,0.06,normal
tcp,SF,192,509,7,0,5,0,0.04,normal
tcp,SF,253,653,8,0,4,0,0.03,normal
tcp,SF,298,3897,8,0,37,0,0.08,normal
tcp,SF,229,1007,8,0,33,0,0.02,normal
tcp,SF,315,19806,5,0,45,0,0,normal
tcp,SF,202,10762,48,0,43,0,0.01,normal
tcp,SF,243,10564,41,0,54,0,0.04,normal
tcp,SF,301,931,1,0,18,0,0.01,normal
tcp,SF,241,8823,33,0,147,0,0.02,normal
tcp,SF,230,3244,3,0,23,0,0.04,normal
tcp,SF,273,985,9,0,255,0,0,normal
tcp,SF,194,15965,22,0,96,0,0.02,normal
tcp,SF,215,2108,13,0,46,0,0.01,normal
tcp,SF,223,398,2,0,255,0,0,normal
tcp,SF,294,10997,8,0,56,0,0.06,normal
tcp,SF,252,4838,7,0,18,0,0.04,normal
tcp,SF,293,827,9,0,17,0,0.05,normal
tcp,SF,234,338,18,0,255,0,0,normal
tcp,SF,159,27305,1,0,255,0,0,normal
tcp,SF,297,498,15,0,255,0,0,normal
tcp,SF,213,301,23,0,204,0,0.01,normal
tcp,SF,229,2545,24,0,255,0,0,normal
tcp,SF,295,17703,1,0,58,0,0.04,normal
tcp,SF,231,3466,10,0,28,0,0.03,normal
tcp,SF,363,1092,13,0,117,0,0.01,normal
tcp,SF,342,5878,3,0,3,0,0.05,normal
tcp,SF,317,2787,30,0,42,0,0.03,normal
tcp,SF,302,6717,1,0,4,0,0.03,normal
tcp,SF,311,2129,12,0,30,0,0.03,normal
tcp,REJ,0,0,1,1,1,0,0.19,normal
tcp,SF,300,2239,5,0,255,0.01,0,normal
tcp,SF,249,1645,43,0,83,0,0.04,normal
tcp,SF,209,1117,9,0,21,0,0.03,normal
tcp,SF,207,940,30,0,255,0,0,normal
tcp,SF,197,1509,9,0,95,0,0.01,normal
tcp,SF,233,546,26,0,255,0,0,normal
tcp,SF,352,13335,1,0,110,0,0.04,normal
tcp,SF,207,19950,14,0,17,0,0.01,normal
tcp,SF,323,5627,9,0,68,0,0.04,normal
tcp,SF,202,10066,17,0,2,0,0.02,normal
tcp,SF,151,9518,1,0,62,0,0.01,normal
tcp,SF,223,622,3,0,255,0,0,normal
tcp,SF,227,717,23,0,255,0,0,normal
tcp,SF,268,8046,15,0,255,0,0,normal
tcp,SF,217,616,5,0,98,0,0.03,normal
tcp,SF,223,1425,4,0,146,0,0.02,normal
tcp,REJ,0,0,1,1,6,0,0.37,normal
tcp,SF,415,4167,7,0,91,0,0.17,normal
tcp,SF,278,376,13,0,30,0,0.05,normal
tcp,SF,300,1841,43,0,43,0,0.02,normal
tcp,SF,458,5946,7,0,188,0,0.01,normal
tcp,SF,321,13056,45,0,152,0,0.06,normal
tcp,SF,216,5864,1,0,14,0,0.09,normal
tcp,SF,291,1340,20,0,130,0,0.03,normal
tcp,SF,187,7129,1,0,204,0.01,0,normal
tcp,SF,306,526,4,0,8,0,0.03,normal
tcp,SF,280,2062,4,0,255,0,0,normal
tcp,SF,244,2169,4,0,15,0,0.04,normal
tcp,SF,290,751,19,0,255,0,0,normal
tcp,SF,296,3068,7,0,255,0,0,normal
tcp,S2,266,70559,1,0,1,0,0.02,normal
tcp,SF,213,807,2,0,255,0,0,normal
tcp,SF,174,3302,1,0,95,0,0.01,normal
tcp,SF,292,937,5,0,5,0,0.03,normal
tcp,SF,301,6659,61,0,255,0,0,normal
tcp,SF,231,761,13,0,13,0,0.03,normal
tcp,SF,217,501,21,0,20,0,0.02,normal
tcp,SF,209,2568,17,0,5,0,0.05,normal
tcp,SF,230,17574,4,0,255,0,0,normal
tcp,SF,305,1274,36,0,176,0,0.02,normal
tcp,SF,249,7255,1,0,191,0,0.04,normal
tcp,SF,212,1197,15,0,7,0,0.03,normal
tcp,SF,227,13337,4,0,14,0,0.02,normal
tcp,REJ,0,0,1,1,12,0,0.19,normal
tcp,SF,250,4500,2,0,3,0,0.04,normal
tcp,SF,224,59063,4,0,1,0,0.02,normal
tcp,SF,216,1798,3,0,3,0,0.04,normal
tcp,SF,273,6752,16,0,54,0,0.03,normal
tcp,SF,224,1551,14,0,14,0,0.02,normal
tcp,SF,333,2547,4,0,255,0,0,normal
tcp,SF,295,2077,6,0,42,0,0.02,normal
tcp,S1,206,0,3,0,2,0,0.12,normal
tcp,SF,347,298,33,0,255,0,0,normal
tcp,SF,326,565,4,0,167,0,0.03,normal
tcp,SF,258,9428,2,0,255,0.01,0,normal
tcp,SF,315,6602,8,0,255,0,0,normal
tcp,SF,349,402,6,0,33,0,0.05,normal
tcp,SF,291,1183,17,0,17,0,0.06,normal
tcp,SF,184,3763,17,0,41,0,0.02,normal
tcp,SF,219,406,13,0,255,0,0,normal
tcp,SF,312,1621,23,0,40,0,0.04,normal
tcp,SF,226,9283,13,0,133,0,0.03,normal
tcp,SF,255,6912,5,0,39,0,0.05,normal
tcp,SF,230,651,31,0,72,0,0.04,normal
tcp,SF,217,1472,4,0,31,0,0.03,normal
tcp,SF,478,2419,11,0,255,0,0,normal
tcp,SF,324,294,4,0,255,0,0,normal
tcp,SF,266,282,18,0,255,0.01,0,normal
tcp,SF,289,1856,2,0,40,0,0.05,normal
tcp,SF,301,2507,6,0,255,0.01,0,normal
tcp,SF,345,808,7,0,202,0,0.01,normal
tcp,SF,260,2291,14,0,14,0,0.04,normal
tcp,SF,241,6989,23,0,17,0,0.02,normal
tcp,SF,294,1108,41,0,93,0,0.04,normal
tcp,SF,240,381,15,0,14,0,0.04,normal
tcp,SF,224,907,12,0,12,0,0.03,normal
tcp,SF,223,2372,20,0,255,0,0,normal
tcp,SF,290,2367,2,0,75,0,0.02,normal
tcp,SF,227,7963,1,0,75,0,0.02,normal
tcp,SF,195,3968,2,0,23,0,0.05,normal
tcp,SF,252,350,11,0,255,0,0,normal
tcp,SF,331,10578,7,0,10,0,0.06,normal
tcp,SF,300,748,3,0,255,0,0,normal
tcp,SF,236,3106,6,0,255,0,0,normal
tcp,SF,385,7959,5,0,45,0,0.06,normal
tcp,SF,282,2474,20,0,255,0,0,normal
tcp,SF,195,467,14,0,30,0,0.04,normal
tcp,REJ,0,0,1,1,9,0,0.31,normal
tcp,SF,345,1402,37,0,255,0,0,normal
tcp,SF,213,1159,8,0,8,0,0.04,normal
tcp,REJ,0,0,2,1,3,0,0.13,normal
tcp,SF,299,2434,39,0,39,0,0.07,normal
tcp,SF,306,1075,7,0,255,0.01,0,normal
tcp,SF,256,2625,22,0,97,0,0.01,normal
tcp,SF,301,2507,4,0,255,0.01,0,normal
tcp,SF,294,5875,10,0,2,0,0.04,normal
tcp,SF,300,308,5,0,255,0,0,normal
tcp,SF,245,15255,91,0,7,0,0.04,normal
tcp,SF,326,296,2,0,255,0,0,normal
tcp,SF,218,10191,12,0,12,0,0.04,normal
tcp,SF,208,278,5,0,25,0,0.04,normal
tcp,SF,245,11947,3,0,28,0,0.02,normal
tcp,S2,310,3746371,1,0,58,0,0.03,normal
tcp,SF,210,310,5,0,25,0,0.02,normal
tcp,SF,286,4580,36,0,180,0,0.02,normal
tcp,SF,306,3222,2,0,255,0.01,0,normal
tcp,SF,299,305,11,0,195,0,0.02,normal
tcp,SF,340,314,17,0,144,0,0.04,normal
tcp,SF,312,1568,28,0,255,0,0,normal
tcp,SF,309,7355,11,0,255,0,0,normal
tcp,SF,162,3902,3,0,18,0,0.03,normal
tcp,REJ,0,0,1,1,93,0,0.16,normal
tcp,SF,201,1648,2,0,2,0,0.02,normal
tcp,SF,310,780,15,0,29,0,0.04,normal
tcp,SF,284,657,16,0,220,0,0.02,normal
tcp,SF,200,1059,34,0,60,0,0.03,normal
tcp,REJ,0,0,10,0.6,163,0,0.03,normal
tcp,S1,217,21900,2,0,2,0,0.03,normal
tcp,SF,214,12922,34,0,136,0,0.04,normal
tcp,SF,148,14506,2,0,255,0,0,normal
tcp,SF,317,295,1,0,239,0,0.02,normal
tcp,SF,212,308,16,0,255,0,0,normal
tcp,SF,288,7367,3,0,20,0,0.02,normal
tcp,SF,226,2630,9,0,24,0,0.07,normal
tcp,SF,322,1214,5,0,16,0,0.03,normal
tcp,SF,225,2944,9,0,255,0,0,normal
tcp,SF,246,2761,2,0,99,0,0.04,normal
tcp,SF,281,1951,20,0,38,0,0.03,normal
tcp,SF,308,553,2,0,32,0,0.06,normal
tcp,SF,255,493,9,0,255,0,0,normal
tcp,SF,218,7297,9,0,120,0,0.04,normal
tcp,SF,209,3867,9,0,255,0,0,normal
tcp,SF,245,6716,3,0,19,0,0.02,normal
tcp,SF,227,2730,4,0,30,0,0.02,normal
tcp,SF,265,630,1,0,255,0.02,0,normal
tcp,SF,331,1374,52,0,93,0,0.04,normal
tcp,SF,179,3798,1,0,255,0,0,normal
tcp,SF,325,2649,15,0,217,0,0.01,normal
tcp,SF,220,406,6,0,255,0,0,normal
