% isAttack normal:	571
% isAttack attack:	3229
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,17,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute isAttack {normal,attack}

@data
SF,41,normal
SF,159,normal
SF,30,normal
SF,1,normal
SF,255,normal
SF,25,normal
SF,57,normal
SF,7,normal
SF,89,normal
SF,237,normal
SF,11,normal
SF,197,normal
SF,3,normal
SF,16,normal
SF,255,normal
SF,49,normal
S0,2,normal
SF,108,normal
SF,255,normal
SF,5,normal
SF,71,normal
SF,215,normal
SF,255,normal
SF,3,normal
SF,39,normal
SF,255,normal
SF,8,normal
SF,69,normal
SF,31,normal
REJ,9,normal
SF,28,normal
SF,255,normal
SF,255,normal
SF,49,normal
SF,255,normal
SF,255,normal
SF,255,normal
REJ,5,normal
SF,255,normal
SF,83,normal
SF,29,normal
SF,205,normal
SF,172,normal
SF,20,normal
SF,255,normal
SF,255,normal
SF,169,normal
SF,25,normal
SF,255,normal
SF,17,normal
SF,22,normal
SF,13,normal
SF,255,normal
SF,255,normal
SF,7,normal
SF,255,normal
SF,29,normal
SF,24,normal
SF,7,normal
SF,24,normal
SF,255,normal
SF,157,normal
SF,8,normal
SF,255,normal
REJ,19,normal
REJ,2,normal
REJ,3,normal
SF,4,normal
SF,254,normal
SF,4,normal
SF,219,normal
SF,78,normal
SF,15,normal
SF,255,normal
SF,255,normal
SF,87,normal
SF,37,normal
SF,30,normal
SF,10,normal
SF,1,normal
SF,71,normal
SF,27,normal
SF,10,normal
SF,85,normal
SF,10,normal
SF,35,normal
SF,255,normal
SF,255,normal
SF,7,normal
SF,255,normal
SF,215,normal
SF,255,normal
SF,70,normal
SF,255,normal
SF,255,normal
SF,8,normal
SF,113,normal
SF,18,normal
SF,255,normal
SF,3,normal
SF,20,normal
SF,9,normal
REJ,17,normal
SF,223,normal
SF,255,normal
SF,102,normal
SF,73,normal
SF,18,normal
SF,255,normal
SF,255,normal
SF,104,normal
SF,46,normal
SF,234,normal
SF,57,normal
SF,32,normal
SF,166,normal
SF,45,normal
SF,255,normal
SF,195,normal
SF,1,normal
SF,55,normal
SF,85,normal
REJ,9,normal
SF,255,normal
REJ,43,normal
SF,79,normal
SF,255,normal
SF,255,normal
SF,49,normal
REJ,84,normal
SF,18,normal
REJ,128,normal
SF,156,normal
SF,183,normal
SF,8,normal
REJ,129,normal
SF,11,normal
S0,11,normal
SF,255,normal
SF,255,normal
SF,167,normal
SF,132,normal
SF,5,normal
SF,12,normal
REJ,3,normal
SF,39,normal
SF,87,normal
SF,255,normal
SF,23,normal
REJ,22,normal
SF,47,normal
SF,255,normal
SF,7,normal
REJ,36,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,87,normal
REJ,9,normal
SF,13,normal
SF,55,normal
SF,18,normal
SF,40,normal
SF,42,normal
SF,11,normal
SF,255,normal
SF,255,normal
SF,67,normal
REJ,207,normal
SF,114,normal
SF,17,normal
SF,27,normal
SF,255,normal
SF,5,normal
SF,5,normal
SF,255,normal
SF,255,normal
SF,52,normal
SF,50,normal
SF,255,normal
SF,98,normal
SF,114,normal
SF,71,normal
SF,255,normal
SF,181,normal
SF,116,normal
SF,153,normal
SF,255,normal
SF,255,normal
SF,46,normal
SF,40,normal
SF,174,normal
SF,255,normal
SF,62,normal
SF,99,normal
SF,96,normal
SF,115,normal
SF,255,normal
SF,3,normal
SF,247,normal
SF,93,normal
SF,255,normal
SF,29,normal
SF,9,normal
SF,106,normal
SF,1,normal
SF,61,normal
SF,255,normal
SF,255,normal
REJ,2,normal
SF,103,normal
SF,201,normal
SF,3,normal
SF,69,normal
SF,158,normal
S2,214,normal
SF,195,normal
SF,255,normal
SF,255,normal
SF,229,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,18,normal
SF,255,normal
REJ,203,normal
SF,149,normal
SF,255,normal
SF,38,normal
SF,9,normal
SF,27,normal
S2,255,normal
SF,255,normal
SF,61,normal
SF,8,normal
SF,21,normal
SF,255,normal
SF,24,normal
SF,70,normal
SF,255,normal
SF,255,normal
REJ,4,normal
SF,255,normal
SF,255,normal
SF,108,normal
SF,2,normal
SF,21,normal
SF,100,normal
SF,2,normal
SF,255,normal
SF,2,normal
REJ,1,normal
S1,167,normal
SF,255,normal
SF,158,normal
SF,3,normal
SF,97,normal
SF,58,normal
SF,255,normal
SF,156,normal
SF,76,normal
SF,12,normal
SF,98,normal
SF,34,normal
SF,37,normal
REJ,2,normal
SF,24,normal
SF,175,normal
SF,255,normal
SF,255,normal
SF,255,normal
REJ,9,normal
SF,115,normal
SF,131,normal
SF,60,normal
SF,18,normal
SF,11,normal
SF,7,normal
SF,4,normal
SF,48,normal
SF,141,normal
SF,255,normal
SF,116,normal
SF,93,normal
SF,10,normal
SF,105,normal
REJ,3,normal
SF,255,normal
SF,51,normal
SF,125,normal
SF,4,normal
SF,17,normal
SF,127,normal
SF,139,normal
SF,83,normal
SF,255,normal
SF,55,normal
SF,255,normal
SF,53,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,2,normal
SF,255,normal
SF,75,normal
SF,255,normal
REJ,52,normal
SF,77,normal
SF,255,normal
SF,255,normal
SF,141,normal
SF,1,normal
SF,255,normal
SF,255,normal
SF,1,normal
SF,255,normal
SF,196,normal
SF,255,normal
SF,255,normal
SF,13,normal
SF,139,normal
SF,255,normal
SF,99,normal
SF,255,normal
SF,12,normal
SF,8,normal
SF,255,normal
SF,28,normal
SF,31,normal
SF,44,normal
SF,255,normal
SF,255,normal
SF,18,normal
REJ,14,normal
SF,236,normal
SF,3,normal
SF,250,normal
SF,255,normal
SF,81,normal
SF,191,normal
SF,255,normal
SF,255,normal
SF,122,normal
SF,116,normal
SF,26,normal
SF,10,normal
SF,4,normal
SF,133,normal
SF,255,normal
SF,255,normal
SF,255,normal
SF,205,normal
SF,24,normal
SF,255,normal
SF,66,normal
REJ,41,normal
SF,63,normal
REJ,9,normal
SF,255,normal
SF,163,normal
SF,255,normal
SF,3,normal
SF,35,normal
SF,255,normal
OTH,75,attack
OTH,70,attack
OTH,71,attack
OTH,67,attack
OTH,71,attack
OTH,71,attack
OTH,64,attack
OTH,65,attack
OTH,64,attack
OTH,66,attack
OTH,57,attack
OTH,70,attack
OTH,65,attack
OTH,73,attack
OTH,67,attack
OTH,76,attack
OTH,66,attack
OTH,71,attack
OTH,68,attack
OTH,63,attack
OTH,70,attack
OTH,69,attack
OTH,71,attack
OTH,66,attack
OTH,68,attack
OTH,69,attack
OTH,65,attack
OTH,62,attack
OTH,72,attack
OTH,67,attack
OTH,76,attack
OTH,66,attack
OTH,68,attack
OTH,65,attack
OTH,13,attack
OTH,64,attack
OTH,74,attack
OTH,80,attack
OTH,71,attack
OTH,69,attack
OTH,69,attack
OTH,74,attack
OTH,67,attack
OTH,69,attack
OTH,68,attack
OTH,66,attack
OTH,73,attack
OTH,73,attack
OTH,67,attack
OTH,76,attack
OTH,71,attack
OTH,75,attack
OTH,70,attack
OTH,70,attack
OTH,74,attack
OTH,70,attack
OTH,74,attack
OTH,67,attack
OTH,68,attack
OTH,70,attack
OTH,71,attack
OTH,71,attack
OTH,75,attack
OTH,71,attack
OTH,76,attack
OTH,73,attack
OTH,70,attack
OTH,70,attack
OTH,71,attack
OTH,69,attack
OTH,68,attack
OTH,70,attack
OTH,68,attack
OTH,64,attack
OTH,69,attack
OTH,62,attack
OTH,65,attack
OTH,68,attack
OTH,74,attack
OTH,68,attack
OTH,67,attack
OTH,69,attack
OTH,70,attack
OTH,67,attack
OTH,67,attack
OTH,65,attack
OTH,71,attack
OTH,69,attack
OTH,72,attack
OTH,70,attack
OTH,70,attack
OTH,69,attack
OTH,75,attack
OTH,64,attack
OTH,71,attack
OTH,65,attack
OTH,61,attack
OTH,63,attack
OTH,64,attack
OTH,66,attack
OTH,66,attack
OTH,67,attack
OTH,75,attack
OTH,74,attack
OTH,64,attack
OTH,75,attack
OTH,67,attack
OTH,70,attack
OTH,72,attack
OTH,71,attack
OTH,65,attack
OTH,67,attack
OTH,67,attack
OTH,69,attack
OTH,68,attack
OTH,69,attack
OTH,72,attack
OTH,64,attack
OTH,71,attack
OTH,70,attack
OTH,66,attack
OTH,73,attack
OTH,68,attack
OTH,71,attack
OTH,77,attack
OTH,68,attack
OTH,68,attack
OTH,65,attack
OTH,66,attack
OTH,66,attack
OTH,72,attack
OTH,67,attack
OTH,64,attack
OTH,73,attack
OTH,69,attack
OTH,67,attack
OTH,71,attack
OTH,73,attack
OTH,76,attack
OTH,74,attack
OTH,72,attack
OTH,72,attack
OTH,73,attack
OTH,69,attack
OTH,67,attack
OTH,73,attack
OTH,68,attack
OTH,75,attack
OTH,71,attack
OTH,71,attack
OTH,68,attack
OTH,70,attack
OTH,71,attack
OTH,70,attack
OTH,65,attack
OTH,69,attack
OTH,68,attack
OTH,67,attack
OTH,68,attack
OTH,69,attack
OTH,71,attack
OTH,74,attack
OTH,65,attack
OTH,67,attack
OTH,72,attack
OTH,53,attack
OTH,67,attack
OTH,71,attack
OTH,67,attack
OTH,72,attack
OTH,67,attack
OTH,67,attack
OTH,71,attack
OTH,71,attack
OTH,71,attack
OTH,76,attack
OTH,70,attack
OTH,70,attack
OTH,66,attack
OTH,68,attack
OTH,71,attack
OTH,67,attack
OTH,65,attack
OTH,64,attack
OTH,73,attack
OTH,72,attack
OTH,67,attack
OTH,66,attack
OTH,72,attack
OTH,67,attack
OTH,66,attack
OTH,68,attack
OTH,66,attack
OTH,74,attack
OTH,65,attack
OTH,70,attack
OTH,71,attack
OTH,70,attack
OTH,69,attack
OTH,65,attack
OTH,73,attack
OTH,67,attack
OTH,70,attack
OTH,68,attack
OTH,72,attack
OTH,66,attack
OTH,71,attack
OTH,70,attack
OTH,64,attack
OTH,67,attack
OTH,60,attack
OTH,70,attack
OTH,70,attack
OTH,70,attack
OTH,70,attack
OTH,75,attack
OTH,81,attack
OTH,68,attack
OTH,74,attack
OTH,72,attack
OTH,69,attack
OTH,68,attack
OTH,69,attack
OTH,67,attack
OTH,69,attack
OTH,65,attack
OTH,70,attack
OTH,66,attack
OTH,73,attack
OTH,67,attack
OTH,63,attack
OTH,71,attack
OTH,62,attack
OTH,67,attack
OTH,67,attack
OTH,63,attack
OTH,67,attack
OTH,67,attack
OTH,68,attack
OTH,73,attack
OTH,51,attack
OTH,69,attack
OTH,68,attack
OTH,76,attack
OTH,69,attack
OTH,73,attack
OTH,70,attack
OTH,62,attack
OTH,79,attack
OTH,65,attack
OTH,65,attack
OTH,76,attack
OTH,69,attack
OTH,64,attack
OTH,70,attack
OTH,67,attack
OTH,70,attack
OTH,70,attack
OTH,68,attack
OTH,52,attack
OTH,74,attack
OTH,69,attack
OTH,72,attack
OTH,73,attack
OTH,65,attack
OTH,70,attack
OTH,66,attack
OTH,70,attack
OTH,68,attack
OTH,77,attack
OTH,67,attack
OTH,74,attack
OTH,70,attack
OTH,69,attack
OTH,70,attack
OTH,63,attack
OTH,70,attack
OTH,74,attack
OTH,71,attack
OTH,65,attack
OTH,72,attack
OTH,71,attack
OTH,72,attack
OTH,74,attack
OTH,70,attack
OTH,62,attack
OTH,65,attack
OTH,72,attack
OTH,71,attack
OTH,73,attack
OTH,73,attack
OTH,69,attack
OTH,71,attack
OTH,70,attack
OTH,67,attack
OTH,77,attack
OTH,74,attack
OTH,72,attack
OTH,72,attack
OTH,68,attack
OTH,73,attack
OTH,69,attack
OTH,69,attack
OTH,68,attack
OTH,63,attack
OTH,67,attack
OTH,70,attack
OTH,64,attack
OTH,69,attack
OTH,65,attack
OTH,65,attack
OTH,69,attack
OTH,73,attack
OTH,68,attack
OTH,69,attack
OTH,65,attack
OTH,72,attack
OTH,75,attack
OTH,69,attack
OTH,65,attack
OTH,67,attack
OTH,76,attack
OTH,68,attack
OTH,72,attack
OTH,70,attack
OTH,66,attack
OTH,66,attack
OTH,66,attack
OTH,63,attack
OTH,68,attack
OTH,62,attack
OTH,76,attack
OTH,64,attack
OTH,72,attack
OTH,78,attack
OTH,73,attack
OTH,68,attack
OTH,65,attack
OTH,72,attack
OTH,69,attack
OTH,59,attack
OTH,76,attack
OTH,66,attack
OTH,70,attack
OTH,72,attack
OTH,66,attack
OTH,72,attack
OTH,68,attack
OTH,68,attack
OTH,63,attack
OTH,68,attack
OTH,75,attack
OTH,68,attack
OTH,68,attack
OTH,71,attack
OTH,71,attack
OTH,66,attack
OTH,70,attack
OTH,62,attack
OTH,70,attack
OTH,76,attack
OTH,74,attack
OTH,65,attack
OTH,73,attack
OTH,67,attack
OTH,66,attack
OTH,66,attack
OTH,67,attack
OTH,66,attack
OTH,66,attack
OTH,73,attack
OTH,77,attack
OTH,65,attack
OTH,68,attack
OTH,71,attack
OTH,66,attack
OTH,74,attack
OTH,70,attack
OTH,71,attack
OTH,67,attack
OTH,72,attack
OTH,62,attack
OTH,72,attack
OTH,65,attack
OTH,68,attack
OTH,73,attack
OTH,68,attack
OTH,67,attack
OTH,68,attack
OTH,74,attack
OTH,74,attack
OTH,70,attack
OTH,73,attack
OTH,74,attack
OTH,68,attack
OTH,68,attack
OTH,67,attack
OTH,70,attack
OTH,58,attack
OTH,73,attack
OTH,68,attack
OTH,64,attack
OTH,68,attack
OTH,75,attack
OTH,68,attack
OTH,70,attack
OTH,71,attack
OTH,74,attack
OTH,70,attack
OTH,74,attack
OTH,64,attack
OTH,74,attack
OTH,73,attack
OTH,56,attack
OTH,72,attack
OTH,75,attack
OTH,72,attack
OTH,68,attack
OTH,65,attack
OTH,67,attack
OTH,64,attack
OTH,77,attack
OTH,66,attack
OTH,67,attack
OTH,67,attack
OTH,76,attack
OTH,69,attack
OTH,76,attack
OTH,67,attack
OTH,64,attack
OTH,64,attack
OTH,68,attack
OTH,71,attack
OTH,67,attack
OTH,70,attack
OTH,69,attack
OTH,66,attack
OTH,76,attack
OTH,67,attack
OTH,73,attack
OTH,66,attack
OTH,63,attack
OTH,67,attack
OTH,69,attack
OTH,67,attack
OTH,68,attack
OTH,66,attack
OTH,62,attack
OTH,67,attack
OTH,71,attack
OTH,67,attack
OTH,72,attack
OTH,69,attack
OTH,69,attack
OTH,75,attack
OTH,67,attack
OTH,68,attack
OTH,64,attack
OTH,67,attack
OTH,72,attack
OTH,66,attack
OTH,70,attack
OTH,72,attack
OTH,76,attack
OTH,75,attack
OTH,67,attack
OTH,72,attack
OTH,64,attack
OTH,69,attack
OTH,57,attack
OTH,65,attack
OTH,65,attack
OTH,72,attack
OTH,62,attack
OTH,69,attack
OTH,66,attack
OTH,67,attack
OTH,72,attack
OTH,71,attack
OTH,75,attack
OTH,67,attack
OTH,76,attack
OTH,67,attack
OTH,72,attack
OTH,69,attack
OTH,70,attack
OTH,71,attack
OTH,69,attack
OTH,71,attack
OTH,65,attack
OTH,66,attack
OTH,78,attack
OTH,69,attack
OTH,65,attack
OTH,71,attack
OTH,69,attack
OTH,71,attack
OTH,67,attack
OTH,68,attack
OTH,66,attack
OTH,70,attack
OTH,68,attack
OTH,78,attack
OTH,70,attack
OTH,74,attack
OTH,70,attack
OTH,73,attack
OTH,65,attack
OTH,66,attack
OTH,66,attack
OTH,68,attack
OTH,72,attack
OTH,73,attack
OTH,69,attack
OTH,67,attack
OTH,68,attack
OTH,70,attack
OTH,62,attack
OTH,71,attack
OTH,65,attack
OTH,71,attack
OTH,77,attack
OTH,72,attack
OTH,71,attack
OTH,67,attack
OTH,70,attack
OTH,70,attack
OTH,74,attack
OTH,68,attack
OTH,69,attack
OTH,73,attack
OTH,63,attack
OTH,69,attack
OTH,68,attack
OTH,68,attack
OTH,72,attack
OTH,75,attack
OTH,67,attack
OTH,67,attack
OTH,70,attack
OTH,72,attack
OTH,70,attack
OTH,73,attack
OTH,67,attack
OTH,73,attack
OTH,66,attack
OTH,76,attack
OTH,75,attack
OTH,70,attack
OTH,70,attack
OTH,69,attack
OTH,71,attack
OTH,68,attack
OTH,65,attack
OTH,70,attack
OTH,67,attack
OTH,75,attack
OTH,67,attack
OTH,77,attack
OTH,73,attack
OTH,62,attack
OTH,68,attack
OTH,65,attack
OTH,66,attack
OTH,75,attack
OTH,67,attack
OTH,68,attack
OTH,70,attack
OTH,67,attack
OTH,73,attack
OTH,69,attack
OTH,70,attack
OTH,71,attack
OTH,69,attack
OTH,74,attack
OTH,65,attack
OTH,76,attack
OTH,70,attack
OTH,70,attack
OTH,66,attack
OTH,70,attack
OTH,67,attack
OTH,72,attack
OTH,69,attack
OTH,69,attack
OTH,63,attack
OTH,67,attack
OTH,71,attack
OTH,74,attack
OTH,67,attack
OTH,74,attack
OTH,74,attack
OTH,68,attack
OTH,68,attack
OTH,73,attack
OTH,74,attack
OTH,71,attack
OTH,63,attack
OTH,68,attack
OTH,62,attack
OTH,71,attack
OTH,68,attack
OTH,65,attack
OTH,69,attack
OTH,67,attack
OTH,76,attack
OTH,65,attack
OTH,69,attack
OTH,77,attack
OTH,74,attack
OTH,61,attack
OTH,64,attack
OTH,71,attack
OTH,70,attack
OTH,82,attack
OTH,73,attack
OTH,67,attack
OTH,46,attack
OTH,66,attack
OTH,68,attack
OTH,73,attack
OTH,67,attack
OTH,73,attack
OTH,67,attack
OTH,65,attack
OTH,67,attack
OTH,73,attack
OTH,66,attack
OTH,68,attack
OTH,72,attack
OTH,72,attack
OTH,74,attack
OTH,79,attack
OTH,69,attack
OTH,70,attack
OTH,72,attack
OTH,71,attack
OTH,70,attack
OTH,68,attack
OTH,70,attack
OTH,67,attack
OTH,70,attack
OTH,66,attack
OTH,72,attack
OTH,63,attack
OTH,69,attack
OTH,71,attack
OTH,73,attack
OTH,67,attack
OTH,68,attack
OTH,71,attack
OTH,70,attack
OTH,70,attack
OTH,68,attack
OTH,66,attack
OTH,68,attack
OTH,71,attack
OTH,70,attack
OTH,68,attack
OTH,66,attack
OTH,71,attack
OTH,70,attack
OTH,75,attack
OTH,70,attack
OTH,72,attack
OTH,74,attack
OTH,73,attack
OTH,70,attack
OTH,67,attack
OTH,69,attack
OTH,80,attack
OTH,76,attack
OTH,71,attack
OTH,73,attack
OTH,74,attack
OTH,65,attack
OTH,67,attack
OTH,69,attack
OTH,61,attack
OTH,68,attack
OTH,74,attack
OTH,76,attack
OTH,52,attack
OTH,73,attack
OTH,70,attack
OTH,62,attack
OTH,74,attack
OTH,76,attack
OTH,73,attack
OTH,73,attack
OTH,69,attack
OTH,66,attack
OTH,70,attack
OTH,73,attack
OTH,70,attack
OTH,72,attack
OTH,71,attack
OTH,57,attack
OTH,68,attack
OTH,77,attack
OTH,76,attack
OTH,69,attack
OTH,67,attack
OTH,72,attack
OTH,69,attack
OTH,71,attack
OTH,70,attack
OTH,68,attack
OTH,66,attack
OTH,66,attack
OTH,68,attack
OTH,73,attack
OTH,70,attack
OTH,72,attack
OTH,71,attack
OTH,65,attack
OTH,70,attack
OTH,68,attack
OTH,71,attack
OTH,69,attack
OTH,73,attack
OTH,72,attack
OTH,67,attack
OTH,71,attack
OTH,67,attack
OTH,67,attack
OTH,73,attack
OTH,61,attack
OTH,69,attack
OTH,68,attack
OTH,72,attack
OTH,68,attack
OTH,66,attack
OTH,75,attack
OTH,67,attack
OTH,68,attack
OTH,75,attack
OTH,76,attack
OTH,70,attack
OTH,67,attack
OTH,74,attack
OTH,67,attack
OTH,67,attack
OTH,70,attack
OTH,63,attack
OTH,74,attack
OTH,66,attack
OTH,67,attack
OTH,71,attack
OTH,68,attack
OTH,71,attack
OTH,72,attack
OTH,68,attack
OTH,74,attack
OTH,74,attack
OTH,67,attack
OTH,68,attack
OTH,69,attack
OTH,63,attack
OTH,69,attack
OTH,67,attack
OTH,70,attack
OTH,73,attack
OTH,63,attack
OTH,68,attack
OTH,71,attack
OTH,68,attack
OTH,71,attack
OTH,67,attack
OTH,67,attack
OTH,75,attack
OTH,77,attack
OTH,72,attack
OTH,70,attack
OTH,71,attack
OTH,67,attack
OTH,70,attack
OTH,66,attack
OTH,66,attack
OTH,72,attack
OTH,68,attack
OTH,66,attack
OTH,61,attack
OTH,66,attack
OTH,76,attack
OTH,72,attack
OTH,68,attack
OTH,76,attack
OTH,69,attack
OTH,69,attack
OTH,70,attack
OTH,66,attack
OTH,72,attack
OTH,74,attack
OTH,70,attack
OTH,77,attack
OTH,72,attack
OTH,71,attack
OTH,71,attack
OTH,75,attack
OTH,69,attack
OTH,69,attack
OTH,61,attack
OTH,66,attack
OTH,72,attack
OTH,70,attack
OTH,72,attack
OTH,67,attack
OTH,72,attack
OTH,72,attack
OTH,73,attack
OTH,64,attack
OTH,67,attack
OTH,72,attack
OTH,61,attack
OTH,69,attack
OTH,70,attack
OTH,74,attack
OTH,65,attack
OTH,65,attack
OTH,67,attack
OTH,62,attack
OTH,70,attack
OTH,63,attack
OTH,66,attack
OTH,67,attack
OTH,72,attack
OTH,71,attack
OTH,79,attack
OTH,71,attack
OTH,65,attack
OTH,67,attack
OTH,72,attack
OTH,68,attack
OTH,70,attack
OTH,68,attack
OTH,68,attack
OTH,75,attack
OTH,70,attack
OTH,68,attack
OTH,73,attack
OTH,67,attack
OTH,68,attack
OTH,69,attack
OTH,66,attack
OTH,66,attack
OTH,69,attack
OTH,69,attack
OTH,69,attack
OTH,69,attack
OTH,76,attack
OTH,75,attack
OTH,65,attack
OTH,68,attack
OTH,75,attack
OTH,72,attack
OTH,69,attack
OTH,34,attack
OTH,34,attack
OTH,33,attack
OTH,41,attack
OTH,35,attack
OTH,43,attack
OTH,33,attack
OTH,33,attack
OTH,30,attack
OTH,34,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,32,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,34,attack
OTH,40,attack
OTH,34,attack
OTH,33,attack
OTH,37,attack
OTH,33,attack
OTH,36,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,21,attack
OTH,40,attack
OTH,34,attack
OTH,34,attack
OTH,22,attack
OTH,23,attack
OTH,31,attack
OTH,26,attack
OTH,34,attack
OTH,40,attack
OTH,34,attack
OTH,33,attack
OTH,33,attack
OTH,12,attack
OTH,42,attack
OTH,34,attack
OTH,38,attack
OTH,37,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,18,attack
OTH,33,attack
OTH,34,attack
OTH,33,attack
OTH,28,attack
OTH,33,attack
OTH,33,attack
OTH,34,attack
OTH,22,attack
OTH,26,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,21,attack
OTH,13,attack
OTH,33,attack
OTH,42,attack
OTH,29,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,30,attack
OTH,34,attack
OTH,33,attack
OTH,42,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,34,attack
OTH,33,attack
OTH,42,attack
OTH,29,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,34,attack
OTH,34,attack
OTH,33,attack
OTH,34,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,24,attack
OTH,31,attack
OTH,33,attack
OTH,42,attack
OTH,33,attack
OTH,33,attack
OTH,33,attack
OTH,22,attack
OTH,39,attack
OTH,33,attack
OTH,34,attack
OTH,34,attack
