% isAttack HIGH_RATE:	888
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4,9,12,18,21,23,27'

@attribute src_bytes numeric
@attribute srv_count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
0,1,1,255,0.01,0,NORMAL
169,1,0,255,0.12,0,NORMAL
293,5,0,255,0.01,0.01,NORMAL
253,2,0,255,0.01,0.01,NORMAL
210,14,0,255,0.05,0,NORMAL
0,1,1,115,0.05,0,NORMAL
209,1,0,255,0.05,0,NORMAL
360,7,0,255,0,0,NORMAL
240,9,0,255,0.03,0,NORMAL
213,7,0,255,0,0,NORMAL
314,16,0,255,0.01,0.01,NORMAL
236,17,0,255,0.05,0,NORMAL
325,5,0,255,0,0,NORMAL
327,23,0,255,0.01,0.01,NORMAL
238,14,0,79,0.02,0,NORMAL
305,5,0,255,0.03,0,NORMAL
318,21,0,255,0.33,0,NORMAL
323,4,0,255,0.25,0.25,NORMAL
0,1,0,196,0,0,NORMAL
0,1,1,251,0.25,0,NORMAL
295,5,0,255,0.1,0,NORMAL
289,15,0,255,0.01,0,NORMAL
297,6,0,255,0.01,0.02,NORMAL
216,7,0,255,0.03,0,NORMAL
307,17,0,255,0.01,0,NORMAL
0,1,1,219,1,0,NORMAL
302,12,0,255,0.03,0,NORMAL
296,6,0,252,0,0,NORMAL
199,7,0,255,0.03,0,NORMAL
287,11,0,255,0,0,NORMAL
311,19,0,255,0,0,NORMAL
199,3,0,212,0,0,NORMAL
249,17,0,255,0,0,NORMAL
325,12,0,255,0.1,0,NORMAL
157,1,0,255,0.25,0,NORMAL
240,7,0,255,0.01,0,NORMAL
236,11,0,255,0,0,NORMAL
289,2,0,255,0.02,0,NORMAL
157,17,0,255,0,0,NORMAL
0,3,1,253,0.07,0,NORMAL
0,1,0,255,0,0.01,NORMAL
244,31,0,255,0.03,0,NORMAL
332,15,0,255,0,0,NORMAL
0,1,1,255,0.01,0,NORMAL
227,29,0,255,0,0,NORMAL
282,8,0,255,0.01,0,NORMAL
212,21,0,255,0,0,NORMAL
203,4,0,255,0,0,NORMAL
297,29,0,255,0.01,0,NORMAL
0,1,1,90,1,0,NORMAL
184,3,0,255,0.5,0,NORMAL
219,12,0,255,0.01,0,NORMAL
304,19,0,252,0.07,0.07,NORMAL
288,48,0,255,0.01,0,NORMAL
197,11,0,255,0.02,0,NORMAL
302,3,0,255,0,0,NORMAL
259,9,0,255,0.11,0,NORMAL
325,24,0,255,0.02,0,NORMAL
237,14,0,255,0.03,0,NORMAL
0,1,1,227,0.14,0,NORMAL
229,12,0,255,0,0,NORMAL
225,10,0,255,0,0,NORMAL
234,20,0,255,0,0,NORMAL
209,1,0,255,1,0,NORMAL
322,9,0,255,0,0,NORMAL
0,4,1,255,0.12,0,NORMAL
0,1,1,163,0.17,0,NORMAL
325,4,0,255,0.04,0,NORMAL
262,4,0,255,0.01,0.02,NORMAL
204,18,0,255,0,0,NORMAL
216,7,0,255,0,0,NORMAL
200,7,0,255,0.03,0,NORMAL
234,17,0,255,0,0,NORMAL
226,20,0,255,0.05,0,NORMAL
153,8,0,255,0,0,NORMAL
319,25,0,255,0,0,NORMAL
234,44,0,255,0,0,NORMAL
255,6,0,255,0.01,0,NORMAL
0,2,1,34,1,0,NORMAL
279,5,0,255,0.17,0,NORMAL
220,5,0,255,0.02,0,NORMAL
212,3,0,255,0.33,0,NORMAL
300,6,0,255,0.03,0,NORMAL
299,14,0,255,0,0,NORMAL
274,13,0,255,0,0,NORMAL
356,33,0,255,0,0,NORMAL
285,14,0,255,0.05,0,NORMAL
211,15,0,255,0.07,0,NORMAL
227,17,0,255,0,0,NORMAL
204,36,0,255,0.01,0,NORMAL
0,13,0.33,255,0.01,0,NORMAL
315,14,0,255,0,0,NORMAL
153,12,0,255,0,0,NORMAL
210,2,0,255,0.5,0,NORMAL
203,10,0,255,0.2,0,NORMAL
266,1,0,255,0.14,0,NORMAL
0,1,1,238,0.5,0,NORMAL
307,11,0,255,0.03,0,NORMAL
320,53,0,255,0,0,NORMAL
308,7,0,255,0.05,0,NORMAL
215,9,0,255,0.01,0,NORMAL
236,22,0,255,0.01,0,NORMAL
224,7,0,255,0.01,0,NORMAL
225,5,0,255,0.02,0,NORMAL
295,7,0,255,0.05,0,NORMAL
273,1,0,255,0.01,0,NORMAL
313,13,0,255,0.08,0,NORMAL
249,2,0,228,0,0,NORMAL
285,6,0,255,0.17,0,NORMAL
213,5,0,255,0.01,0,NORMAL
239,8,0,255,0,0,NORMAL
241,5,0,255,0.01,0,NORMAL
186,20,0,255,0.01,0.01,NORMAL
326,32,0,255,0,0,NORMAL
0,11,0.73,179,0.03,0,NORMAL
309,16,0,255,0,0,NORMAL
316,5,0,255,0,0,NORMAL
327,27,0,255,0,0,NORMAL
317,3,0,255,0.09,0,NORMAL
337,6,0,255,0,0,NORMAL
454,10,0,255,0.25,0,NORMAL
262,1,0,255,1,0,NORMAL
243,33,0,255,0.08,0,NORMAL
384,18,0,255,0.03,0,NORMAL
0,1,1,117,0.33,0,NORMAL
166,3,0,255,0.33,0,NORMAL
171,1,0,255,0,0,NORMAL
321,6,0,255,0.04,0,NORMAL
0,1,1,255,0.07,0,NORMAL
227,7,0,255,0.01,0.01,NORMAL
0,1,1,250,0.12,0,NORMAL
271,11,0,255,0.09,0,NORMAL
209,9,0,255,0.03,0,NORMAL
248,8,0,255,0,0,NORMAL
179,9,0,255,0,0,NORMAL
232,22,0,255,0,0,NORMAL
270,1,0,166,0.01,0,NORMAL
304,14,0,255,0,0,NORMAL
189,13,0,255,0.25,0,NORMAL
276,1,0,225,0,0,NORMAL
191,9,0,255,0.12,0,NORMAL
316,11,0,255,0.01,0,NORMAL
229,6,0,255,0,0,NORMAL
0,1,1,253,0.5,0,NORMAL
192,3,0,164,0.12,0,NORMAL
309,13,0,234,0,0,NORMAL
278,15,0,255,0.04,0,NORMAL
214,5,0,255,0.2,0,NORMAL
204,38,0,255,0,0,NORMAL
380,5,0,255,0,0,NORMAL
237,5,0,255,1,0,NORMAL
240,14,0,255,0.02,0,NORMAL
329,8,0,244,0.02,0,NORMAL
271,10,0,255,1,0,NORMAL
227,21,0,255,0.02,0,NORMAL
246,23,0,255,0.02,0,NORMAL
231,12,0,251,0.09,0,NORMAL
190,7,0,255,0,0,NORMAL
320,10,0,255,0.03,0,NORMAL
289,4,0,255,0,0,NORMAL
330,10,0,255,0.01,0,NORMAL
335,21,0,255,0,0,NORMAL
204,23,0,255,0.01,0,NORMAL
0,2,1,152,0.12,0,NORMAL
195,3,0,255,0.2,0,NORMAL
291,8,0,255,0,0,NORMAL
284,1,0,255,0.03,0,NORMAL
250,1,0,255,0,0,NORMAL
234,77,0,255,0.01,0,NORMAL
273,31,0,255,0.01,0,NORMAL
312,2,0,255,0.02,0,NORMAL
217,11,0,255,0.01,0,NORMAL
225,5,0,255,0,0,NORMAL
201,1,0,255,0.01,0,NORMAL
218,1,0,255,1,0,NORMAL
297,1,0,255,0.01,0,NORMAL
232,19,0,255,0.1,0,NORMAL
238,21,0,122,0.01,0,NORMAL
252,3,0,255,0,0,NORMAL
352,4,0,255,0.01,0,NORMAL
192,1,0,255,0,0,NORMAL
289,3,0,155,0.11,0,NORMAL
342,9,0,255,0,0,NORMAL
167,2,0,255,0.01,0,NORMAL
386,5,0,255,0.07,0,NORMAL
263,2,0,255,0.1,0,NORMAL
332,7,0,248,0,0.01,NORMAL
234,7,0,255,0.17,0,NORMAL
315,7,0,255,0.14,0,NORMAL
214,24,0,255,0.14,0,NORMAL
218,2,0,255,0.03,0,NORMAL
301,5,0,255,0,0,NORMAL
207,7,0,255,0.02,0,NORMAL
267,1,0,239,0,0,NORMAL
326,4,0,255,0.01,0,NORMAL
265,20,0,255,0.02,0,NORMAL
336,47,0,255,0.01,0,NORMAL
164,6,0,255,0.11,0,NORMAL
333,17,0,255,0.06,0,NORMAL
0,1,1,255,0.5,0,NORMAL
223,6,0,255,0.04,0,NORMAL
228,14,0,37,0.03,0.03,NORMAL
197,54,0,255,0.01,0,NORMAL
258,9,0,4,1,0,NORMAL
220,34,0,255,0.02,0,NORMAL
283,11,0,255,0.02,0,NORMAL
190,22,0,255,0,0,NORMAL
322,15,0,255,0.05,0,NORMAL
209,6,0,255,0.05,0,NORMAL
229,2,0,255,0.05,0,NORMAL
229,13,0,215,0.06,0,NORMAL
216,30,0,255,0.01,0,NORMAL
0,1,1,255,0.02,0,NORMAL
185,13,0,255,0,0.01,NORMAL
291,1,0,255,0,0,NORMAL
327,10,0,255,0.01,0,NORMAL
202,6,0,255,0.25,0,NORMAL
312,4,0,255,0.01,0,NORMAL
0,1,1,219,0.01,0,NORMAL
261,4,0,249,0,0,NORMAL
298,26,0,255,0.01,0,NORMAL
224,12,0,255,0.01,0,NORMAL
304,19,0,255,0.01,0,NORMAL
216,7,0,255,0.01,0,NORMAL
215,13,0,255,0.02,0,NORMAL
180,39,0,255,0.01,0,NORMAL
307,11,0,255,0.02,0,NORMAL
162,1,0,255,1,0,NORMAL
314,15,0,255,0,0,NORMAL
237,16,0,255,0.01,0,NORMAL
0,25,0,255,0,0,NORMAL
233,1,0,255,0.01,0,NORMAL
289,12,0,255,0,0,NORMAL
415,13,0,255,0.07,0,NORMAL
246,8,0,255,0.04,0,NORMAL
211,11,0,255,0.01,0.01,NORMAL
296,4,0,119,0.01,0,NORMAL
288,12,0,255,0.01,0,NORMAL
233,3,0,255,0.1,0,NORMAL
256,17,0,255,0.01,0,NORMAL
204,9,0,255,0,0,NORMAL
188,2,0,255,0,0,NORMAL
171,9,0,214,0,0,NORMAL
313,8,0,255,0.12,0,NORMAL
297,4,0,255,0.07,0,NORMAL
232,4,0,255,0,0,NORMAL
222,3,0,255,0.17,0,NORMAL
240,4,0,255,0.25,0,NORMAL
328,15,0,255,0,0,NORMAL
219,12,0,255,0.02,0,NORMAL
240,14,0,255,0,0,NORMAL
235,2,0,255,0,0.01,NORMAL
335,28,0,255,0.11,0,NORMAL
299,5,0,80,0.01,0,NORMAL
201,19,0,255,0,0,NORMAL
267,12,0,247,0,0,NORMAL
377,5,0,255,0.01,0,NORMAL
185,2,0,255,0,0,NORMAL
215,8,0,255,0.03,0,NORMAL
235,5,0,255,0,0,NORMAL
236,1,0,255,1,0,NORMAL
230,25,0,255,0.05,0,NORMAL
241,2,0,255,0,0,NORMAL
0,1,1,231,0.12,0,NORMAL
238,3,0,255,0.33,0,NORMAL
204,7,0,255,0.01,0,NORMAL
232,3,0,255,0,0,NORMAL
228,9,0,255,0.04,0,NORMAL
229,3,0,255,0,0,NORMAL
344,27,0,255,0.02,0,NORMAL
216,6,0,255,0.01,0,NORMAL
151,12,0,255,0.08,0,NORMAL
294,6,0,255,0.02,0,NORMAL
199,30,0,255,0,0,NORMAL
266,9,0,255,0,0,NORMAL
316,4,0,255,0.02,0,NORMAL
199,3,0,255,0.03,0,NORMAL
216,6,0,255,0.08,0,NORMAL
346,8,0,255,0.08,0,NORMAL
277,34,0,255,0.06,0,NORMAL
249,18,0,255,0.07,0,NORMAL
352,23,0,255,0.01,0,NORMAL
306,30,0,251,0,0,NORMAL
282,9,0,255,0,0,NORMAL
214,31,0,255,0,0,NORMAL
232,30,0,255,0.01,0,NORMAL
0,1,0,126,0.14,1,NORMAL
0,4,0.75,245,0.03,0,NORMAL
313,14,0,255,0,0,NORMAL
200,11,0,255,0,0,NORMAL
0,1,1,250,0.17,0,NORMAL
0,1,1,207,0,0,NORMAL
334,10,0,63,0.01,0,NORMAL
154,3,0,255,0.01,0,NORMAL
228,12,0,255,0.08,0,NORMAL
222,16,0,255,0.01,0,NORMAL
208,8,0,255,0.03,0,NORMAL
204,5,0,255,0.67,0.33,NORMAL
256,1,0,255,0,0,NORMAL
0,1,1,255,0.5,0,NORMAL
297,9,0,67,0.01,0,NORMAL
194,17,0,255,0.12,0,NORMAL
153,1,0,255,0,0,NORMAL
316,22,0,255,0,0,NORMAL
185,2,0,255,0.01,0,NORMAL
240,6,0,255,0,0.01,NORMAL
250,36,0,255,0.01,0,NORMAL
208,10,0,255,0,0,NORMAL
233,21,0,255,0.01,0,NORMAL
295,11,0,255,0.01,0,NORMAL
276,11,0,255,0.01,0,NORMAL
260,4,0,255,0,0,NORMAL
222,7,0,255,0.05,0,NORMAL
294,8,0,255,0.14,0,NORMAL
255,19,0,255,0,0,NORMAL
193,2,0,255,0.5,0,NORMAL
218,9,0,255,0,0,NORMAL
190,2,0,255,0.1,0,NORMAL
0,1,1,12,0.04,0.04,NORMAL
302,3,0,255,0,0,NORMAL
302,10,0,255,0.01,0,NORMAL
261,9,0,255,0.05,0,NORMAL
322,15,0,255,0,0,NORMAL
320,30,0,255,0.01,0,NORMAL
344,25,0,255,0.03,0.03,NORMAL
200,15,0,255,0.02,0,NORMAL
343,11,0,255,0.01,0,NORMAL
322,5,0,255,0,0,NORMAL
231,10,0,247,0,0,NORMAL
229,11,0,255,0,0,NORMAL
342,5,0,255,0.01,0.01,NORMAL
194,2,0,255,0.25,0,NORMAL
245,33,0,29,0.04,0,NORMAL
326,2,0,11,0.12,0,NORMAL
233,7,0,255,0,0,NORMAL
360,3,0,255,0.5,0,NORMAL
272,3,0,255,0.02,0,NORMAL
325,9,0,72,0.01,0,NORMAL
239,16,0,255,0,0,NORMAL
319,30,0,255,0,0,NORMAL
190,5,0,47,0.03,0,NORMAL
204,24,0,255,0.2,0,NORMAL
318,4,0,255,0.06,0,NORMAL
317,23,0,255,0,0,NORMAL
324,2,0,255,0,0,NORMAL
323,5,0,255,0,0,NORMAL
306,9,0,255,0.17,0,NORMAL
319,42,0,193,0.11,0,NORMAL
253,9,0,255,0,0.01,NORMAL
313,6,0,127,0.01,0,NORMAL
330,11,0,255,0,0,NORMAL
289,26,0,255,0,0,NORMAL
272,27,0,255,0.01,0,NORMAL
246,4,0,255,0.01,0,NORMAL
226,23,0,255,0.03,0,NORMAL
235,11,0,153,0.01,0.01,NORMAL
237,5,0,255,0,0,NORMAL
204,3,0,255,0.04,0,NORMAL
219,27,0,255,0,0,NORMAL
249,4,0,255,0.25,0.25,NORMAL
300,46,0,255,0.01,0,NORMAL
212,22,0,255,0,0,NORMAL
0,4,1,22,0.08,0,NORMAL
0,1,1,219,0.17,0,NORMAL
212,12,0,255,0,0,NORMAL
163,6,0,255,0.17,0,NORMAL
318,5,0,255,0.01,0,NORMAL
208,5,0,255,0.02,0,NORMAL
208,10,0,255,0.04,0,NORMAL
208,5,0,255,0.2,0,NORMAL
286,37,0,255,0,0,NORMAL
199,5,0,255,0.17,0,NORMAL
295,2,0,255,0.2,0,NORMAL
190,26,0,255,0.01,0,NORMAL
267,9,0,255,0.04,0,NORMAL
0,1,1,255,0.01,0,NORMAL
213,4,0,255,0.07,0,NORMAL
240,7,0,246,0,0,NORMAL
0,2,0,254,0.67,0.33,NORMAL
295,9,0.11,255,0,0,NORMAL
214,8,0,255,0.05,0.05,NORMAL
197,34,0,237,0,0,NORMAL
321,19,0,255,0.02,0,NORMAL
325,22,0,255,0.02,0,NORMAL
307,6,0,255,0,0,NORMAL
277,25,0,255,0.07,0,NORMAL
330,4,0,255,0,0,NORMAL
197,19,0,255,0.01,0,NORMAL
324,8,0,255,0,0,NORMAL
204,53,0,255,0,0,NORMAL
361,5,0,255,0.04,0,NORMAL
151,2,1,255,0.01,0.03,NORMAL
237,5,0,255,0.05,0,NORMAL
281,19,0,255,0.06,0,NORMAL
146,14,0,255,0,0,NORMAL
261,3,0,255,0.06,0,NORMAL
252,3,0,237,0.01,0.01,NORMAL
303,5,0,220,0,0,NORMAL
306,14,0,255,0.01,0,NORMAL
223,2,0,255,0,0,NORMAL
312,5,0,255,0.03,0,NORMAL
233,17,0,255,0,0,NORMAL
308,20,0,255,0.05,0,NORMAL
0,2,1,238,1,0,NORMAL
0,1,1,249,0.04,0,NORMAL
