% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-5,8,11,14-20,22-23,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_serror_rate numeric
@attribute same_srv_rate numeric
@attribute diff_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute dst_host_serror_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,279,1984,3,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,222,480,9,0.11,1,0,0,108,255,1,0,0.01,0.01,normal
tcp,SF,286,11148,2,0,1,0,0,2,255,1,0,0.02,0,normal
tcp,SF,288,879,21,0,1,0,0.09,21,255,1,0,0.01,0,normal
tcp,SF,272,769,7,0,1,0,0.31,100,255,1,0,0.02,0,normal
tcp,SF,205,27280,2,0,1,0,0.67,2,255,1,0,0.02,0,normal
tcp,SF,298,362,27,0,1,0,0.09,255,255,1,0,0,0,normal
tcp,SF,159,21375,2,0,1,0,0.16,2,255,1,0,0.01,0,normal
tcp,REJ,0,0,1,0,1,0,0,1,255,1,0,0.06,0,normal
tcp,S1,142,21900,1,1,1,0,0,167,255,1,0,0.01,0.01,normal
tcp,SF,294,893,12,0,1,0,0.09,255,255,1,0,0,0,normal
tcp,SF,377,342,3,0,1,0,0.1,158,255,1,0,0.02,0,normal
tcp,SF,208,1778,3,0,1,0,0,3,255,1,0,0.03,0,normal
tcp,SF,208,261,42,0,1,0,0,97,255,1,0,0.03,0,normal
tcp,SF,277,1911,5,0,1,0,0.33,58,255,1,0,0.01,0,normal
tcp,SF,364,2102,8,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,302,754,8,0,1,0,0,156,255,1,0,0.04,0,normal
tcp,SF,257,398,6,0,1,0,0.15,76,255,1,0,0.03,0.01,normal
tcp,SF,338,367,5,0,1,0,0.43,12,255,1,0,0.08,0,normal
tcp,SF,338,1893,2,0,1,0,0,98,255,1,0,0.02,0,normal
tcp,SF,316,9737,1,0,1,0,0.21,34,255,1,0,0.02,0,normal
tcp,SF,300,4505,2,0,1,0,0,37,255,1,0,0.03,0,normal
tcp,REJ,0,0,1,0,1,0,0,2,146,1,0,0.05,0,normal
tcp,SF,196,5670,2,0,1,0,0,24,255,1,0,0.05,0,normal
tcp,SF,210,761,2,0,1,0,0.5,175,255,1,0,0.01,0,normal
tcp,SF,235,7333,5,0.2,1,0,0,255,255,1,0,0,0,normal
tcp,SF,229,2239,3,0,1,0,0,255,252,0.99,0.01,0,0,normal
tcp,SF,284,3724,4,0,1,0,0.3,255,255,1,0,0,0,normal
tcp,REJ,0,0,1,0,1,0,0,9,255,1,0,0.1,0,normal
tcp,SF,246,5480,4,0.11,1,0,0.22,115,255,1,0,0.02,0,normal
tcp,SF,170,4716,1,0,1,0,0,131,255,1,0,0.01,0,normal
tcp,SF,236,28549,1,0,1,0,1,60,255,1,0,0.06,0.05,normal
tcp,SF,275,2139,18,0,1,0,0,18,255,1,0,0.04,0,normal
tcp,SF,215,7509,11,0,1,0,0,11,255,1,0,0.01,0,normal
tcp,SF,301,2454,2,0,1,0,0.75,7,255,1,0,0.04,0,normal
tcp,SF,285,705,2,0,1,0,0.4,4,255,1,0,0.05,0,normal
tcp,SF,165,28382,1,0,1,0,0,48,255,1,0,0.03,0.06,normal
tcp,SF,316,1681,7,0,1,0,0,141,255,1,0,0.01,0,normal
tcp,SF,272,4841,2,0,1,0,0.25,255,255,1,0,0,0,normal
tcp,SF,221,1701,13,0,1,0,0.1,116,255,1,0,0.02,0,normal
tcp,SF,299,480,7,0,1,0,0.25,93,255,1,0,0.02,0,normal
tcp,SF,281,5897,3,0,1,0,0.5,10,255,1,0,0.02,0,normal
tcp,SF,294,1394,25,0.02,1,0,0.11,105,108,1,0,0.03,0,normal
tcp,REJ,0,0,1,0,1,0,0,3,165,1,0,0.24,0,normal
tcp,SF,375,2655,10,0,1,0,0.18,255,255,1,0,0,0,normal
tcp,SF,290,269,13,0,1,0,0.13,51,255,1,0,0.05,0,normal
tcp,SF,314,6924,26,0,1,0,0.07,125,255,1,0,0.01,0,normal
tcp,SF,165,3615,2,0,1,0,0.75,4,255,1,0,0.05,0,normal
tcp,SF,249,171,1,0,1,0,0.15,17,255,1,0,0.04,0,normal
tcp,SF,250,275,8,0,1,0,0,127,119,0.94,0.02,0,0,normal
tcp,SF,316,332,17,0,1,0,0,139,255,1,0,0.02,0,normal
tcp,SF,232,480,10,0,1,0,0.11,83,255,1,0,0.01,0,normal
tcp,SF,328,521,7,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,319,993,8,0,1,0,0,55,255,1,0,0.02,0,normal
tcp,SF,224,1214,9,0,1,0,0.2,255,255,1,0,0,0,normal
tcp,SF,206,1970,19,0,1,0,0.06,53,255,1,0,0.01,0,normal
tcp,SF,289,658,12,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,251,1695,4,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,215,863,14,0,1,0,0.13,255,255,1,0,0,0,normal
tcp,SF,215,434,25,0,1,0,0.08,255,255,1,0,0,0,normal
tcp,SF,211,1628,2,0,1,0,0,2,2,1,0,0,0,normal
tcp,SF,211,1028,11,0,1,0,0.23,255,255,1,0,0,0,normal
tcp,SF,360,186,1,0,1,0,0,75,255,1,0,0.04,0,normal
tcp,SF,372,1003,29,0,1,0,0,255,255,1,0,0,0,normal
tcp,REJ,0,0,1,0,1,0,1,52,255,1,0,0.17,0,normal
tcp,SF,237,4017,3,0,1,0,0.4,77,255,1,0,0.02,0,normal
tcp,SF,353,7659,12,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,491,9852,16,0.06,1,0,0,255,255,1,0,0,0,normal
tcp,SF,251,3221,1,0,1,0,0,141,131,0.93,0.02,0,0.01,normal
tcp,SF,226,190,1,0,1,0,0,1,41,1,0,0.12,0,normal
tcp,SF,254,9877,8,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,312,9284,13,0,1,0,0.06,255,255,1,0,0,0,normal
tcp,SF,269,7840,1,0,1,0,1,1,255,1,0,0.05,0,normal
tcp,SF,234,700,22,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,151,8719,2,0,1,0,0,196,255,1,0,0.02,0,normal
tcp,SF,324,258,26,0,1,0,0.1,255,255,1,0,0,0,normal
tcp,SF,195,1761,11,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,213,501,5,0,1,0,0,13,255,1,0,0.03,0,normal
tcp,SF,409,6033,13,0,1,0,0,139,247,1,0,0.12,0,normal
tcp,SF,231,5379,18,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,182,9442,5,0,1,0,0.33,99,255,1,0,0.02,0,normal
tcp,SF,206,1718,8,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,217,1893,12,0,1,0,0,12,255,1,0,0.03,0,normal
tcp,SF,324,10996,8,0,1,0,0.27,8,255,1,0,0.05,0,normal
tcp,SF,233,999,14,0,1,0,0.17,255,255,1,0,0,0,normal
tcp,SF,236,1211,9,0,1,0,0,28,255,1,0,0.02,0,normal
tcp,SF,310,1077,11,0,1,0,0,31,242,1,0,0.07,0,normal
tcp,SF,238,215,9,0,1,0,0.15,44,255,1,0,0.03,0,normal
tcp,SF,291,10181,3,0.33,1,0,0,255,255,1,0,0,0,normal
tcp,SF,330,707,2,0,1,0,0.43,255,255,1,0,0,0,normal
tcp,SF,270,1434,4,0,1,0,0.33,18,255,1,0,0.01,0,normal
tcp,REJ,0,0,4,0,1,0,0,14,189,1,0,0.21,0,normal
tcp,SF,307,863,11,0,1,0,0,236,255,1,0,0.01,0,normal
tcp,SF,372,8198,3,0,1,0,0.4,3,255,1,0,0.07,0,normal
tcp,SF,291,321,26,0,1,0,0,250,255,1,0,0.01,0,normal
tcp,SF,243,382,18,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,305,1434,7,0,1,0,0,81,255,1,0,0.02,0,normal
tcp,SF,165,11868,9,0,1,0,0.17,191,191,1,0,0,0,normal
tcp,SF,239,8412,15,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,329,337,11,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,325,15215,1,0,1,0,0.33,122,254,1,0,0.02,0,normal
tcp,SF,209,2828,15,0,1,0,0.09,116,255,1,0,0.03,0,normal
tcp,SF,238,1112,1,0,1,0,0,26,255,1,0,0.02,0,normal
tcp,SF,222,642,10,0,1,0,0.18,10,255,1,0,0.03,0,normal
tcp,SF,195,24572,4,0,1,0,0,4,255,1,0,0.02,0,normal
tcp,SF,243,274,5,0.2,1,0,0,133,255,1,0,0.05,0.01,normal
tcp,SF,249,1092,11,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,231,1719,10,0,1,0,0.13,255,255,1,0,0,0,normal
tcp,SF,308,1512,12,0,1,0,0.12,255,255,1,0,0,0,normal
tcp,SF,197,1505,3,0,1,0,0,205,255,1,0,0.01,0,normal
tcp,SF,224,3172,13,0,1,0,0,24,24,1,0,0,0,normal
tcp,SF,362,8052,2,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,203,4341,7,0,1,0,0,66,255,1,0,0.03,0,normal
tcp,REJ,0,0,17,0,1,0,0,41,188,1,0,0.18,0,normal
tcp,SF,323,181,50,0,1,0,0.06,63,255,1,0,0.05,0,normal
tcp,REJ,0,0,1,0,1,0,0,9,47,1,0,0.26,0,normal
tcp,SF,338,2590,17,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,203,5034,4,0,1,0,0,163,255,1,0,0.01,0,normal
tcp,SF,305,260,5,0,1,0,0,255,244,0.96,0.02,0,0,normal
tcp,SF,217,7510,3,0,1,0,0,3,255,1,0,0.03,0,normal
tcp,SF,221,443,11,0,1,0,0,35,255,1,0,0.05,0,normal
tcp,SF,374,9142,5,0,1,0,0.22,255,255,1,0,0,0,normal
tcp,SF,283,1471,3,0,1,0,0,3,255,1,0,0.06,0,normal
tcp,SF,236,35147,1,0,1,0,0,134,255,1,0,0.02,0,normal
tcp,SF,241,41292,1,0,1,0,0,1,255,1,0,0.06,0,normal
tcp,SF,207,25494,2,0,1,0,0.1,4,255,1,0,0.06,0,normal
tcp,SF,285,2511,13,0,1,0,0.12,53,255,1,0,0.07,0,normal
tcp,SF,237,2698,4,0,1,0,0,255,248,0.97,0.01,0,0,normal
tcp,SF,229,6356,2,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,212,253,16,0,1,0,0.06,255,255,1,0,0,0,normal
tcp,SF,323,9549,1,0,1,0,0.13,56,255,1,0,0.01,0,normal
tcp,SF,313,1508,14,0,1,0,0,98,255,1,0,0.03,0.02,normal
tcp,SF,193,761,3,0,1,0,0.14,31,255,1,0,0.01,0,normal
tcp,SF,330,256,2,0,1,0,0,137,255,1,0,0.02,0,normal
tcp,SF,364,513,5,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,237,26491,27,0,1,0,0.05,186,255,1,0,0.01,0,normal
tcp,SF,280,38172,8,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,271,794,31,0,1,0,0.04,127,255,1,0,0.04,0,normal
tcp,SF,218,13614,5,0,1,0,0,12,89,1,0,0.12,0,normal
tcp,SF,319,454,24,0,1,0,0.08,255,255,1,0,0,0,normal
tcp,SF,379,370,34,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,293,2400,5,0,1,0,0.12,158,255,1,0,0.01,0.01,normal
tcp,SF,234,13713,1,0,1,0,0,137,140,1,0,0.01,0,normal
tcp,SF,270,745,2,0,1,0,0.67,117,255,1,0,0.02,0,normal
tcp,SF,331,943,15,0.06,1,0,0.12,255,255,1,0,0,0,normal
tcp,SF,329,614,12,0,1,0,0,12,255,1,0,0.03,0,normal
tcp,SF,198,1328,41,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,304,1075,5,0,1,0,0.25,255,246,0.96,0.01,0,0,normal
tcp,REJ,0,0,7,0,1,0,0,25,111,1,0,0.17,0,normal
tcp,SF,230,16219,13,0,1,0,0,255,255,1,0,0,0.01,normal
tcp,SF,286,659,33,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,214,1097,3,0.33,1,0,0,89,255,1,0,0.02,0.01,normal
tcp,REJ,0,0,1,0,1,0,1,48,201,1,0,0.12,0,normal
tcp,SF,296,431,15,0,1,0,0.12,100,255,1,0,0.13,0.01,normal
tcp,SF,198,1705,24,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,227,2068,19,0,1,0,0,138,255,1,0,0.01,0,normal
tcp,SF,317,2491,4,0,1,0,0,4,255,1,0,0.02,0,normal
tcp,SF,228,1745,3,0.33,1,0,0,161,255,1,0,0.01,0.01,normal
tcp,SF,239,248,4,0,1,0,0,32,32,1,0,0,0,normal
tcp,SF,211,318,10,0,1,0,0,252,255,1,0,0.01,0,normal
tcp,SF,318,1748,7,0,1,0,0.25,8,99,1,0,0.12,0,normal
tcp,SF,208,473,30,0,1,0,0.06,30,255,1,0,0.03,0,normal
tcp,SF,320,2674,11,0,1,0,0,11,255,1,0,0.02,0,normal
tcp,SF,232,406,50,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,300,2280,19,0,1,0,0.14,220,255,1,0,0.01,0,normal
tcp,SF,179,273525,1,0,1,0,0,255,254,1,0.01,0,0,normal
tcp,SF,359,2118,8,0,1,0,0.22,35,255,1,0,0.03,0,normal
tcp,SF,220,18779,3,0.25,1,0,0.5,255,255,1,0,0,0.01,normal
tcp,SF,227,405,11,0,1,0,0,113,255,1,0,0.01,0,normal
tcp,SF,239,968,17,0,1,0,0,17,253,1,0,0.03,0,normal
tcp,SF,232,379,3,0,1,0,0,3,255,1,0,0.03,0,normal
tcp,SF,179,7931,2,0,0.5,1,0,255,244,0.96,0.01,0,0,normal
tcp,SF,283,1346,31,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,225,1484,9,0,1,0,0,26,255,1,0,0.04,0,normal
tcp,SF,206,3048,29,0,1,0,0.07,255,255,1,0,0,0,normal
tcp,SF,309,398,5,0,1,0,0.12,255,255,1,0,0,0,normal
tcp,SF,156,1182,3,0,1,0,0.09,12,255,1,0,0.02,0,normal
tcp,SF,264,2504,10,0,1,0,0,56,255,1,0,0.03,0,normal
tcp,SF,276,71903,1,0,1,0,0,24,255,1,0,0.02,0.04,normal
tcp,REJ,0,0,1,0,1,0,0,34,255,1,0,0.09,0,normal
tcp,SF,196,19714,1,0,1,0,0.08,255,255,1,0,0,0,normal
tcp,SF,237,16423,1,0,1,0,0,16,255,1,0,0.04,0,normal
tcp,SF,214,1215,7,0,1,0,0.14,255,255,1,0,0,0,normal
tcp,SF,216,1819,29,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,176,5163,1,0,1,0,0.6,255,245,0.96,0.01,0,0,normal
tcp,SF,199,555,3,0,1,0,0.6,255,255,1,0,0,0,normal
tcp,SF,189,314,33,0,1,0,0.06,154,255,1,0,0.02,0,normal
tcp,SF,272,1402,3,0,1,0,0.6,255,255,1,0,0,0,normal
tcp,SF,255,310,12,0,1,0,0.18,255,255,1,0,0,0,normal
tcp,SF,192,315,2,0,1,0,0.67,255,255,1,0,0,0,normal
tcp,SF,217,23622,8,0,1,0,0,8,255,1,0,0.04,0,normal
tcp,SF,214,961,13,0,1,0,0.25,13,255,1,0,0.06,0,normal
tcp,SF,228,3734,3,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,233,1085,15,0,1,0,0,92,255,1,0,0.02,0,normal
tcp,REJ,0,0,1,0,1,0,0,7,255,1,0,0.16,0,normal
tcp,SF,296,5670,10,0,1,0,0,69,255,1,0,0.02,0,normal
tcp,SF,352,772,14,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,347,807,15,0,1,0,0.07,255,255,1,0,0,0,normal
tcp,SF,200,1383,10,0,1,0,0.07,54,255,1,0,0.03,0,normal
tcp,SF,210,273,10,0,1,0,0,35,255,1,0,0.08,0,normal
tcp,SF,205,538,18,0,1,0,0.15,255,255,1,0,0,0,normal
tcp,SF,182,629,2,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,185,2091,4,0.2,1,0,0.4,4,255,1,0,0.03,0.25,normal
tcp,REJ,0,0,1,0,1,0,1,88,255,1,0,0.13,0,normal
tcp,SF,301,416,9,0,1,0,0,9,203,1,0,0.03,0,normal
tcp,SF,206,1049,11,0,1,0,0,82,255,1,0,0.03,0,normal
tcp,SF,320,6396,14,0,1,0,0,14,255,1,0,0.03,0,normal
tcp,SF,299,5854,4,0,1,0,0.05,23,228,1,0,0.01,0,normal
tcp,SF,213,307,9,0,1,0,0,30,255,1,0,0.06,0,normal
tcp,SF,252,913,14,0,1,0,0.13,93,255,1,0,0.04,0,normal
tcp,SF,313,4179,16,0,1,0,0,16,255,1,0,0.05,0,normal
tcp,SF,215,261,15,0,1,0,0,113,255,1,0,0.02,0,normal
tcp,SF,192,1533,6,0,1,0,0.25,36,255,1,0,0.02,0,normal
tcp,SF,207,700,6,0.17,1,0,0,6,255,1,0,0.01,0.17,normal
tcp,SF,241,6844,11,0,1,0,0,102,255,1,0,0.02,0,normal
tcp,SF,245,2229,3,0.18,1,0,0.27,13,255,1,0,0.03,0.08,normal
tcp,SF,363,496,1,0.25,1,0,1,110,255,1,0,0.02,0,normal
tcp,SF,203,12863,2,0,1,0,0,4,255,1,0,0.05,0,normal
tcp,SF,339,2742,14,0,1,0,0.24,53,255,1,0,0.04,0,normal
tcp,SF,298,11960,1,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,224,1155,29,0,1,0,0.1,255,255,1,0,0,0,normal
tcp,SF,257,1806,9,0,1,0,0,223,255,1,0,0.01,0,normal
tcp,SF,322,1364,6,0,1,0,0,60,255,1,0,0.02,0,normal
tcp,SF,226,1522,20,0,1,0,0.1,167,255,1,0,0.01,0,normal
tcp,SF,198,1108,1,0,1,0,0,186,255,1,0,0.01,0,normal
tcp,S1,227,32120,2,0.06,1,0,0.12,2,255,1,0,0.01,0.5,normal
tcp,SF,205,276,20,0,1,0,0.13,183,255,1,0,0.01,0,normal
tcp,SF,310,3222,2,0,1,0,0,255,246,0.96,0.01,0,0,normal
tcp,SF,310,290,17,0,1,0,0.2,187,215,1,0,0.01,0,normal
tcp,SF,286,2268,3,0,1,0,0.2,255,255,1,0,0,0,normal
tcp,SF,210,3783,3,0,1,0,0,13,255,1,0,0.08,0,normal
tcp,SF,335,284,16,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,329,1262,8,0,1,0,0.2,26,255,1,0,0.03,0,normal
tcp,SF,228,4269,9,0,1,0,0.11,255,255,1,0,0,0,normal
tcp,SF,210,1696,9,0,1,0,0,36,255,1,0,0.04,0,normal
tcp,SF,249,13784,17,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,298,1511,2,0,1,0,0.12,255,255,1,0,0,0,normal
tcp,SF,242,7886,12,0,1,0,0,110,255,1,0,0.01,0,normal
tcp,SF,244,994,5,0,1,0,0.38,169,255,1,0,0.02,0,normal
tcp,REJ,0,0,1,0,1,0,0,22,7,0.32,0.23,0,0.05,normal
tcp,SF,296,1182,9,0,1,0,0,9,255,1,0,0.05,0,normal
tcp,REJ,0,0,2,0,1,0,0,4,255,1,0,0.14,0,normal
tcp,SF,230,862,25,0,1,0,0,177,255,1,0,0.02,0,normal
tcp,SF,324,2309,11,0,1,0,0,48,255,1,0,0.03,0,normal
tcp,SF,231,7466,1,0,1,0,0,1,255,1,0,0.05,0,normal
tcp,SF,286,421,2,0,1,0,0.14,255,255,1,0,0,0,normal
tcp,SF,210,498,10,0,1,0,0,32,255,1,0,0.03,0,normal
tcp,SF,227,255,26,0,1,0,0.07,255,255,1,0,0,0,normal
tcp,SF,204,682,38,0,1,0,0.08,255,255,1,0,0,0,normal
tcp,SF,210,1659,8,0,1,0,0,11,255,1,0,0.02,0.09,normal
tcp,SF,232,2507,1,0,1,0,0,255,253,0.99,0.01,0,0,normal
tcp,SF,230,11744,1,0,1,0,0.67,3,255,1,0,0.02,0,normal
tcp,SF,302,3500,12,0,1,0,0,36,255,1,0,0.02,0,normal
tcp,SF,272,352,8,0,1,0,0,161,255,1,0,0.02,0,normal
tcp,SF,239,688,8,0,1,0,0,220,255,1,0,0.01,0,normal
tcp,SF,235,10188,7,0,1,0,0,58,255,1,0,0.05,0,normal
tcp,SF,225,37490,10,0,1,0,0.25,112,255,1,0,0.06,0,normal
tcp,SF,214,6008,3,0,1,0,0.29,142,255,1,0,0.01,0,normal
tcp,REJ,0,0,1,0,1,0,1,1,206,1,0,0.19,0,normal
tcp,SF,206,334,55,0,1,0,0,56,255,1,0,0.03,0,normal
tcp,SF,299,447,26,0,1,0,0.07,255,255,1,0,0,0,normal
tcp,REJ,0,0,1,0.33,1,0,0.67,6,93,1,0,0.09,0,normal
tcp,SF,331,16029,21,0,1,0,0,111,255,1,0,0.03,0,normal
tcp,SF,301,4724,5,0,1,0,0,13,255,1,0,0.04,0,normal
tcp,S0,0,0,1,1,1,0,0,1,120,1,0,0.17,1,normal
tcp,SF,145,894,1,0,1,0,0.19,62,255,1,0,0.03,0.02,normal
tcp,SF,220,470,2,0,1,0,0,23,255,1,0,0.02,0,normal
tcp,SF,346,2370,18,0,1,0,0,143,255,1,0,0.01,0,normal
tcp,SF,218,306,4,0,1,0,0,36,255,1,0,0.04,0,normal
tcp,SF,222,1487,3,0,1,0,0,3,255,1,0,0.01,0,normal
tcp,SF,272,3874,2,0,1,0,0.33,158,255,1,0,0.02,0,normal
tcp,SF,334,1066,9,0,1,0,0.2,225,255,1,0,0.01,0,normal
tcp,REJ,0,0,1,0,1,0,0,53,255,1,0,0.12,0,normal
tcp,SF,286,365,31,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,233,33730,1,0,1,0,1,255,255,1,0,0,0,normal
tcp,SF,215,7587,28,0,1,0,0,68,68,1,0,0,0,normal
tcp,SF,200,3820,11,0,1,0,0.12,55,255,1,0,0.02,0,normal
tcp,REJ,0,0,1,0,1,0,0,14,255,1,0,0.07,0,normal
tcp,SF,224,655,37,0,1,0,0,255,255,1,0,0,0,normal
tcp,REJ,0,0,1,0,1,0,0,66,52,0.79,0.08,0,0,normal
tcp,SF,299,1380,2,0,1,0,0.75,255,248,0.97,0.01,0,0,normal
tcp,SF,239,410,1,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,234,2167,16,0,1,0,0.21,255,255,1,0,0,0,normal
tcp,SF,227,2531,4,0,1,0,0,13,255,1,0,0.04,0,normal
tcp,SF,187,17386,2,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,296,1647,18,0,1,0,0.12,190,255,1,0,0.01,0,normal
tcp,SF,306,2507,6,0,1,0,0,215,201,0.93,0.01,0,0,normal
tcp,SF,320,952,13,0,1,0,0,112,255,1,0,0.02,0,normal
tcp,SF,209,770,12,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,149,657,1,0,1,0,1,2,255,1,0,0.01,0,normal
tcp,SF,317,2006,7,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,306,440,28,0,1,0,0,96,255,1,0,0.02,0,normal
tcp,SF,210,61964,10,0,1,0,0.19,35,255,1,0,0.04,0,normal
tcp,SF,246,2719,1,0,1,0,0,1,255,1,0,0.07,0,normal
tcp,REJ,0,0,1,0,1,0,0,17,79,1,0,0.08,0,normal
tcp,SF,278,3281,1,0,1,0,0,1,255,1,0,0.03,0,normal
tcp,SF,286,672,2,0,1,0,0.75,15,248,1,0,0.06,0,normal
tcp,SF,321,1735,41,0,1,0,0,153,255,1,0,0.04,0,normal
tcp,REJ,0,0,1,0,1,0,0,1,91,1,0,0.27,0,normal
tcp,SF,258,1012,21,0,1,0,0,255,255,1,0,0,0,normal
tcp,SF,252,712,34,0.09,1,0,0,139,237,1,0,0.05,0.01,normal
tcp,SF,276,4465,1,0,1,0,0.3,255,255,1,0,0,0.01,normal
tcp,SF,178,841,1,0,1,0,0.4,21,255,1,0,0.08,0,normal
tcp,SF,231,3072,12,0,1,0,0.11,48,255,1,0,0.05,0,normal
tcp,SF,224,595,6,0,1,0,0,255,255,1,0,0,0,normal
