% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3-5,8-9,16,22,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute count numeric
@attribute srv_count numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_diff_host_rate numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,slowBody}

@data
SF,211,1355,2,3,0.67,0.04,normal
SF,156,634,5,5,0,0,normal
SF,264,3687,1,4,0.75,0.07,normal
SF,315,5323,1,1,0,0.04,normal
SF,216,10041,14,19,0.21,0.06,normal
SF,293,7643,3,3,0,0.05,normal
SF,220,1016,9,19,0.16,0.03,normal
SF,344,1234,1,1,0,0.04,normal
SF,224,8230,16,16,0,0,normal
SF,163,30113,1,5,0.4,0,normal
SF,331,1694,13,67,0.06,0.02,normal
SF,213,1404,10,10,0,0,normal
SF,197,1637,3,3,0,0.02,normal
SF,299,1075,7,7,0,0,normal
SF,228,31614,1,1,0,0.01,normal
SF,229,255,6,6,0,0,normal
REJ,0,0,1,1,0,0.07,normal
SF,309,6086,5,6,0.33,0,normal
SF,249,290,29,36,0.14,0,normal
SF,317,6329,19,34,0.06,0,normal
SF,230,2196,10,10,0,0.03,normal
SF,326,1502,8,8,0,0.01,normal
SF,293,1271,13,13,0,0.02,normal
SF,350,870,12,26,0.12,0,normal
SF,229,6049,3,3,0,0.05,normal
SF,314,659,18,39,0.15,0,normal
SF,303,7208,16,16,0,0,normal
SF,224,3279,7,10,0.2,0,normal
SF,244,1546,1,11,0.18,0.07,normal
REJ,0,0,1,2,1,0.18,normal
SF,328,2433,6,10,0.3,0,normal
SF,219,3692,51,51,0,0.04,normal
SF,304,336,9,9,0,0,normal
SF,386,3173,12,12,0,0,normal
SF,327,5200,5,6,0.33,0,normal
SF,209,25167,1,2,1,0.04,normal
SF,236,256,1,1,0,0.02,normal
SF,290,2042,34,34,0,0.04,normal
SF,209,33056,19,19,0,0.02,normal
SF,325,268,24,24,0,0,normal
SF,224,1892,4,4,0,0,normal
SF,211,4097,27,27,0,0.04,normal
SF,251,1414,5,6,0.33,0.01,normal
SF,228,1695,21,21,0,0.04,normal
SF,164,7542,13,13,0,0.01,normal
SF,215,863,6,7,0.29,0.05,normal
SF,189,313,2,2,0,0,normal
SF,218,2647,6,6,0,0,normal
SF,238,405,5,5,0,0,normal
SF,209,19874,1,1,0,0.01,normal
SF,259,5170,4,4,0,0.04,normal
SF,359,3198,3,11,0.27,0.01,normal
SF,205,408,32,33,0.06,0.04,normal
SF,350,431,4,21,0.14,0,normal
SF,297,1445,12,12,0,0.05,normal
SF,200,867,25,28,0.11,0.02,normal
SF,198,2810,3,3,0,0.03,normal
SF,311,670,7,7,0,0,normal
SF,206,656,7,75,0.12,0,normal
SF,299,1859,11,13,0.15,0.02,normal
RSTO,242,16819,7,7,0,0.01,normal
SF,223,1187,16,17,0.12,0,normal
SF,328,357,10,10,0,0,normal
SF,250,1512,10,10,0,0.01,normal
SF,202,4841,3,4,0.5,0.03,normal
SF,349,5208,13,13,0,0.17,normal
SF,413,8801,17,17,0,0,normal
SF,205,8064,13,13,0,0,normal
SF,308,3222,3,3,0,0,normal
SF,237,241,66,66,0,0.01,normal
SF,166,426,37,37,0,0,normal
REJ,0,0,1,3,1,0.24,normal
SF,210,296,12,16,0.19,0,normal
SF,214,367,19,19,0,0.04,normal
SF,299,1427,5,5,0,0.03,normal
SF,238,9092,4,4,0,0.04,normal
SF,327,2226,8,17,0.12,0,normal
SF,190,5847,5,6,0.33,0.04,normal
SF,336,86082,1,1,0,0.02,normal
SF,180,175,1,1,0,0.06,normal
SF,227,189,25,25,0,0,normal
SF,205,365,21,21,0,0.02,normal
SF,323,10293,2,2,0,0.05,normal
SF,287,12884,4,4,0,0,normal
REJ,0,0,1,1,0,0.12,normal
SF,201,873,8,54,0.11,0.03,normal
SF,212,4132,15,15,0,0.06,normal
SF,202,777,23,26,0.15,0.05,normal
SF,220,261,4,6,0.5,0,normal
SF,241,795,7,7,0,0,normal
SF,261,1100,2,2,0,0.04,normal
SF,234,34237,4,4,0,0.02,normal
SF,324,389,11,11,0,0.04,normal
SF,182,12246,2,2,0,0.02,normal
SF,212,2917,6,20,0.1,0.04,normal
SF,208,9363,28,28,0,0.03,normal
REJ,0,0,1,2,1,0.19,normal
SF,252,1809,10,13,0.23,0,normal
SF,164,2365,6,6,0,0,normal
SF,369,620,28,28,0,0,normal
SF,167,4528,1,2,1,0.01,normal
SF,327,11715,9,9,0,0.08,normal
SF,281,1167,3,3,0,0.02,normal
SF,230,2507,5,5,0,0,normal
SF,302,718,10,22,0.09,0.06,normal
SF,275,337,1,1,0,0.05,normal
SF,189,525,2,5,0.4,0.03,normal
SF,232,30520,6,6,0,0,normal
SF,367,7333,5,5,0,0,normal
SF,210,443,3,3,0,0.05,normal
SF,298,3265,5,7,0.43,0.08,normal
SF,294,1617,21,28,0.21,0.01,normal
SF,307,2625,11,11,0,0.02,normal
SF,308,406,14,14,0,0,normal
SF,213,2996,22,25,0.16,0,normal
SF,304,1930,19,22,0.09,0.02,normal
SF,203,334,33,52,0.04,0,normal
SF,159,13380,1,1,0,0.03,normal
SF,214,10293,2,2,0,0.05,normal
SF,204,1337,30,31,0.06,0,normal
REJ,0,0,1,1,0,0,normal
SF,328,1516,1,17,0.24,0.04,normal
SF,373,1408,2,4,0.75,0.05,normal
SF,209,1412,2,2,0,0.05,normal
SF,310,9158,2,2,0,0.01,normal
REJ,0,0,1,3,1,0.13,normal
SF,281,447,2,2,0,0.04,normal
SF,303,17945,3,4,0.5,0.03,normal
SF,189,9345,3,4,0.5,0.04,normal
SF,174,3159,1,1,0,0,normal
SF,311,4359,13,13,0,0,normal
SF,341,1672,11,14,0.14,0.03,normal
SF,217,280,10,22,0.14,0,normal
SF,240,1221,14,15,0.13,0,normal
REJ,0,0,1,2,1,0.14,normal
SF,173,236,1,1,0,0.02,normal
SF,315,1396,19,19,0,0,normal
SF,230,9528,1,5,0.4,0.06,normal
SF,295,8667,1,8,0.25,0.02,normal
SF,200,4244,10,11,0.18,0.02,normal
SF,294,10514,7,7,0,0.03,normal
REJ,0,0,1,2,1,0.19,normal
SF,0,20256,7,7,0,0.05,normal
SF,330,544,17,18,0.11,0,normal
SF,292,1432,21,35,0.09,0.05,normal
REJ,0,0,1,1,0,0.39,normal
SF,230,370,5,5,0,0,normal
SF,211,1415,5,13,0.31,0,normal
REJ,0,0,1,2,1,0.26,normal
REJ,0,0,1,1,0,0.16,normal
SF,300,9986,2,2,0,0,normal
REJ,0,0,1,2,1,0.06,normal
SF,260,1228,18,18,0,0,normal
SF,287,392,32,42,0.12,0.01,normal
SF,193,759,1,3,0.67,0.02,normal
SF,305,528,2,14,0.14,0.09,normal
SF,288,1399,14,15,0.13,0.02,normal
SF,315,12884,11,11,0,0,normal
SF,340,67721,35,35,0,0.02,normal
SF,248,497,2,18,0.17,0.04,normal
SF,320,911,30,61,0.08,0.02,normal
SF,211,480,30,30,0,0.03,normal
SF,222,1880,1,1,0,0.01,normal
SF,324,5220,7,25,0.08,0,normal
SF,232,671,11,13,0.15,0.01,normal
SF,224,1030,15,16,0.12,0.01,normal
SF,223,3687,2,3,0.67,0.11,normal
SF,221,1183,30,32,0.06,0.06,normal
SF,145,11974,1,1,0,0.01,normal
SF,249,128,1,1,0,0.02,normal
SF,274,6052,1,1,0,0.02,normal
SF,355,1421,3,3,0,0.04,normal
SF,215,6154,4,4,0,0.04,normal
SF,304,2507,7,9,0.33,0,normal
SF,236,3076,3,9,0.22,0.06,normal
S0,0,0,2,2,0,0.04,normal
SF,245,381,1,1,0,0.03,normal
SF,236,442,5,8,0.38,0,normal
SF,229,934,3,3,0,0.05,normal
SF,215,2825,4,4,0,0.05,normal
SF,253,745,2,11,0.27,0.01,normal
SF,327,801,21,21,0,0,normal
SF,204,2229,3,3,0,0.05,normal
SF,313,1480,20,23,0.09,0.03,normal
SF,224,2113,8,24,0.08,0,normal
SF,223,1294,8,8,0,0.04,normal
SF,283,1476,2,2,0,0.05,normal
SF,309,854,11,14,0.21,0.04,normal
REJ,0,0,1,2,1,0.18,normal
SF,368,426,8,15,0.27,0.21,normal
SF,243,984,4,4,0,0,normal
SF,212,5030,13,13,0,0,normal
SF,300,769,12,30,0.13,0.05,normal
SF,219,309,11,11,0,0,normal
SF,293,1193,6,9,0.22,0,normal
SF,270,3781,14,14,0,0,normal
REJ,0,0,1,1,0,0.16,normal
SF,336,4283,3,3,0,0,normal
SF,272,13923,35,36,0.06,0.03,normal
SF,147,3842,2,13,0.15,0.08,normal
SF,186,14609,1,30,0.1,0.02,normal
SF,245,7649,3,4,0.5,0.04,normal
SF,314,902,20,20,0,0.04,normal
SF,235,1942,22,38,0.05,0,normal
SF,291,790,2,2,0,0,normal
SF,335,3393,19,19,0,0.02,normal
SF,274,1264,25,25,0,0.06,normal
SF,230,2239,6,7,0.29,0,normal
SF,350,1627,17,17,0,0.04,normal
SF,205,1506,22,58,0.14,0.03,normal
SF,230,810,13,13,0,0.02,normal
SF,333,216,20,24,0.17,0,normal
SF,194,365,18,18,0,0,normal
SF,200,402,7,26,0.12,0.03,normal
SF,325,770,5,14,0.29,0,normal
SF,251,1253,10,18,0.11,0.07,normal
SF,235,5238,9,29,0.14,0.01,normal
SF,210,13149,7,34,0.06,0.05,normal
SF,266,1617,6,6,0,0.04,normal
SF,247,391,3,3,0,0,normal
SF,280,944,2,5,0.4,0.02,normal
SF,309,4833,6,6,0,0.05,normal
SF,221,398,3,7,0.29,0,normal
REJ,0,0,1,1,0,0.17,normal
REJ,0,0,1,2,1,0.07,normal
REJ,0,0,1,1,0,0.16,normal
SF,225,18278,4,22,0.14,0.03,normal
SF,246,3200,7,7,0,0.01,normal
SF,319,9569,4,4,0,0.04,normal
SF,328,1441,9,10,0.2,0.04,normal
SF,226,312,14,15,0.13,0.05,normal
SF,195,8104,4,5,0.4,0.03,normal
SF,306,1075,7,7,0,0,normal
SF,193,712,26,26,0,0,normal
SF,301,3276,25,32,0.12,0.03,normal
SF,224,1998,16,16,0,0.03,normal
SF,244,14262,9,9,0,0.07,normal
SF,233,695,10,10,0,0.01,normal
SF,164,37746,1,5,0.6,0.01,normal
SF,329,2080,17,17,0,0.01,normal
SF,183,3376,6,24,0.12,0.03,normal
SF,207,2594,10,10,0,0.02,normal
SF,208,1227,6,6,0,0,normal
SF,217,1903,5,9,0.33,0,normal
SF,299,1443,35,35,0,0.07,normal
SF,321,21953,5,17,0.24,0,normal
SF,477,350,1,1,0,0,normal
SF,215,827,7,8,0.25,0.07,normal
SF,336,817,35,59,0.05,0,normal
SF,333,4023,5,5,0,0.02,normal
SF,247,807,1,5,0.4,0,normal
SF,333,6202,15,52,0.08,0.02,normal
SF,297,2286,9,23,0.17,0,normal
SF,331,885,10,10,0,0,normal
SF,230,505,8,8,0,0.02,normal
SF,217,6297,7,7,0,0.02,normal
SF,224,3012,2,22,0.09,0.01,normal
SF,231,455,13,14,0.14,0,normal
SF,149,1030,1,22,0.23,0.05,normal
SF,203,1674,20,20,0,0.03,normal
SF,289,1862,1,2,1,0.06,normal
REJ,0,0,1,1,0,0.03,normal
SF,262,5957,2,2,0,0.01,normal
SF,211,392,11,11,0,0,normal
SF,258,1887,20,35,0.09,0.02,normal
SF,265,10485,1,1,0,0.03,normal
SF,218,1542,4,4,0,0.01,normal
SF,323,278,7,7,0,0,normal
SF,327,2402,13,13,0,0,normal
SF,209,1958,2,22,0.09,0.02,normal
SF,376,51,3,29,0.1,0.06,normal
SF,208,2599,45,73,0.04,0.01,normal
SF,224,1712,14,15,0.13,0.02,normal
SF,254,5172,1,2,1,0.07,normal
SF,191,3302,4,4,0,0.01,normal
SF,217,13389,2,2,0,0.03,normal
SF,213,308,10,10,0,0,normal
SF,304,297,13,17,0.18,0.02,normal
SF,156,10995,1,3,1,0.03,normal
SF,224,2407,9,9,0,0.02,normal
SF,229,1397,1,1,0,0.01,normal
REJ,0,0,1,2,1,0.24,normal
SF,236,3252,2,3,0.67,0,normal
REJ,0,0,1,1,0,0.06,normal
SF,241,1383,4,6,0.33,0.02,normal
SF,246,1342,5,9,0.22,0,normal
SF,220,370,10,10,0,0,normal
SF,204,1596,24,24,0,0.04,normal
REJ,0,0,1,1,0,0.07,normal
SF,331,7054,18,18,0,0.04,normal
REJ,0,0,1,1,0,0.08,normal
SF,342,1035,5,6,0.33,0.01,normal
SF,197,7203,17,17,0,0.01,normal
SF,203,3273,7,25,0.12,0.02,normal
REJ,0,0,1,1,0,0,normal
SF,343,6731,11,11,0,0.03,normal
S0,0,0,2,11,0.27,0.01,normal
SF,234,2750,25,28,0.07,0,normal
SF,266,667,8,8,0,0,normal
SF,290,4171,13,13,0,0.02,normal
SF,226,1512,17,18,0.11,0.02,normal
SF,225,342,5,5,0,0.04,normal
SF,293,6217,12,25,0.08,0.03,normal
REJ,0,0,1,1,0,0.15,normal
SF,239,422,5,5,0,0.07,normal
SF,224,3707,3,47,0.04,0.03,normal
SF,347,20811,4,4,0,0,normal
SF,205,4868,3,3,0,0.05,normal
REJ,0,0,9,9,0,0.2,normal
SF,249,3098,3,10,0.2,0.03,normal
SF,297,27084,3,3,0,0,normal
SF,237,3952,7,7,0,0.03,normal
REJ,0,0,1,1,0,0.16,normal
SF,226,1404,20,24,0.12,0,normal
SF,357,10481,12,13,0.15,0,normal
SF,327,833,12,29,0.07,0,normal
SF,241,398,5,6,0.33,0.05,normal
REJ,0,0,1,1,0,0.05,normal
SF,218,1091,13,13,0,0.07,normal
SF,221,1367,3,3,0,0.04,normal
SF,200,1061,18,18,0,0.06,normal
SF,349,632,10,11,0.18,0.01,normal
SF,288,6877,21,23,0.13,0.04,normal
SF,318,3848,11,11,0,0.03,normal
SF,207,938,20,40,0.12,0,normal
SF,336,279,12,13,0.15,0,normal
SF,313,334,10,24,0.21,0.05,normal
REJ,0,0,1,1,0,0.02,normal
SF,220,2655,8,8,0,0.03,normal
SF,208,311,17,17,0,0.03,normal
SF,351,2999,1,12,0.25,0.04,normal
SF,316,6367,17,17,0,0,normal
SF,232,412,5,8,0.38,0.03,normal
SF,227,349,5,5,0,0.05,normal
SF,245,578,5,29,0.07,0,normal
SF,288,301,29,35,0.11,0,normal
SF,218,983,24,24,0,0.19,normal
SF,195,1254,20,20,0,0.02,normal
SF,252,6673,6,9,0.33,0,normal
SF,282,3342,17,17,0,0.01,normal
SF,323,3080,5,22,0.23,0.01,normal
SF,272,6752,7,7,0,0.01,normal
SF,197,307,28,28,0,0,normal
SF,262,12397,3,4,0.5,0.02,normal
SF,204,604,4,7,0.29,0.02,normal
SF,227,3597,5,5,0,0.02,normal
SF,201,369,54,56,0.04,0,normal
SF,310,3222,2,27,0.15,0,normal
SF,306,504,2,2,0,0.02,normal
SF,301,714,7,7,0,0.02,normal
SF,295,1320,2,2,0,0.01,normal
SF,164,18275,13,13,0,0,normal
SF,215,288,11,11,0,0.05,normal
SF,232,12691,1,1,0,0,normal
SF,357,937,16,17,0.12,0.01,normal
SF,365,774,13,20,0.15,0.01,normal
SF,316,293,11,16,0.31,0,normal
SF,194,4189,3,3,0,0.04,normal
SF,212,2531,5,5,0,0.01,normal
SF,147,4843,4,4,0,0.04,normal
SF,298,256,2,2,0,0,normal
SF,233,1295,1,1,0,0.02,normal
SF,166,3871,1,1,0,0.03,normal
SF,272,4841,2,3,0.67,0.02,normal
SF,213,1344,1,1,0,0.03,normal
SF,278,2903,19,19,0,0.05,normal
SF,250,2577,5,9,0.44,0,normal
SF,375,9127,20,20,0,0,normal
REJ,0,0,1,1,0,0.19,normal
SF,267,16143,2,2,0,0.04,normal
SF,229,1259,1,3,1,0.01,normal
SF,255,1659,3,6,0.67,0.02,normal
SF,288,294,14,15,0.13,0.03,normal
SF,196,578,22,45,0.07,0.03,normal
S2,266,0,4,4,0,0.02,normal
SF,243,5907,13,13,0,0.02,normal
SF,222,397,12,12,0,0,normal
SF,148,14506,1,1,0,0,normal
SF,222,897,11,11,0,0.01,normal
SF,287,5200,5,5,0,0,normal
SF,220,1941,8,8,0,0,normal
SF,300,189,19,20,0.1,0,normal
SF,221,659,18,18,0,0.06,normal
SF,212,293,24,43,0.07,0,normal
REJ,0,0,1,2,1,0.02,normal
SF,300,13788,7,7,0,0.02,normal
SF,350,1183,17,21,0.14,0,normal
SF,182,1285,4,4,0,0.08,normal
SF,232,7104,9,30,0.1,0.05,normal
SF,223,1040,10,55,0.18,0.03,normal
S2,303,1381,1,1,0,0,normal
SF,263,13332,3,4,0.5,0,normal
SF,339,1405,28,36,0.06,0.04,normal
SF,191,1938,2,8,0.38,0.05,normal
SF,214,1124,11,11,0,0.03,normal
SF,248,330,17,17,0,0,normal
SF,285,247,1,4,0.5,0.01,normal
SF,405,10219,2,2,0,0.19,normal
SF,352,3900,40,40,0,0,normal
SF,317,2099,14,24,0.12,0,normal
REJ,0,0,1,1,0,0.19,normal
SF,298,6515,2,3,0.67,0,normal
SF,279,1984,3,3,0,0,normal
SF,222,480,9,9,0,0.01,normal
SF,286,11148,2,2,0,0.02,normal
SF,288,879,21,35,0.09,0.01,normal
SF,272,769,7,13,0.31,0.02,normal
SF,205,27280,2,3,0.67,0.02,normal
SF,298,362,27,32,0.09,0,normal
SF,159,21375,2,38,0.16,0.01,normal
REJ,0,0,1,1,0,0.06,normal
S1,142,21900,1,1,0,0.01,normal
SF,294,893,12,32,0.09,0,normal
SF,377,342,3,31,0.1,0.02,normal
SF,208,1778,3,3,0,0.03,normal
SF,208,261,42,42,0,0.03,normal
SF,277,1911,5,9,0.33,0.01,normal
SF,364,2102,8,8,0,0,normal
SF,302,754,8,8,0,0.04,normal
SF,257,398,6,13,0.15,0.03,normal
SF,338,367,5,7,0.43,0.08,normal
SF,338,1893,2,2,0,0.02,normal
SF,316,9737,1,14,0.21,0.02,normal
SF,300,4505,2,2,0,0.03,normal
REJ,0,0,1,1,0,0.05,normal
SF,196,5670,2,2,0,0.05,normal
SF,210,761,2,4,0.5,0.01,normal
SF,235,7333,5,5,0,0,normal
SF,229,2239,3,3,0,0,normal
SF,284,3724,4,10,0.3,0,normal
REJ,0,0,1,1,0,0.1,normal
SF,246,5480,4,9,0.22,0.02,normal
SF,170,4716,1,1,0,0.01,normal
SF,236,28549,1,2,1,0.06,normal
SF,275,2139,18,18,0,0.04,normal
SF,215,7509,11,11,0,0.01,normal
SF,301,2454,2,4,0.75,0.04,normal
SF,285,705,2,10,0.4,0.05,normal
SF,165,28382,1,1,0,0.03,normal
SF,316,1681,7,7,0,0.01,normal
SF,272,4841,2,8,0.25,0,normal
SF,221,1701,13,31,0.1,0.02,normal
SF,299,480,7,8,0.25,0.02,normal
SF,281,5897,3,4,0.5,0.02,normal
SF,294,1394,25,54,0.11,0.03,normal
REJ,0,0,1,1,0,0.24,normal
SF,375,2655,10,11,0.18,0,normal
SF,290,269,13,15,0.13,0.05,normal
SF,314,6924,26,28,0.07,0.01,normal
SF,165,3615,2,4,0.75,0.05,normal
SF,249,171,1,13,0.15,0.04,normal
SF,250,275,8,8,0,0,normal
SF,316,332,17,17,0,0.02,normal
SF,232,480,10,28,0.11,0.01,normal
SF,328,521,7,7,0,0,normal
SF,319,993,8,8,0,0.02,normal
SF,224,1214,9,10,0.2,0,normal
SF,206,1970,19,34,0.06,0.01,normal
SF,289,658,12,12,0,0,normal
SF,251,1695,4,4,0,0,normal
SF,215,863,14,15,0.13,0,normal
SF,215,434,25,26,0.08,0,normal
SF,211,1628,2,2,0,0,normal
SF,211,1028,11,13,0.23,0,normal
SF,360,186,1,1,0,0.04,normal
SF,372,1003,29,29,0,0,normal
REJ,0,0,1,2,1,0.17,normal
SF,237,4017,3,5,0.4,0.02,normal
SF,353,7659,12,12,0,0,normal
SF,491,9852,16,16,0,0,normal
SF,251,3221,1,1,0,0,normal
SF,226,190,1,1,0,0.12,normal
SF,254,9877,8,8,0,0,normal
SF,312,9284,13,36,0.06,0,normal
SF,269,7840,1,3,1,0.05,normal
SF,234,700,22,22,0,0,normal
SF,151,8719,2,2,0,0.02,normal
SF,324,258,26,30,0.1,0,normal
SF,195,1761,11,11,0,0,normal
SF,213,501,5,5,0,0.03,normal
SF,409,6033,13,13,0,0.12,normal
SF,231,5379,18,18,0,0,normal
SF,182,9442,5,6,0.33,0.02,normal
SF,206,1718,8,8,0,0,normal
SF,217,1893,12,12,0,0.03,normal
SF,324,10996,8,11,0.27,0.05,normal
SF,233,999,14,23,0.17,0,normal
SF,236,1211,9,9,0,0.02,normal
SF,310,1077,11,11,0,0.07,normal
SF,238,215,9,13,0.15,0.03,normal
SF,291,10181,3,3,0,0,normal
SF,330,707,2,7,0.43,0,normal
SF,270,1434,4,9,0.33,0.01,normal
REJ,0,0,4,4,0,0.21,normal
SF,307,863,11,11,0,0.01,normal
SF,372,8198,3,5,0.4,0.07,normal
SF,291,321,26,26,0,0.01,normal
SF,243,382,18,18,0,0,normal
SF,305,1434,7,7,0,0.02,normal
SF,165,11868,9,12,0.17,0,normal
SF,239,8412,15,15,0,0,normal
SF,329,337,11,11,0,0,normal
SF,325,15215,1,6,0.33,0.02,normal
SF,209,2828,15,35,0.09,0.03,normal
SF,238,1112,1,1,0,0.02,normal
SF,222,642,10,11,0.18,0.03,normal
SF,195,24572,4,4,0,0.02,normal
SF,243,274,5,5,0,0.05,normal
SF,249,1092,11,11,0,0,normal
SF,231,1719,10,15,0.13,0,normal
SF,308,1512,12,16,0.12,0,normal
SF,197,1505,3,3,0,0.01,normal
SF,224,3172,13,13,0,0,normal
SF,362,8052,2,2,0,0,normal
SF,203,4341,7,7,0,0.03,normal
REJ,0,0,17,17,0,0.18,normal
SF,323,181,50,71,0.06,0.05,normal
REJ,0,0,1,1,0,0.26,normal
SF,338,2590,17,17,0,0,normal
SF,203,5034,4,4,0,0.01,normal
SF,305,260,5,5,0,0,normal
SF,217,7510,3,3,0,0.03,normal
SF,221,443,11,11,0,0.05,normal
SF,374,9142,5,9,0.22,0,normal
OTH,78,0,5786,5786,0,0,tcpFlood
OTH,78,0,6073,6073,0,0,tcpFlood
OTH,78,0,1303,1303,0,0,tcpFlood
OTH,78,0,1614,1614,0,0,tcpFlood
OTH,78,0,3526,3526,0,0,tcpFlood
OTH,78,0,5086,5086,0,0,tcpFlood
OTH,78,0,4956,4956,0,0,tcpFlood
OTH,78,0,2571,2571,0,0,tcpFlood
OTH,78,0,4504,4504,0,0,tcpFlood
OTH,78,0,314,314,0,0,tcpFlood
OTH,78,0,1490,1490,0,0,tcpFlood
OTH,78,0,3073,3073,0,0,tcpFlood
OTH,78,0,519,519,0,0,tcpFlood
OTH,78,0,3785,3785,0,0,tcpFlood
OTH,78,0,2815,2815,0,0,tcpFlood
OTH,78,0,1715,1715,0,0,tcpFlood
OTH,78,0,625,625,0,0,tcpFlood
OTH,78,0,778,778,0,0,tcpFlood
OTH,78,0,1107,1107,0,0,tcpFlood
OTH,78,0,4975,4975,0,0,tcpFlood
OTH,78,0,1948,1948,0,0,tcpFlood
OTH,78,0,1609,1609,0,0,tcpFlood
OTH,78,0,3209,3209,0,0,tcpFlood
OTH,78,0,215,215,0,0,tcpFlood
OTH,78,0,3289,3289,0,0,tcpFlood
OTH,78,0,3985,3985,0,0,tcpFlood
OTH,78,0,34,34,0,0,tcpFlood
OTH,78,0,488,488,0,0,tcpFlood
OTH,78,0,776,776,0,0,tcpFlood
OTH,78,0,1865,1865,0,0,tcpFlood
OTH,78,0,5782,5782,0,0,tcpFlood
OTH,78,0,4411,4411,0,0,tcpFlood
OTH,78,0,6217,6217,0,0,tcpFlood
OTH,78,0,4237,4237,0,0,tcpFlood
OTH,78,0,3579,3579,0,0,tcpFlood
OTH,78,0,452,452,0,0,tcpFlood
OTH,78,0,1269,1269,0,0,tcpFlood
OTH,78,0,3039,3039,0,0,tcpFlood
OTH,78,0,1295,1295,0,0,tcpFlood
OTH,78,0,3734,3734,0,0,tcpFlood
OTH,78,0,263,263,0,0,tcpFlood
OTH,78,0,4671,4671,0,0,tcpFlood
OTH,78,0,3842,3842,0,0,tcpFlood
OTH,78,0,3145,3145,0,0,tcpFlood
OTH,78,0,2926,2926,0,0,tcpFlood
OTH,78,0,738,738,0,0,tcpFlood
OTH,78,0,2204,2204,0,0,tcpFlood
OTH,78,0,690,690,0,0,tcpFlood
OTH,78,0,6349,6349,0,0,tcpFlood
