% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE, normal:NORMAL-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-4,8,14,16,18,21,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute src_bytes numeric
@attribute count numeric
@attribute same_srv_rate numeric
@attribute srv_diff_host_rate numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
tcp,SF,209,19,1,0,255,0.05,NORMAL
tcp,SF,325,24,1,0,253,0,NORMAL
tcp,SF,224,4,1,0,255,0,NORMAL
tcp,SF,211,27,1,0,255,0.02,NORMAL
tcp,SF,251,5,1,0.33,255,0.01,NORMAL
tcp,SF,228,21,1,0,255,0.01,NORMAL
tcp,SF,164,13,1,0,255,0.01,NORMAL
tcp,SF,215,6,1,0.29,255,0.17,NORMAL
tcp,SF,189,2,1,0,255,0,NORMAL
tcp,SF,218,6,1,0,255,0,NORMAL
tcp,SF,238,5,1,0,255,0,NORMAL
tcp,SF,209,1,1,0,255,0.02,NORMAL
tcp,SF,259,4,1,0,255,0.02,NORMAL
tcp,SF,359,3,1,0.27,255,0.01,NORMAL
tcp,SF,205,32,1,0.06,255,0.01,NORMAL
tcp,SF,350,4,1,0.14,255,0,NORMAL
tcp,SF,297,12,1,0,255,0.01,NORMAL
tcp,SF,200,25,1,0.11,255,0.02,NORMAL
tcp,SF,198,3,1,0,255,0.11,NORMAL
tcp,SF,311,7,1,0,255,0,NORMAL
tcp,SF,206,7,1,0.12,255,0,NORMAL
tcp,SF,299,11,1,0.15,255,0.01,NORMAL
tcp,RSTO,242,7,1,0,255,0.01,NORMAL
tcp,SF,223,16,1,0.12,255,0,NORMAL
tcp,SF,328,10,1,0,255,0,NORMAL
tcp,SF,250,10,1,0,255,0.01,NORMAL
tcp,SF,202,3,1,0.5,255,0.01,NORMAL
tcp,SF,349,13,1,0,235,0.08,NORMAL
tcp,SF,413,17,1,0,255,0,NORMAL
tcp,SF,205,13,1,0,255,0,NORMAL
tcp,SF,308,3,1,0,237,0,NORMAL
tcp,SF,237,66,1,0,255,0,NORMAL
tcp,SF,166,37,1,0,255,0,NORMAL
tcp,REJ,0,1,1,1,58,0.5,NORMAL
tcp,SF,210,12,1,0.19,255,0,NORMAL
tcp,SF,214,19,1,0,255,0.05,NORMAL
tcp,SF,299,5,1,0,255,0.02,NORMAL
tcp,SF,238,4,1,0,255,0.1,NORMAL
tcp,SF,327,8,1,0.12,255,0,NORMAL
tcp,SF,190,5,1,0.33,255,0.01,NORMAL
tcp,SF,336,1,1,0,255,0.5,NORMAL
tcp,SF,180,1,1,0,255,0.04,NORMAL
tcp,SF,227,25,1,0,255,0,NORMAL
tcp,SF,205,21,1,0,255,0,NORMAL
tcp,SF,323,2,1,0,255,0.33,NORMAL
tcp,SF,287,4,1,0,118,0.01,NORMAL
tcp,REJ,0,1,1,0,242,0.5,NORMAL
tcp,SF,201,8,1,0.11,255,0.12,NORMAL
tcp,SF,212,15,1,0,255,0.07,NORMAL
tcp,SF,202,23,1,0.15,255,0.01,NORMAL
tcp,SF,220,4,1,0.5,255,0,NORMAL
tcp,SF,241,7,1,0,255,0,NORMAL
tcp,SF,261,2,1,0,255,0.33,NORMAL
tcp,SF,234,4,1,0,255,0.01,NORMAL
tcp,SF,324,11,1,0,255,0.03,NORMAL
tcp,SF,182,2,1,0,255,0.01,NORMAL
tcp,SF,212,6,1,0.1,255,0.02,NORMAL
tcp,SF,208,28,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,1,255,1,NORMAL
tcp,SF,252,10,1,0.23,255,0,NORMAL
tcp,SF,164,6,1,0,255,0,NORMAL
tcp,SF,369,28,1,0,255,0,NORMAL
tcp,SF,167,1,1,1,255,0.01,NORMAL
tcp,SF,327,9,1,0,255,0.11,NORMAL
tcp,SF,281,3,1,0,255,0.33,NORMAL
tcp,SF,230,5,1,0,255,0,NORMAL
tcp,SF,302,10,1,0.09,255,0.04,NORMAL
tcp,SF,275,1,1,0,255,0.02,NORMAL
tcp,SF,189,2,1,0.4,255,0.01,NORMAL
tcp,SF,232,6,1,0,255,0,NORMAL
tcp,SF,367,5,1,0,255,0,NORMAL
tcp,SF,210,3,1,0,255,0.17,NORMAL
tcp,SF,298,5,1,0.43,252,0.2,NORMAL
tcp,SF,294,21,1,0.21,255,0.02,NORMAL
tcp,SF,307,11,1,0,255,0.01,NORMAL
tcp,SF,308,14,1,0,255,0,NORMAL
tcp,SF,213,22,1,0.16,255,0,NORMAL
tcp,SF,304,19,1,0.09,198,0.01,NORMAL
tcp,SF,203,33,1,0.04,255,0,NORMAL
tcp,SF,159,1,1,0,255,1,NORMAL
tcp,SF,214,2,1,0,255,0.04,NORMAL
tcp,SF,204,30,1,0.06,255,0,NORMAL
tcp,REJ,0,1,1,0,19,0.05,NORMAL
tcp,SF,328,1,1,0.24,255,0.08,NORMAL
tcp,SF,373,2,1,0.75,255,0.04,NORMAL
tcp,SF,209,2,1,0,255,0.02,NORMAL
tcp,SF,310,2,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,1,247,0.14,NORMAL
tcp,SF,281,2,1,0,255,0.5,NORMAL
tcp,SF,303,3,1,0.5,255,0.01,NORMAL
tcp,SF,189,3,1,0.5,255,0.33,NORMAL
tcp,SF,174,1,1,0,26,0.04,NORMAL
tcp,SF,311,13,1,0,255,0,NORMAL
tcp,SF,341,11,1,0.14,255,0.03,NORMAL
tcp,SF,217,10,1,0.14,255,0,NORMAL
tcp,SF,240,14,1,0.13,255,0,NORMAL
tcp,REJ,0,1,1,1,133,0.02,NORMAL
tcp,SF,173,1,1,0,255,0.33,NORMAL
tcp,SF,315,19,1,0,255,0,NORMAL
tcp,SF,230,1,1,0.4,255,1,NORMAL
tcp,SF,295,1,1,0.25,255,0.01,NORMAL
tcp,SF,200,10,1,0.18,255,0.1,NORMAL
tcp,SF,294,7,1,0,255,0.05,NORMAL
tcp,REJ,0,1,1,1,237,1,NORMAL
tcp,SF,0,7,1,0,255,0.14,NORMAL
tcp,SF,330,17,1,0.11,255,0,NORMAL
tcp,SF,292,21,1,0.09,255,0.01,NORMAL
tcp,REJ,0,1,1,0,33,1,NORMAL
tcp,SF,230,5,1,0,255,0,NORMAL
tcp,SF,211,5,1,0.31,42,0.05,NORMAL
tcp,REJ,0,1,1,1,19,0.11,NORMAL
tcp,REJ,0,1,1,0,245,0.01,NORMAL
tcp,SF,300,2,1,0,255,0,NORMAL
tcp,REJ,0,1,1,1,247,0.08,NORMAL
tcp,SF,260,18,1,0,255,0,NORMAL
tcp,SF,287,32,1,0.12,219,0,NORMAL
tcp,SF,193,1,1,0.67,255,0.01,NORMAL
tcp,SF,305,2,1,0.14,255,0.02,NORMAL
tcp,SF,288,14,1,0.13,255,0.05,NORMAL
tcp,SF,315,11,1,0,168,0.01,NORMAL
tcp,SF,340,35,1,0,255,0.01,NORMAL
tcp,SF,248,2,1,0.17,255,0.02,NORMAL
tcp,SF,320,30,1,0.08,255,0.01,NORMAL
tcp,SF,211,30,1,0,255,0.03,NORMAL
tcp,SF,222,1,1,0,255,1,NORMAL
tcp,SF,324,7,1,0.08,255,0,NORMAL
tcp,SF,232,11,1,0.15,255,0.04,NORMAL
tcp,SF,224,15,1,0.12,255,0.02,NORMAL
tcp,SF,223,2,1,0.67,255,0.14,NORMAL
tcp,SF,221,30,1,0.06,252,0.01,NORMAL
tcp,SF,145,1,1,0,255,0,NORMAL
tcp,SF,249,1,1,0,255,0.09,NORMAL
tcp,SF,274,1,1,0,255,0.01,NORMAL
tcp,SF,355,3,1,0,255,0.33,NORMAL
tcp,SF,215,4,1,0,255,0.06,NORMAL
tcp,SF,304,7,1,0.33,247,0,NORMAL
tcp,SF,236,3,1,0.22,255,0.02,NORMAL
tcp,S0,0,2,1,0,255,1,NORMAL
tcp,SF,245,1,1,0,255,0.01,NORMAL
tcp,SF,236,5,1,0.38,255,0,NORMAL
tcp,SF,229,3,1,0,255,0.2,NORMAL
tcp,SF,215,4,1,0,255,0.01,NORMAL
tcp,SF,253,2,1,0.27,255,0,NORMAL
tcp,SF,327,21,1,0,255,0,NORMAL
tcp,SF,204,3,1,0,255,0.33,NORMAL
tcp,SF,313,20,1,0.09,255,0.03,NORMAL
tcp,SF,224,8,1,0.08,255,0,NORMAL
tcp,SF,223,8,1,0,255,0.12,NORMAL
tcp,SF,283,2,1,0,255,0.01,NORMAL
tcp,SF,309,11,1,0.21,255,0.03,NORMAL
tcp,REJ,0,1,1,1,255,0.11,NORMAL
tcp,SF,368,8,1,0.27,231,0.04,NORMAL
tcp,SF,243,4,1,0,255,0.01,NORMAL
tcp,SF,212,13,1,0,255,0,NORMAL
tcp,SF,300,12,1,0.13,255,0.02,NORMAL
tcp,SF,219,11,1,0,255,0,NORMAL
tcp,SF,293,6,1,0.22,255,0,NORMAL
tcp,SF,270,14,1,0,255,0,NORMAL
tcp,REJ,0,1,1,0,255,0.2,NORMAL
tcp,SF,336,3,1,0,255,0,NORMAL
tcp,SF,272,35,1,0.06,255,0.01,NORMAL
tcp,SF,147,2,1,0.15,255,0.03,NORMAL
tcp,SF,186,1,1,0.1,255,0,NORMAL
tcp,SF,245,3,1,0.5,255,0.01,NORMAL
tcp,SF,314,20,1,0,255,0.05,NORMAL
tcp,SF,235,22,1,0.05,255,0,NORMAL
tcp,SF,291,2,1,0,255,0,NORMAL
tcp,SF,335,19,1,0,255,0.01,NORMAL
tcp,SF,274,25,1,0,255,0.04,NORMAL
tcp,SF,230,6,1,0.29,249,0,NORMAL
tcp,SF,350,17,1,0,255,0.06,NORMAL
tcp,SF,205,22,1,0.14,255,0.05,NORMAL
tcp,SF,230,13,1,0,255,0.08,NORMAL
tcp,SF,333,20,1,0.17,255,0,NORMAL
tcp,SF,194,18,1,0,255,0,NORMAL
tcp,SF,200,7,1,0.12,255,0.14,NORMAL
tcp,SF,325,5,1,0.29,255,0,NORMAL
tcp,SF,251,10,1,0.11,255,0.03,NORMAL
tcp,SF,235,9,1,0.14,255,0.04,NORMAL
tcp,SF,210,7,1,0.06,255,0.14,NORMAL
tcp,SF,266,6,1,0,255,0.04,NORMAL
tcp,SF,247,3,1,0,255,0,NORMAL
tcp,SF,280,2,1,0.4,255,0.01,NORMAL
tcp,SF,309,6,1,0,255,0.12,NORMAL
tcp,SF,221,3,1,0.29,255,0,NORMAL
tcp,REJ,0,1,1,0,254,0.05,NORMAL
tcp,REJ,0,1,1,1,195,0.5,NORMAL
tcp,REJ,0,1,1,0,253,0.33,NORMAL
tcp,SF,225,4,1,0.14,255,0.25,NORMAL
tcp,SF,246,7,1,0,255,0,NORMAL
tcp,SF,319,4,1,0,255,0.25,NORMAL
tcp,SF,328,9,1,0.2,255,0,NORMAL
tcp,SF,226,14,1,0.13,255,0.01,NORMAL
tcp,SF,195,4,1,0.4,255,0.07,NORMAL
tcp,SF,306,7,1,0,251,0,NORMAL
tcp,SF,193,26,1,0,255,0,NORMAL
tcp,SF,301,25,1,0.12,255,0.01,NORMAL
tcp,SF,224,16,1,0,255,0.03,NORMAL
tcp,SF,244,9,1,0,255,0.03,NORMAL
tcp,SF,233,10,1,0,255,0.1,NORMAL
tcp,SF,164,1,1,0.6,255,1,NORMAL
tcp,SF,329,17,1,0,255,0.01,NORMAL
tcp,SF,183,6,1,0.12,255,0.04,NORMAL
tcp,SF,207,10,1,0,255,0.1,NORMAL
tcp,SF,208,6,1,0,85,0.01,NORMAL
tcp,SF,217,5,1,0.33,10,0.1,NORMAL
tcp,SF,299,35,1,0,255,0.03,NORMAL
tcp,SF,321,5,1,0.24,255,0,NORMAL
tcp,SF,477,1,1,0,255,0,NORMAL
tcp,SF,215,7,1,0.25,255,0.14,NORMAL
tcp,SF,336,35,1,0.05,255,0,NORMAL
tcp,SF,333,5,1,0,255,0,NORMAL
tcp,SF,247,1,1,0.4,255,0,NORMAL
tcp,SF,333,15,1,0.08,255,0.01,NORMAL
tcp,SF,297,9,1,0.17,255,0,NORMAL
tcp,SF,331,10,1,0,255,0,NORMAL
tcp,SF,230,8,1,0,255,0.12,NORMAL
tcp,SF,217,7,1,0,255,0.01,NORMAL
tcp,SF,224,2,1,0.09,255,0.06,NORMAL
tcp,SF,231,13,1,0.14,255,0,NORMAL
tcp,SF,149,1,1,0.23,255,0.33,NORMAL
tcp,SF,203,20,1,0,255,0.05,NORMAL
tcp,SF,289,1,1,1,255,0.11,NORMAL
tcp,REJ,0,1,1,0,151,0.06,NORMAL
tcp,SF,262,2,1,0,255,0,NORMAL
tcp,SF,211,11,1,0,255,0,NORMAL
tcp,SF,258,20,1,0.09,255,0.01,NORMAL
tcp,SF,265,1,1,0,255,0.01,NORMAL
tcp,SF,218,4,1,0,255,0.06,NORMAL
tcp,SF,323,7,1,0,255,0,NORMAL
tcp,SF,327,13,1,0,255,0,NORMAL
tcp,SF,209,2,1,0.09,255,0.01,NORMAL
tcp,SF,376,3,1,0.1,255,0.02,NORMAL
tcp,SF,208,45,1,0.04,255,0.01,NORMAL
tcp,SF,224,14,1,0.13,255,0.02,NORMAL
tcp,SF,254,1,1,1,255,0.03,NORMAL
tcp,SF,191,4,1,0,255,0.01,NORMAL
tcp,SF,217,2,1,0,255,0.02,NORMAL
tcp,SF,213,10,1,0,255,0,NORMAL
tcp,SF,304,13,1,0.18,255,0.01,NORMAL
tcp,SF,156,1,1,1,255,1,NORMAL
tcp,SF,224,9,1,0,255,0.02,NORMAL
tcp,SF,229,1,1,0,255,0.01,NORMAL
tcp,REJ,0,1,1,1,46,0.11,NORMAL
tcp,SF,236,2,1,0.67,255,0,NORMAL
tcp,REJ,0,1,1,0,247,0.02,NORMAL
tcp,SF,241,4,1,0.33,255,0.01,NORMAL
tcp,SF,246,5,1,0.22,255,0,NORMAL
