% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE, normal:NORMAL-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R3,17,19-20,27'

@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
SF,1,1,0,NORMAL
SF,32,1,0,NORMAL
SF,97,1,0,NORMAL
SF,255,1,0,NORMAL
SF,13,1,0,NORMAL
SF,100,1,0,NORMAL
SF,107,1,0,NORMAL
SF,201,1,0,NORMAL
SF,10,1,0,NORMAL
SF,27,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,125,1,0,NORMAL
SF,255,1,0,NORMAL
SF,72,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,70,1,0,NORMAL
SF,126,1,0,NORMAL
SF,84,1,0,NORMAL
SF,30,1,0,NORMAL
REJ,7,1,0,NORMAL
SF,6,1,0,NORMAL
SF,9,1,0,NORMAL
SF,10,1,0,NORMAL
SF,29,1,0,NORMAL
SF,255,1,0,NORMAL
SF,10,1,0,NORMAL
SF,25,1,0,NORMAL
SF,255,1,0,NORMAL
S1,43,1,0,NORMAL
SF,173,1,0,NORMAL
SF,127,1,0,NORMAL
SF,94,1,0,NORMAL
SF,33,1,0,NORMAL
SF,206,1,0,NORMAL
SF,41,1,0,NORMAL
REJ,4,1,0,NORMAL
SF,9,1,0,NORMAL
SF,20,1,0,NORMAL
SF,48,1,0,NORMAL
SF,29,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,15,1,0,NORMAL
SF,40,1,0,NORMAL
SF,33,1,0,NORMAL
SF,101,1,0,NORMAL
SF,28,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,88,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,24,0.38,0.21,NORMAL
SF,9,1,0,NORMAL
SF,179,1,0,NORMAL
SF,255,1,0,NORMAL
SF,58,0.79,0.05,NORMAL
SF,255,1,0,NORMAL
SF,4,1,0,NORMAL
SF,223,1,0,NORMAL
SF,255,1,0,NORMAL
SF,140,1,0,NORMAL
SF,255,1,0,NORMAL
SF,16,1,0,NORMAL
SF,7,1,0,NORMAL
SF,255,0.95,0.01,NORMAL
SF,255,1,0,NORMAL
SF,42,1,0,NORMAL
SF,53,1,0,NORMAL
SF,65,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,74,0.91,0.03,NORMAL
SF,88,1,0,NORMAL
SF,12,1,0,NORMAL
SF,255,0.97,0.01,NORMAL
SF,181,1,0,NORMAL
SF,129,1,0,NORMAL
SF,255,1,0,NORMAL
SF,84,1,0,NORMAL
SF,47,1,0,NORMAL
REJ,2,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,109,1,0,NORMAL
REJ,73,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,166,1,0,NORMAL
REJ,1,1,0,NORMAL
SF,27,1,0,NORMAL
SF,29,1,0,NORMAL
SF,181,1,0,NORMAL
SF,255,1,0,NORMAL
SF,8,1,0,NORMAL
SF,134,1,0,NORMAL
SF,255,0.98,0.01,NORMAL
SF,255,1,0,NORMAL
SF,80,1,0,NORMAL
SF,255,1,0,NORMAL
SF,31,1,0,NORMAL
SF,43,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,253,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,52,1,0,NORMAL
SF,102,1,0,NORMAL
SF,52,1,0,NORMAL
SF,48,1,0,NORMAL
SF,74,1,0,NORMAL
SF,255,1,0,NORMAL
SF,1,1,0,NORMAL
SF,47,1,0,NORMAL
SF,14,1,0,NORMAL
SF,154,1,0,NORMAL
SF,9,1,0,NORMAL
SF,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,51,1,0,NORMAL
SF,255,1,0,NORMAL
SF,3,1,0,NORMAL
SF,255,0.98,0.01,NORMAL
SF,254,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,7,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,41,1,0,NORMAL
SF,8,1,0,NORMAL
SF,13,1,0,NORMAL
SF,255,1,0,NORMAL
SF,30,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,7,1,0,NORMAL
REJ,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,51,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,34,1,0,NORMAL
SF,1,1,0,NORMAL
SF,34,1,0,NORMAL
SF,19,1,0,NORMAL
SF,255,0.99,0.01,NORMAL
SF,255,1,0,NORMAL
SF,42,1,0,NORMAL
SF,108,1,0,NORMAL
SF,72,1,0,NORMAL
SF,181,1,0,NORMAL
SF,6,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,41,1,0,NORMAL
SF,66,1,0,NORMAL
SF,150,1,0,NORMAL
SF,198,1,0,NORMAL
SF,255,1,0,NORMAL
SF,91,1,0,NORMAL
SF,65,1,0,NORMAL
SF,9,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,67,1,0,NORMAL
RSTO,128,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,213,1,0,NORMAL
SF,195,1,0,NORMAL
SF,13,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,0.93,0.01,NORMAL
SF,234,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,2,1,0,NORMAL
SF,255,1,0,NORMAL
SF,19,1,0,NORMAL
SF,51,1,0,NORMAL
SF,10,1,0,NORMAL
SF,255,1,0,NORMAL
SF,189,1,0,NORMAL
SF,2,1,0,NORMAL
SF,26,1,0,NORMAL
SF,255,1,0,NORMAL
SF,228,1,0,NORMAL
SF,3,1,0,NORMAL
SF,118,1,0,NORMAL
REJ,2,1,0,NORMAL
SF,8,1,0,NORMAL
SF,15,1,0,NORMAL
SF,75,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,3,1,0,NORMAL
SF,150,1,0,NORMAL
SF,39,1,0,NORMAL
SF,81,1,0,NORMAL
SF,46,1,0,NORMAL
SF,71,1,0,NORMAL
REJ,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,125,1,0,NORMAL
SF,9,1,0,NORMAL
SF,3,1,0,NORMAL
SF,255,1,0,NORMAL
SF,27,1,0,NORMAL
SF,65,1,0,NORMAL
SF,112,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,6,1,0,NORMAL
SF,5,1,0,NORMAL
SF,53,1,0,NORMAL
SF,148,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,188,1,0,NORMAL
SF,255,1,0,NORMAL
SF,1,1,0,NORMAL
SF,26,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,19,1,0,NORMAL
SF,12,1,0,NORMAL
SF,24,1,0,NORMAL
SF,43,1,0,NORMAL
SF,86,1,0,NORMAL
REJ,7,1,0,NORMAL
SF,2,1,0,NORMAL
SF,76,1,0,NORMAL
SF,3,1,0,NORMAL
SF,26,1,0,NORMAL
SF,255,1,0,NORMAL
SF,29,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,65,1,0,NORMAL
SF,3,1,0,NORMAL
SF,255,1,0,NORMAL
SF,1,1,0,NORMAL
SF,88,1,0,NORMAL
SF,10,1,0,NORMAL
SF,20,1,0,NORMAL
REJ,1,1,0,NORMAL
SF,7,1,0,NORMAL
SF,255,1,0,NORMAL
SF,132,1,0,NORMAL
REJ,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,42,1,0,NORMAL
REJ,9,1,0,NORMAL
REJ,76,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,12,1,0,NORMAL
SF,255,1,0,NORMAL
SF,202,1,0,NORMAL
SF,123,1,0,NORMAL
SF,41,1,0,NORMAL
SF,20,1,0,NORMAL
SF,168,1,0,NORMAL
SF,141,1,0,NORMAL
SF,41,1,0,NORMAL
SF,159,1,0,NORMAL
SF,30,1,0,NORMAL
SF,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,25,1,0,NORMAL
SF,57,1,0,NORMAL
SF,7,1,0,NORMAL
SF,89,1,0,NORMAL
SF,237,1,0,NORMAL
SF,11,1,0,NORMAL
SF,197,1,0,NORMAL
SF,3,1,0,NORMAL
SF,16,1,0,NORMAL
SF,255,0.97,0.01,NORMAL
SF,49,1,0,NORMAL
S0,2,1,0,NORMAL
SF,108,1,0,NORMAL
SF,255,1,0,NORMAL
SF,5,1,0,NORMAL
SF,71,1,0,NORMAL
SF,215,1,0,NORMAL
SF,255,1,0,NORMAL
SF,3,1,0,NORMAL
SF,39,1,0,NORMAL
SF,255,1,0,NORMAL
SF,8,1,0,NORMAL
SF,69,1,0,NORMAL
SF,31,1,0,NORMAL
REJ,9,1,0,NORMAL
SF,28,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,49,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,5,1,0,NORMAL
SF,255,1,0,NORMAL
SF,83,1,0,NORMAL
SF,29,1,0,NORMAL
SF,205,1,0,NORMAL
SF,172,1,0,NORMAL
SF,20,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,169,1,0,NORMAL
SF,25,1,0,NORMAL
SF,255,0.98,0.01,NORMAL
SF,17,1,0,NORMAL
SF,22,1,0,NORMAL
SF,13,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,7,1,0,NORMAL
SF,255,1,0,NORMAL
SF,29,1,0,NORMAL
SF,24,1,0,NORMAL
SF,7,1,0,NORMAL
SF,24,1,0,NORMAL
SF,255,1,0,NORMAL
SF,157,1,0,NORMAL
SF,8,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,19,1,0,NORMAL
REJ,2,1,0,NORMAL
REJ,3,1,0,NORMAL
SF,4,1,0,NORMAL
SF,254,1,0,NORMAL
SF,4,1,0,NORMAL
SF,219,1,0,NORMAL
SF,78,1,0,NORMAL
SF,15,1,0,NORMAL
SF,255,0.98,0.01,NORMAL
SF,255,1,0,NORMAL
SF,87,1,0,NORMAL
SF,37,1,0,NORMAL
SF,30,1,0,NORMAL
SF,10,1,0,NORMAL
SF,1,1,0,NORMAL
SF,71,1,0,NORMAL
SF,27,1,0,NORMAL
SF,10,1,0,NORMAL
SF,85,1,0,NORMAL
SF,10,1,0,NORMAL
SF,35,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,7,1,0,NORMAL
SF,255,1,0,NORMAL
SF,215,1,0,NORMAL
SF,255,1,0,NORMAL
SF,70,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,8,1,0,NORMAL
SF,113,1,0,NORMAL
SF,18,1,0,NORMAL
SF,255,1,0,NORMAL
SF,3,1,0,NORMAL
SF,20,1,0,NORMAL
SF,9,1,0,NORMAL
REJ,17,1,0,NORMAL
SF,223,1,0,NORMAL
SF,255,1,0,NORMAL
SF,102,1,0,NORMAL
SF,73,1,0,NORMAL
SF,18,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,104,1,0,NORMAL
SF,46,1,0,NORMAL
SF,234,1,0,NORMAL
SF,57,1,0,NORMAL
SF,32,1,0,NORMAL
SF,166,1,0,NORMAL
SF,45,1,0,NORMAL
SF,255,1,0,NORMAL
SF,195,1,0,NORMAL
SF,1,1,0,NORMAL
SF,55,1,0,NORMAL
SF,85,1,0,NORMAL
REJ,9,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,43,1,0,NORMAL
SF,79,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,49,1,0,NORMAL
REJ,84,1,0,NORMAL
SF,18,1,0,NORMAL
REJ,128,1,0,NORMAL
SF,156,1,0,NORMAL
SF,183,1,0,NORMAL
SF,8,1,0,NORMAL
REJ,129,0.8,0.02,NORMAL
SF,11,1,0,NORMAL
S0,11,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,167,1,0,NORMAL
SF,132,1,0,NORMAL
SF,5,1,0,NORMAL
SF,12,1,0,NORMAL
REJ,3,1,0,NORMAL
SF,39,1,0,NORMAL
SF,87,1,0,NORMAL
SF,255,1,0,NORMAL
SF,23,1,0,NORMAL
REJ,22,1,0,NORMAL
SF,47,1,0,NORMAL
SF,255,1,0,NORMAL
SF,7,1,0,NORMAL
REJ,36,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,87,1,0,NORMAL
REJ,9,1,0,NORMAL
SF,13,1,0,NORMAL
SF,55,1,0,NORMAL
SF,18,1,0,NORMAL
SF,40,1,0,NORMAL
SF,42,1,0,NORMAL
SF,11,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,0.95,0.01,NORMAL
SF,67,1,0,NORMAL
REJ,207,1,0,NORMAL
SF,114,1,0,NORMAL
SF,17,1,0,NORMAL
SF,27,1,0,NORMAL
SF,255,1,0,NORMAL
SF,5,1,0,NORMAL
SF,5,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,52,1,0,NORMAL
SF,50,1,0,NORMAL
SF,255,1,0,NORMAL
SF,98,1,0,NORMAL
SF,114,1,0,NORMAL
SF,71,1,0,NORMAL
SF,255,1,0,NORMAL
SF,181,1,0,NORMAL
SF,116,1,0,NORMAL
SF,153,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0.01,NORMAL
SF,46,1,0,NORMAL
SF,40,1,0,NORMAL
SF,174,1,0,NORMAL
SF,255,1,0,NORMAL
SF,62,1,0,NORMAL
SF,99,1,0,NORMAL
SF,96,1,0,NORMAL
SF,115,1,0,NORMAL
SF,255,1,0,NORMAL
SF,3,1,0,NORMAL
SF,247,1,0,NORMAL
SF,93,1,0,NORMAL
SF,255,1,0,NORMAL
SF,29,1,0,NORMAL
SF,9,1,0,NORMAL
SF,106,1,0,NORMAL
SF,1,1,0,NORMAL
SF,61,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,2,1,0,NORMAL
SF,103,1,0,NORMAL
SF,201,1,0,NORMAL
SF,3,1,0,NORMAL
SF,69,1,0,NORMAL
SF,158,1,0,NORMAL
S2,214,1,0,NORMAL
SF,195,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,229,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,18,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,203,1,0,NORMAL
SF,149,1,0,NORMAL
SF,255,1,0,NORMAL
SF,38,1,0,NORMAL
SF,9,1,0,NORMAL
SF,27,1,0,NORMAL
S2,255,0.97,0.01,NORMAL
SF,255,0.96,0.02,NORMAL
SF,61,1,0,NORMAL
SF,8,1,0,NORMAL
SF,21,1,0,NORMAL
SF,255,1,0,NORMAL
SF,24,1,0,NORMAL
SF,70,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,4,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,108,1,0,NORMAL
SF,2,1,0,NORMAL
SF,21,1,0,NORMAL
SF,100,1,0,NORMAL
SF,2,1,0,NORMAL
SF,255,1,0,NORMAL
SF,2,1,0,NORMAL
REJ,1,1,0,NORMAL
S1,167,1,0,NORMAL
SF,255,1,0,NORMAL
SF,158,1,0,NORMAL
SF,3,1,0,NORMAL
SF,97,1,0,NORMAL
SF,58,1,0,NORMAL
SF,255,1,0,NORMAL
SF,156,1,0,NORMAL
SF,76,1,0,NORMAL
SF,12,1,0,NORMAL
SF,98,1,0,NORMAL
SF,34,1,0,NORMAL
SF,37,1,0,NORMAL
REJ,2,1,0,NORMAL
SF,24,1,0,NORMAL
SF,175,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,0.99,0.01,NORMAL
SF,255,1,0,NORMAL
REJ,9,1,0,NORMAL
SF,115,1,0,NORMAL
SF,131,1,0,NORMAL
SF,60,1,0,NORMAL
SF,18,1,0,NORMAL
SF,11,1,0,NORMAL
SF,7,1,0,NORMAL
SF,4,1,0,NORMAL
SF,48,1,0,NORMAL
SF,141,1,0,NORMAL
SF,255,1,0,NORMAL
SF,116,1,0,NORMAL
SF,93,1,0,NORMAL
SF,10,1,0,NORMAL
SF,105,1,0,NORMAL
REJ,3,1,0,NORMAL
SF,255,1,0,NORMAL
SF,51,1,0,NORMAL
SF,125,1,0,NORMAL
SF,4,1,0,NORMAL
SF,17,1,0,NORMAL
SF,127,0.94,0.02,NORMAL
SF,139,1,0,NORMAL
SF,83,1,0,NORMAL
SF,255,1,0,NORMAL
SF,55,1,0,NORMAL
SF,255,1,0,NORMAL
SF,53,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,2,1,0,NORMAL
SF,255,1,0,NORMAL
SF,75,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,52,1,0,NORMAL
SF,77,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,141,0.93,0.02,NORMAL
SF,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,196,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,13,1,0,NORMAL
SF,139,1,0,NORMAL
SF,255,1,0,NORMAL
SF,99,1,0,NORMAL
SF,255,1,0,NORMAL
SF,12,1,0,NORMAL
SF,8,1,0,NORMAL
SF,255,1,0,NORMAL
SF,28,1,0,NORMAL
SF,31,1,0,NORMAL
SF,44,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,18,1,0,NORMAL
REJ,14,1,0,NORMAL
SF,236,1,0,NORMAL
SF,3,1,0,NORMAL
SF,250,1,0,NORMAL
SF,255,1,0,NORMAL
SF,81,1,0,NORMAL
SF,191,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,122,1,0,NORMAL
SF,116,1,0,NORMAL
SF,26,1,0,NORMAL
SF,10,1,0,NORMAL
SF,4,1,0,NORMAL
SF,133,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,205,1,0,NORMAL
SF,24,1,0,NORMAL
SF,255,1,0,NORMAL
SF,66,1,0,NORMAL
REJ,41,1,0,NORMAL
SF,63,1,0,NORMAL
REJ,9,1,0,NORMAL
SF,255,1,0,NORMAL
SF,163,1,0,NORMAL
SF,255,0.96,0.02,NORMAL
SF,3,1,0,NORMAL
SF,35,1,0,NORMAL
SF,255,1,0,NORMAL
SF,3,1,0,NORMAL
SF,134,1,0,NORMAL
SF,1,1,0,NORMAL
SF,4,1,0,NORMAL
SF,53,1,0,NORMAL
SF,255,0.97,0.01,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,56,1,0,NORMAL
SF,98,1,0,NORMAL
SF,31,1,0,NORMAL
SF,137,1,0,NORMAL
SF,255,1,0,NORMAL
SF,186,1,0,NORMAL
SF,255,1,0,NORMAL
SF,127,1,0,NORMAL
SF,12,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,158,1,0,NORMAL
SF,137,1,0,NORMAL
SF,117,1,0,NORMAL
SF,255,1,0,NORMAL
SF,12,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,0.96,0.01,NORMAL
REJ,25,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,89,1,0,NORMAL
REJ,48,1,0,NORMAL
SF,100,1,0,NORMAL
SF,255,1,0,NORMAL
SF,138,1,0,NORMAL
SF,4,1,0,NORMAL
SF,161,1,0,NORMAL
SF,32,1,0,NORMAL
SF,252,1,0,NORMAL
SF,8,1,0,NORMAL
SF,30,1,0,NORMAL
SF,11,1,0,NORMAL
SF,255,1,0,NORMAL
SF,220,1,0,NORMAL
SF,255,1,0.01,NORMAL
SF,35,1,0,NORMAL
SF,255,1,0,NORMAL
SF,113,1,0,NORMAL
SF,17,1,0,NORMAL
SF,3,1,0,NORMAL
SF,255,0.96,0.01,NORMAL
SF,255,1,0,NORMAL
SF,26,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,12,1,0,NORMAL
SF,56,1,0,NORMAL
SF,24,1,0,NORMAL
REJ,34,1,0,NORMAL
SF,255,1,0,NORMAL
SF,16,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,0.96,0.01,NORMAL
SF,255,1,0,NORMAL
SF,154,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,8,1,0,NORMAL
SF,13,1,0,NORMAL
SF,255,1,0,NORMAL
SF,92,1,0,NORMAL
REJ,7,1,0,NORMAL
SF,69,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,54,1,0,NORMAL
SF,35,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,4,1,0,NORMAL
REJ,88,1,0,NORMAL
SF,9,1,0,NORMAL
SF,82,1,0,NORMAL
SF,14,1,0,NORMAL
SF,23,1,0,NORMAL
SF,30,1,0,NORMAL
SF,93,1,0,NORMAL
SF,16,1,0,NORMAL
SF,113,1,0,NORMAL
SF,36,1,0,NORMAL
SF,6,1,0,NORMAL
SF,102,1,0,NORMAL
SF,13,1,0,NORMAL
SF,110,1,0,NORMAL
SF,4,1,0,NORMAL
SF,53,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,223,1,0,NORMAL
SF,60,1,0,NORMAL
SF,167,1,0,NORMAL
SF,186,1,0,NORMAL
S1,2,1,0,NORMAL
SF,183,1,0,NORMAL
SF,255,0.96,0.01,NORMAL
SF,187,1,0,NORMAL
SF,255,1,0,NORMAL
SF,13,1,0,NORMAL
SF,255,1,0,NORMAL
SF,26,1,0,NORMAL
SF,255,1,0,NORMAL
SF,36,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,110,1,0,NORMAL
SF,169,1,0,NORMAL
REJ,22,0.32,0.23,NORMAL
SF,9,1,0,NORMAL
REJ,4,1,0,NORMAL
SF,177,1,0,NORMAL
SF,48,1,0,NORMAL
SF,1,1,0,NORMAL
SF,255,1,0,NORMAL
SF,32,1,0,NORMAL
SF,255,1,0,NORMAL
SF,255,1,0,NORMAL
SF,11,1,0,NORMAL
SF,255,0.99,0.01,NORMAL
SF,3,1,0,NORMAL
SF,36,1,0,NORMAL
SF,161,1,0,NORMAL
SF,220,1,0,NORMAL
SF,58,1,0,NORMAL
SF,112,1,0,NORMAL
SF,142,1,0,NORMAL
REJ,1,1,0,NORMAL
SF,56,1,0,NORMAL
SF,255,1,0,NORMAL
REJ,6,1,0,NORMAL
SF,111,1,0,NORMAL
