% isAttack HIGH_RATE:	1260
% isAttack LOW_RATE:	1332
% isAttack NORMAL:	1333
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:NORMAL, tcpFlood:HIGH_RATE, udpFlood:HIGH_RATE, httpFlood:HIGH_RATE, slowBody:LOW_RATE, slowHeaders:LOW_RATE, slowRead:LOW_RATE-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R4-5,17-18,21,27'

@attribute src_bytes numeric
@attribute dst_bytes numeric
@attribute dst_host_count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_src_port_rate numeric
@attribute isAttack {HIGH_RATE,LOW_RATE,NORMAL}

@data
349,310,255,255,0,NORMAL
143,5630,128,255,0.01,NORMAL
330,3817,255,255,0,NORMAL
244,307,239,250,0.01,NORMAL
227,990,10,255,0.1,NORMAL
204,1295,2,255,0.5,NORMAL
379,2651,255,255,0,NORMAL
327,2268,255,255,0,NORMAL
214,279,170,255,0.01,NORMAL
227,4073,255,255,0,NORMAL
272,1174,255,255,0,NORMAL
241,1946,26,255,0.04,NORMAL
0,0,221,255,0.01,NORMAL
293,283,27,255,0.04,NORMAL
257,2341,71,255,0.01,NORMAL
255,2450,16,255,0.06,NORMAL
225,704,58,255,0.02,NORMAL
265,1125,106,255,0.01,NORMAL
0,0,8,198,0.12,NORMAL
242,6757,255,255,0,NORMAL
213,6924,255,255,0,NORMAL
307,400,255,255,0,NORMAL
322,2126,64,255,0.02,NORMAL
201,4841,255,255,0,NORMAL
207,2568,255,255,0,NORMAL
0,0,169,118,0.01,NORMAL
154,3181,234,255,0,NORMAL
301,3222,255,249,0,NORMAL
307,5200,229,255,0,NORMAL
474,7168,255,255,0,NORMAL
190,3703,172,172,0.01,NORMAL
234,260,255,255,0,NORMAL
302,308,255,255,0,NORMAL
183,5465,13,255,0.08,NORMAL
373,3427,255,255,0,NORMAL
206,2769,255,255,0,NORMAL
223,16129,255,255,0,NORMAL
190,1925,255,255,0,NORMAL
203,1436,15,255,0.07,NORMAL
251,1553,255,255,0,NORMAL
162,3236,2,255,0.5,NORMAL
209,753,255,255,0,NORMAL
286,844,77,255,0.01,NORMAL
210,581,13,255,0.08,NORMAL
301,6656,16,255,0.06,NORMAL
266,5377,6,255,0.17,NORMAL
216,292,255,255,0.01,NORMAL
0,0,19,255,0.05,NORMAL
206,1648,1,255,1,NORMAL
207,553,21,24,0.05,NORMAL
229,12081,85,255,0.01,NORMAL
284,296,59,255,0.02,NORMAL
144,0,255,255,0,NORMAL
205,6431,255,255,0,NORMAL
295,655,171,255,0.01,NORMAL
188,2057,63,255,0.02,NORMAL
326,2035,41,255,0.02,NORMAL
223,6344,45,255,0.02,NORMAL
206,854,33,255,0.03,NORMAL
320,962,255,255,0,NORMAL
233,922,9,255,0.11,NORMAL
187,347,62,255,0.02,NORMAL
289,2111,255,255,0,NORMAL
448,549,22,255,0.05,NORMAL
296,1187,195,219,0.01,NORMAL
222,576,32,255,0.03,NORMAL
255,1727,255,253,0,NORMAL
297,1969,255,255,0,NORMAL
284,148,6,255,0.17,NORMAL
319,943,83,255,0.01,NORMAL
212,1484,255,255,0,NORMAL
168,4555,1,79,1,NORMAL
466,377,13,249,0.08,NORMAL
227,9534,159,255,0.01,NORMAL
343,4530,20,70,0.05,NORMAL
0,0,74,255,0.01,NORMAL
169,2183,8,255,0.12,NORMAL
293,1658,92,255,0.01,NORMAL
253,4066,82,255,0.01,NORMAL
210,63203,22,255,0.05,NORMAL
0,0,22,115,0.05,NORMAL
209,3074,22,255,0.05,NORMAL
360,3737,255,255,0,NORMAL
240,2052,33,255,0.03,NORMAL
213,656,255,255,0,NORMAL
314,2387,139,255,0.01,NORMAL
236,261,20,255,0.05,NORMAL
325,6665,255,255,0,NORMAL
327,2109,128,255,0.01,NORMAL
238,422,66,79,0.02,NORMAL
305,309,31,255,0.03,NORMAL
318,21580,3,255,0.33,NORMAL
323,4771,4,255,0.25,NORMAL
0,0,234,196,0,NORMAL
0,0,4,251,0.25,NORMAL
295,26504,10,255,0.1,NORMAL
289,3229,186,255,0.01,NORMAL
297,277,125,255,0.01,NORMAL
216,648,33,255,0.03,NORMAL
307,426,96,255,0.01,NORMAL
0,0,1,219,1,NORMAL
302,1113,36,255,0.03,NORMAL
296,2507,255,252,0,NORMAL
199,4729,36,255,0.03,NORMAL
287,690,255,255,0,NORMAL
311,2133,255,255,0,NORMAL
199,450,209,212,0,NORMAL
249,677,255,255,0,NORMAL
325,2006,10,255,0.1,NORMAL
157,9185,4,255,0.25,NORMAL
240,11753,97,255,0.01,NORMAL
236,1423,255,255,0,NORMAL
289,468,50,255,0.02,NORMAL
157,9109,255,255,0,NORMAL
0,0,15,253,0.07,NORMAL
0,0,255,255,0,NORMAL
244,2619,31,255,0.03,NORMAL
332,1722,255,255,0,NORMAL
0,0,116,255,0.01,NORMAL
227,5770,255,255,0,NORMAL
282,1745,72,255,0.01,NORMAL
212,259,255,255,0,NORMAL
203,1896,255,255,0,NORMAL
297,446,69,255,0.01,NORMAL
0,0,1,90,1,NORMAL
184,5288,2,255,0.5,NORMAL
219,1069,76,255,0.01,NORMAL
304,929,14,252,0.07,NORMAL
288,751,70,255,0.01,NORMAL
197,412,53,255,0.02,NORMAL
302,307,255,255,0,NORMAL
259,7466,9,255,0.11,NORMAL
325,1252,50,255,0.02,NORMAL
237,1273,35,255,0.03,NORMAL
0,0,7,227,0.14,NORMAL
229,782,255,255,0,NORMAL
225,12922,255,255,0,NORMAL
234,3957,255,255,0,NORMAL
209,3299,1,255,1,NORMAL
322,1564,255,255,0,NORMAL
0,0,8,255,0.12,NORMAL
0,0,6,163,0.17,NORMAL
325,3280,25,255,0.04,NORMAL
262,4928,180,255,0.01,NORMAL
204,6356,255,255,0,NORMAL
216,498,255,255,0,NORMAL
200,8633,31,255,0.03,NORMAL
234,622,255,255,0,NORMAL
226,7897,19,255,0.05,NORMAL
153,33054,255,255,0,NORMAL
319,807,255,255,0,NORMAL
234,327,204,255,0,NORMAL
255,453,79,255,0.01,NORMAL
0,0,1,34,1,NORMAL
279,171,6,255,0.17,NORMAL
220,2506,57,255,0.02,NORMAL
212,1744,3,255,0.33,NORMAL
300,3485,40,255,0.03,NORMAL
299,3200,255,255,0,NORMAL
274,397,255,255,0,NORMAL
356,7095,255,255,0,NORMAL
285,1151,22,255,0.05,NORMAL
211,1018,15,255,0.07,NORMAL
227,762,202,255,0,NORMAL
204,4624,98,255,0.01,NORMAL
0,0,255,255,0.01,NORMAL
315,369,255,255,0,NORMAL
153,35215,255,255,0,NORMAL
210,1367,2,255,0.5,NORMAL
203,745,5,255,0.2,NORMAL
266,25618,7,255,0.14,NORMAL
0,0,2,238,0.5,NORMAL
307,272,36,255,0.03,NORMAL
320,12922,255,255,0,NORMAL
308,9021,21,255,0.05,NORMAL
215,597,154,255,0.01,NORMAL
236,3429,83,255,0.01,NORMAL
224,2606,86,255,0.01,NORMAL
225,13038,63,255,0.02,NORMAL
295,6591,21,255,0.05,NORMAL
273,881,135,255,0.01,NORMAL
313,3132,13,255,0.08,NORMAL
249,10478,255,228,0,NORMAL
285,1693,6,255,0.17,NORMAL
213,124,74,255,0.01,NORMAL
239,4062,255,255,0,NORMAL
241,3758,88,255,0.01,NORMAL
186,6267,109,255,0.01,NORMAL
326,1528,255,255,0,NORMAL
0,0,32,179,0.03,NORMAL
309,296,255,255,0,NORMAL
316,267,255,255,0,NORMAL
327,362,255,255,0,NORMAL
317,6821,11,255,0.09,NORMAL
337,4453,255,255,0,NORMAL
454,3177,4,255,0.25,NORMAL
262,431,1,255,1,NORMAL
243,357,12,255,0.08,NORMAL
384,546,36,255,0.03,NORMAL
0,0,3,117,0.33,NORMAL
166,4517,3,255,0.33,NORMAL
171,166,255,255,0,NORMAL
321,986,24,255,0.04,NORMAL
0,0,15,255,0.07,NORMAL
227,1484,174,255,0.01,NORMAL
0,0,8,250,0.12,NORMAL
271,2422,11,255,0.09,NORMAL
209,619,29,255,0.03,NORMAL
248,608,255,255,0,NORMAL
179,18391,255,255,0,NORMAL
232,550,255,255,0,NORMAL
270,44058,130,166,0.01,NORMAL
304,4159,255,255,0,NORMAL
189,12615,4,255,0.25,NORMAL
276,80498,255,225,0,NORMAL
191,5678,8,255,0.12,NORMAL
316,3433,78,255,0.01,NORMAL
229,479,255,255,0,NORMAL
0,0,2,253,0.5,NORMAL
192,1516,8,164,0.12,NORMAL
309,2507,255,234,0,NORMAL
278,5593,25,255,0.04,NORMAL
214,1504,5,255,0.2,NORMAL
204,313,255,255,0,NORMAL
380,5851,255,255,0,NORMAL
237,9308,1,255,1,NORMAL
240,791,54,255,0.02,NORMAL
329,818,46,244,0.02,NORMAL
271,147,1,255,1,NORMAL
227,1300,43,255,0.02,NORMAL
246,2327,60,255,0.02,NORMAL
231,561,11,251,0.09,NORMAL
190,1925,255,255,0,NORMAL
320,11132,34,255,0.03,NORMAL
289,670,255,255,0,NORMAL
330,2155,168,255,0.01,NORMAL
335,728,255,255,0,NORMAL
204,375,160,255,0.01,NORMAL
0,0,8,152,0.12,NORMAL
195,10849,5,255,0.2,NORMAL
291,261,255,255,0,NORMAL
284,8079,31,255,0.03,NORMAL
250,270,255,255,0,NORMAL
234,685,132,255,0.01,NORMAL
273,11943,126,255,0.01,NORMAL
312,1984,55,255,0.02,NORMAL
217,1591,136,255,0.01,NORMAL
225,3926,255,255,0,NORMAL
201,8222,136,255,0.01,NORMAL
218,20131,1,255,1,NORMAL
297,29678,68,255,0.01,NORMAL
232,8119,10,255,0.1,NORMAL
238,1585,93,122,0.01,NORMAL
252,451,255,255,0,NORMAL
352,720,141,255,0.01,NORMAL
192,36186,255,255,0,NORMAL
289,2804,9,155,0.11,NORMAL
342,382,255,255,0,NORMAL
167,10962,108,255,0.01,NORMAL
386,9683,15,255,0.07,NORMAL
263,10939,10,255,0.1,NORMAL
332,281,255,248,0,NORMAL
234,1434,6,255,0.17,NORMAL
315,2084,7,255,0.14,NORMAL
214,278,7,255,0.14,NORMAL
218,1342,34,255,0.03,NORMAL
301,2545,255,255,0,NORMAL
207,3018,50,255,0.02,NORMAL
267,1619,255,239,0,NORMAL
326,2445,78,255,0.01,NORMAL
265,3773,41,255,0.02,NORMAL
336,950,114,255,0.01,NORMAL
164,7096,9,255,0.11,NORMAL
333,1300,16,255,0.06,NORMAL
0,0,2,255,0.5,NORMAL
223,14244,25,255,0.04,NORMAL
228,1621,34,37,0.03,NORMAL
197,321,115,255,0.01,NORMAL
258,4302,1,4,1,NORMAL
220,3876,49,255,0.02,NORMAL
283,450,53,255,0.02,NORMAL
190,1928,255,255,0,NORMAL
322,3327,19,255,0.05,NORMAL
209,2198,19,255,0.05,NORMAL
229,19107,20,255,0.05,NORMAL
229,5048,17,215,0.06,NORMAL
216,1308,130,255,0.01,NORMAL
0,0,41,255,0.02,NORMAL
185,19735,255,255,0,NORMAL
291,1396,255,255,0,NORMAL
327,1041,100,255,0.01,NORMAL
202,5197,4,255,0.25,NORMAL
312,30739,155,255,0.01,NORMAL
0,0,115,219,0.01,NORMAL
261,281,255,249,0,NORMAL
298,279,69,255,0.01,NORMAL
224,693,123,255,0.01,NORMAL
304,2824,97,255,0.01,NORMAL
216,484,70,255,0.01,NORMAL
215,1431,64,255,0.02,NORMAL
180,4199,108,255,0.01,NORMAL
307,782,53,255,0.02,NORMAL
162,2966,1,255,1,NORMAL
314,271,255,255,0,NORMAL
237,876,122,255,0.01,NORMAL
0,381,244,255,0,NORMAL
233,19796,185,255,0.01,NORMAL
289,406,255,255,0,NORMAL
415,235,14,255,0.07,NORMAL
246,392,27,255,0.04,NORMAL
211,43148,180,255,0.01,NORMAL
296,1425,115,119,0.01,NORMAL
288,294,144,255,0.01,NORMAL
233,13614,10,255,0.1,NORMAL
256,3123,110,255,0.01,NORMAL
204,8064,255,255,0,NORMAL
188,5556,228,255,0,NORMAL
171,4145,214,214,0,NORMAL
313,927,8,255,0.12,NORMAL
297,1645,15,255,0.07,NORMAL
232,310,255,255,0,NORMAL
222,1159,6,255,0.17,NORMAL
240,369,4,255,0.25,NORMAL
328,321,255,255,0,NORMAL
219,1579,60,255,0.02,NORMAL
240,6445,255,255,0,NORMAL
235,405,255,255,0,NORMAL
335,630,9,255,0.11,NORMAL
299,1075,81,80,0.01,NORMAL
201,2491,255,255,0,NORMAL
267,23875,211,247,0,NORMAL
377,2654,78,255,0.01,NORMAL
185,504,255,255,0,NORMAL
215,3256,32,255,0.03,NORMAL
235,12623,255,255,0,NORMAL
236,13452,1,255,1,NORMAL
230,1582,21,255,0.05,NORMAL
241,300,255,255,0,NORMAL
0,0,8,231,0.12,NORMAL
238,3307,3,255,0.33,NORMAL
204,9180,154,255,0.01,NORMAL
232,2382,255,255,0,NORMAL
228,686,26,255,0.04,NORMAL
229,2658,255,255,0,NORMAL
344,4438,43,255,0.02,NORMAL
216,272,82,255,0.01,NORMAL
151,632,12,255,0.08,NORMAL
294,1680,61,255,0.02,NORMAL
199,337,255,255,0,NORMAL
266,11875,255,255,0,NORMAL
316,1698,59,255,0.02,NORMAL
199,463,36,255,0.03,NORMAL
216,1335,12,255,0.08,NORMAL
346,1664,12,255,0.08,NORMAL
277,2445,16,255,0.06,NORMAL
249,2093,14,255,0.07,NORMAL
352,3461,145,255,0.01,NORMAL
306,1380,255,251,0,NORMAL
282,362,255,255,0,NORMAL
214,765,255,255,0,NORMAL
232,458,70,255,0.01,NORMAL
0,0,7,126,0.14,NORMAL
0,0,39,245,0.03,NORMAL
313,3400,255,255,0,NORMAL
200,9248,255,255,0,NORMAL
0,0,6,250,0.17,NORMAL
0,0,250,207,0,NORMAL
334,277,67,63,0.01,NORMAL
154,2898,79,255,0.01,NORMAL
228,7897,12,255,0.08,NORMAL
222,685,102,255,0.01,NORMAL
208,1626,29,255,0.03,NORMAL
204,0,3,255,0.67,NORMAL
256,2851,255,255,0,NORMAL
0,0,2,255,0.5,NORMAL
297,2531,67,67,0.01,NORMAL
194,11593,8,255,0.12,NORMAL
153,8386,255,255,0,NORMAL
316,367,255,255,0,NORMAL
185,9525,69,255,0.01,NORMAL
240,1919,255,255,0,NORMAL
250,5200,153,255,0.01,NORMAL
208,511,255,255,0,NORMAL
233,3461,122,255,0.01,NORMAL
295,1158,97,255,0.01,NORMAL
276,6042,196,255,0.01,NORMAL
260,555,255,255,0,NORMAL
222,4859,20,255,0.05,NORMAL
294,220,7,255,0.14,NORMAL
255,1817,255,255,0,NORMAL
193,369,2,255,0.5,NORMAL
218,14638,255,255,0,NORMAL
190,491,10,255,0.1,NORMAL
0,0,28,12,0.04,NORMAL
302,420,255,255,0,NORMAL
302,498,131,255,0.01,NORMAL
261,12236,21,255,0.05,NORMAL
322,295,255,255,0,NORMAL
320,12922,129,255,0.01,NORMAL
344,1180,38,255,0.03,NORMAL
200,3042,42,255,0.02,NORMAL
343,2381,78,255,0.01,NORMAL
322,1461,255,255,0,NORMAL
231,2239,255,247,0,NORMAL
229,9257,255,255,0,NORMAL
342,2787,84,255,0.01,NORMAL
194,458,4,255,0.25,NORMAL
245,2435,27,29,0.04,NORMAL
326,635,8,11,0.12,NORMAL
233,2121,207,255,0,NORMAL
360,3176,2,255,0.5,NORMAL
272,477,56,255,0.02,NORMAL
325,12884,72,72,0.01,NORMAL
239,2551,255,255,0,NORMAL
319,2452,211,255,0,NORMAL
190,170,32,47,0.03,NORMAL
204,28271,5,255,0.2,NORMAL
318,337,16,255,0.06,NORMAL
317,7524,255,255,0,NORMAL
324,7564,255,255,0,NORMAL
323,741,255,255,0,NORMAL
306,574,6,255,0.17,NORMAL
319,1384,9,193,0.11,NORMAL
253,607,255,255,0,NORMAL
313,173,124,127,0.01,NORMAL
330,932,255,255,0,NORMAL
289,313,227,255,0,NORMAL
272,872,76,255,0.01,NORMAL
246,1304,148,255,0.01,NORMAL
226,1411,37,255,0.03,NORMAL
235,1200,117,153,0.01,NORMAL
237,2325,255,255,0,NORMAL
204,616,25,255,0.04,NORMAL
219,2226,255,255,0,NORMAL
249,14113,4,255,0.25,NORMAL
300,1400,180,255,0.01,NORMAL
212,2526,255,255,0,NORMAL
0,0,13,22,0.08,NORMAL
0,0,6,219,0.17,NORMAL
212,2120,255,255,0,NORMAL
163,1837,6,255,0.17,NORMAL
318,762,104,255,0.01,NORMAL
208,4080,55,255,0.02,NORMAL
208,1660,24,255,0.04,NORMAL
208,6078,5,255,0.2,NORMAL
286,22841,255,255,0,NORMAL
199,940,6,255,0.17,NORMAL
295,35949,5,255,0.2,NORMAL
190,1410,88,255,0.01,NORMAL
267,2611,26,255,0.04,NORMAL
0,0,110,255,0.01,NORMAL
213,2759,14,255,0.07,NORMAL
240,2698,255,246,0,NORMAL
0,0,3,254,0.67,NORMAL
295,415,255,255,0,NORMAL
214,334,20,255,0.05,NORMAL
197,1425,237,237,0,NORMAL
321,3150,41,255,0.02,NORMAL
325,403,55,255,0.02,NORMAL
307,190,255,255,0,NORMAL
277,260,15,255,0.07,NORMAL
330,667,255,255,0,NORMAL
197,313,104,255,0.01,NORMAL
324,3410,255,255,0,NORMAL
204,2457,255,255,0,NORMAL
361,5374,25,255,0.04,NORMAL
151,0,68,255,0.01,NORMAL
237,1582,22,255,0.05,NORMAL
281,4770,16,255,0.06,NORMAL
146,15634,255,255,0,NORMAL
261,10939,18,255,0.06,NORMAL
252,893,110,237,0.01,NORMAL
303,2507,228,220,0,NORMAL
306,541,166,255,0.01,NORMAL
223,337,255,255,0,NORMAL
312,3040,36,255,0.03,NORMAL
233,1645,255,255,0,NORMAL
308,1178,20,255,0.05,NORMAL
0,0,1,238,1,NORMAL
0,0,24,249,0.04,NORMAL
219,3846,90,255,0.01,NORMAL
236,18957,255,255,0,NORMAL
294,1600,255,255,0.01,NORMAL
313,5105,36,255,0.03,NORMAL
337,2214,181,255,0.01,NORMAL
309,435,252,255,0,NORMAL
156,11431,15,255,0.07,NORMAL
199,344,78,255,0.01,NORMAL
189,5360,40,255,0.03,NORMAL
0,0,23,255,0.04,NORMAL
265,255,255,255,0,NORMAL
201,1263,33,255,0.03,NORMAL
286,2887,8,255,0.12,NORMAL
242,2708,25,255,0.04,NORMAL
183,361,255,255,0,NORMAL
224,2325,67,255,0.01,NORMAL
255,2042,68,255,0.01,NORMAL
219,11487,15,255,0.07,NORMAL
218,1023,54,255,0.02,NORMAL
260,1596,43,240,0.02,NORMAL
347,6106,152,255,0.01,NORMAL
193,757,85,255,0.01,NORMAL
281,326,255,255,0,NORMAL
323,952,1,61,1,NORMAL
170,5898,82,255,0.01,NORMAL
170,1267,46,255,0.02,NORMAL
0,0,11,255,0.09,NORMAL
295,2447,1,255,1,NORMAL
224,1918,255,255,0,NORMAL
327,1310,1,204,1,NORMAL
247,1104,62,255,0.02,NORMAL
0,0,5,255,0.2,NORMAL
325,2782,76,255,0.01,NORMAL
325,4757,35,255,0.03,NORMAL
185,25618,14,255,0.07,NORMAL
313,462,255,255,0,NORMAL
197,4850,10,255,0.1,NORMAL
328,412,255,255,0,NORMAL
321,547,255,255,0,NORMAL
214,693,161,255,0.01,NORMAL
180,1745,255,255,0,NORMAL
209,934,255,255,0,NORMAL
347,1596,255,255,0,NORMAL
302,133940,3,255,0.33,NORMAL
166,8578,28,255,0.04,NORMAL
175,8520,25,255,0.04,NORMAL
277,7039,255,255,0,NORMAL
213,2019,199,255,0.01,NORMAL
185,4926,255,251,0,NORMAL
238,477,43,255,0.02,NORMAL
285,3083,10,255,0.1,NORMAL
354,476,84,255,0.01,NORMAL
318,4430,4,255,0.25,NORMAL
224,321,121,255,0.01,NORMAL
0,0,25,253,0.04,NORMAL
234,3918,94,255,0.01,NORMAL
193,2148,83,255,0.01,NORMAL
307,1849,255,255,0,NORMAL
324,1247,14,255,0.07,NORMAL
288,2025,96,255,0.01,NORMAL
