% isAttack tcpFlood:	571
% isAttack normal:	571
% isAttack slowRead:	571
% isAttack httpFlood:	571
% isAttack slowHeaders:	571
% isAttack udpFlood:	372
% isAttack slowBody:	571
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R2-3,9,12,18,27'

@attribute protocol_type {tcp,icmp,udp}
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute srv_count numeric
@attribute rerror_rate numeric
@attribute dst_host_srv_count numeric
@attribute isAttack {tcpFlood,normal,httpFlood,slowRead,slowHeaders,udpFlood,slowBody}

@data
tcp,SF,8,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,7,0,255,normal
tcp,REJ,2,1,237,normal
tcp,SF,7,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,35,0,255,normal
tcp,REJ,1,1,33,normal
tcp,SF,5,0,255,normal
tcp,SF,13,0,42,normal
tcp,REJ,2,1,19,normal
tcp,REJ,1,1,245,normal
tcp,SF,2,0,255,normal
tcp,REJ,2,1,247,normal
tcp,SF,18,0,255,normal
tcp,SF,42,0,219,normal
tcp,SF,3,0,255,normal
tcp,SF,14,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,11,0,168,normal
tcp,SF,35,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,61,0,255,normal
tcp,SF,30,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,25,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,16,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,32,0,252,normal
tcp,SF,1,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,9,0,247,normal
tcp,SF,9,0,255,normal
tcp,S0,2,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,21,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,23,0,255,normal
tcp,SF,24,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,14,0,255,normal
tcp,REJ,2,1,255,normal
tcp,SF,15,0,231,normal
tcp,SF,4,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,30,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,14,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,3,0,255,normal
tcp,SF,36,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,30,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,20,0,255,normal
tcp,SF,38,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,19,0,255,normal
tcp,SF,25,0,255,normal
tcp,SF,7,0,249,normal
tcp,SF,17,0,255,normal
tcp,SF,58,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,24,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,26,0,255,normal
tcp,SF,14,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,29,0,255,normal
tcp,SF,34,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,7,0,255,normal
tcp,REJ,1,1,254,normal
tcp,REJ,2,1,195,normal
tcp,REJ,1,1,253,normal
tcp,SF,22,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,7,0,251,normal
tcp,SF,26,0,255,normal
tcp,SF,32,0,255,normal
tcp,SF,16,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,24,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,6,0,85,normal
tcp,SF,9,0,10,normal
tcp,SF,35,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,59,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,52,0,255,normal
tcp,SF,23,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,14,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,20,0,255,normal
tcp,SF,2,0,255,normal
tcp,REJ,1,1,151,normal
tcp,SF,2,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,35,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,29,0,255,normal
tcp,SF,73,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,1,0,255,normal
tcp,REJ,2,1,46,normal
tcp,SF,3,0,255,normal
tcp,REJ,1,1,247,normal
tcp,SF,6,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,24,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,18,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,6,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,25,0,255,normal
tcp,REJ,1,1,103,normal
tcp,SF,11,0,255,normal
tcp,S0,11,0,255,normal
tcp,SF,28,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,25,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,5,0,255,normal
tcp,SF,47,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,3,0,255,normal
tcp,REJ,9,0.56,102,normal
tcp,SF,10,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,7,0,255,normal
tcp,REJ,1,1,253,normal
tcp,SF,24,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,29,0,255,normal
tcp,SF,6,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,13,0,239,normal
tcp,SF,3,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,11,0,163,normal
tcp,SF,23,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,40,0,255,normal
tcp,SF,13,0,241,normal
tcp,SF,24,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,8,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,29,0,255,normal
tcp,SF,35,0,255,normal
tcp,SF,24,0.17,179,normal
tcp,SF,20,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,28,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,7,0,196,normal
tcp,SF,5,0,255,normal
tcp,SF,56,0,255,normal
tcp,SF,27,0,254,normal
tcp,SF,2,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,1,0,99,normal
tcp,SF,17,0,255,normal
tcp,SF,20,0,255,normal
tcp,SF,16,0.09,255,normal
tcp,SF,3,0,255,normal
tcp,SF,5,0,251,normal
tcp,SF,4,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,19,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,20,0,255,normal
tcp,REJ,1,1,214,normal
tcp,SF,2,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,45,0,255,normal
tcp,S2,4,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,20,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,43,0,255,normal
tcp,REJ,2,1,255,normal
tcp,SF,7,0,255,normal
tcp,SF,21,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,30,0,255,normal
tcp,SF,55,0,255,normal
tcp,S2,1,0,248,normal
tcp,SF,4,0,245,normal
tcp,SF,36,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,17,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,2,0,245,normal
tcp,SF,40,0,255,normal
tcp,SF,24,0,255,normal
tcp,REJ,1,1,165,normal
tcp,SF,3,0,255,normal
tcp,SF,3,0.33,255,normal
tcp,SF,9,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,35,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,32,0,255,normal
tcp,SF,38,0,255,normal
tcp,REJ,1,1,255,normal
tcp,S1,1,0,255,normal
tcp,SF,32,0,255,normal
tcp,SF,31,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,42,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,14,0,255,normal
tcp,SF,2,0,255,normal
tcp,REJ,1,1,146,normal
tcp,SF,2,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,3,0,252,normal
tcp,SF,10,0,255,normal
tcp,REJ,1,1,255,normal
tcp,SF,9,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,31,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,54,0,108,normal
tcp,REJ,1,1,165,normal
tcp,SF,11,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,28,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,13,0,255,normal
tcp,SF,8,0,119,normal
tcp,SF,17,0,255,normal
tcp,SF,28,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,10,0,255,normal
tcp,SF,34,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,26,0,255,normal
tcp,SF,2,0,2,normal
tcp,SF,13,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,29,0,255,normal
tcp,REJ,2,1,255,normal
tcp,SF,5,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,16,0,255,normal
tcp,SF,1,0,131,normal
tcp,SF,1,0,41,normal
tcp,SF,8,0,255,normal
tcp,SF,36,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,22,0,255,normal
tcp,SF,2,0,255,normal
tcp,SF,30,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,13,0,247,normal
tcp,SF,18,0,255,normal
tcp,SF,6,0,255,normal
tcp,SF,8,0,255,normal
tcp,SF,12,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,23,0,255,normal
tcp,SF,9,0,255,normal
tcp,SF,11,0,242,normal
tcp,SF,13,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,9,0,255,normal
tcp,REJ,4,0.75,189,normal
tcp,SF,11,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,26,0,255,normal
tcp,SF,18,0,255,normal
tcp,SF,7,0,255,normal
tcp,SF,12,0,191,normal
tcp,SF,15,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,6,0,254,normal
tcp,SF,35,0,255,normal
tcp,SF,1,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,5,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,15,0,255,normal
tcp,SF,16,0,255,normal
tcp,SF,3,0,255,normal
tcp,SF,13,0,24,normal
tcp,SF,2,0,255,normal
tcp,SF,7,0,255,normal
tcp,REJ,17,0.76,188,normal
tcp,SF,71,0,255,normal
tcp,REJ,1,1,47,normal
tcp,SF,17,0,255,normal
tcp,SF,4,0,255,normal
tcp,SF,5,0,244,normal
tcp,SF,3,0,255,normal
tcp,SF,11,0,255,normal
tcp,SF,9,0,255,normal
tcp,OTH,26065,0,75,tcpFlood
tcp,OTH,5798,0,70,tcpFlood
tcp,OTH,16903,0,71,tcpFlood
tcp,OTH,8297,0,67,tcpFlood
tcp,OTH,12277,0,71,tcpFlood
tcp,OTH,8129,0,71,tcpFlood
tcp,OTH,20424,0,64,tcpFlood
tcp,OTH,10602,0,65,tcpFlood
tcp,OTH,22482,0,64,tcpFlood
tcp,OTH,23547,0,66,tcpFlood
tcp,OTH,7145,0,57,tcpFlood
tcp,OTH,10908,0,70,tcpFlood
tcp,OTH,7560,0,65,tcpFlood
tcp,OTH,5571,0,73,tcpFlood
tcp,OTH,6333,0,67,tcpFlood
tcp,OTH,16614,0,76,tcpFlood
tcp,OTH,22645,0,66,tcpFlood
tcp,OTH,317,0,71,tcpFlood
tcp,OTH,5457,0,68,tcpFlood
tcp,OTH,20717,0,63,tcpFlood
tcp,OTH,10387,0,70,tcpFlood
tcp,OTH,1851,0,69,tcpFlood
tcp,OTH,9889,0,71,tcpFlood
tcp,OTH,4518,0,66,tcpFlood
tcp,OTH,15195,0,68,tcpFlood
tcp,OTH,6776,0,69,tcpFlood
tcp,OTH,21826,0,65,tcpFlood
tcp,OTH,4590,0,62,tcpFlood
tcp,OTH,7977,0,72,tcpFlood
tcp,OTH,12097,0,67,tcpFlood
tcp,OTH,24058,0,76,tcpFlood
tcp,OTH,20170,0,66,tcpFlood
tcp,OTH,9890,0,68,tcpFlood
tcp,OTH,23812,0,65,tcpFlood
tcp,OTH,13,0,13,tcpFlood
tcp,OTH,20387,0,64,tcpFlood
tcp,OTH,15235,0,74,tcpFlood
tcp,OTH,12898,0,80,tcpFlood
tcp,OTH,8340,0,71,tcpFlood
tcp,OTH,27017,0,69,tcpFlood
tcp,OTH,11800,0,69,tcpFlood
tcp,OTH,2718,0,74,tcpFlood
tcp,OTH,11521,0,67,tcpFlood
tcp,OTH,8192,0,69,tcpFlood
tcp,OTH,6468,0,68,tcpFlood
tcp,OTH,4590,0,66,tcpFlood
tcp,OTH,20462,0,73,tcpFlood
tcp,OTH,8185,0,73,tcpFlood
tcp,OTH,22336,0,67,tcpFlood
tcp,OTH,16674,0,76,tcpFlood
tcp,OTH,8553,0,71,tcpFlood
tcp,OTH,11799,0,75,tcpFlood
tcp,OTH,12166,0,70,tcpFlood
tcp,OTH,9427,0,70,tcpFlood
tcp,OTH,20947,0,74,tcpFlood
tcp,OTH,26959,0,70,tcpFlood
tcp,OTH,14118,0,74,tcpFlood
tcp,OTH,11519,0,67,tcpFlood
tcp,OTH,9867,0,68,tcpFlood
tcp,OTH,26628,0,70,tcpFlood
tcp,OTH,9976,0,71,tcpFlood
tcp,OTH,6505,0,71,tcpFlood
tcp,OTH,9487,0,75,tcpFlood
tcp,OTH,16222,0,71,tcpFlood
tcp,OTH,7209,0,76,tcpFlood
tcp,OTH,10115,0,73,tcpFlood
tcp,OTH,10090,0,70,tcpFlood
tcp,OTH,9992,0,70,tcpFlood
tcp,OTH,23082,0,71,tcpFlood
tcp,OTH,7251,0,69,tcpFlood
tcp,OTH,8131,0,68,tcpFlood
tcp,OTH,6567,0,70,tcpFlood
tcp,OTH,25467,0,68,tcpFlood
tcp,OTH,7644,0,64,tcpFlood
tcp,OTH,6281,0,69,tcpFlood
tcp,OTH,11690,0,62,tcpFlood
tcp,OTH,4139,0,65,tcpFlood
tcp,OTH,22656,0,68,tcpFlood
tcp,OTH,9799,0,74,tcpFlood
tcp,OTH,10863,0,68,tcpFlood
tcp,OTH,20383,0,67,tcpFlood
tcp,OTH,13947,0,69,tcpFlood
tcp,OTH,3598,0,70,tcpFlood
tcp,OTH,9827,0,67,tcpFlood
tcp,OTH,8725,0,67,tcpFlood
tcp,OTH,27018,0,65,tcpFlood
tcp,OTH,19686,0,71,tcpFlood
tcp,OTH,19546,0,69,tcpFlood
tcp,OTH,8040,0,72,tcpFlood
tcp,OTH,11624,0,70,tcpFlood
tcp,OTH,25345,0,70,tcpFlood
tcp,OTH,710,0,69,tcpFlood
tcp,OTH,7464,0,75,tcpFlood
tcp,OTH,9390,0,64,tcpFlood
tcp,OTH,9901,0,71,tcpFlood
tcp,OTH,14825,0,65,tcpFlood
tcp,OTH,15521,0,61,tcpFlood
tcp,OTH,3714,0,63,tcpFlood
tcp,OTH,20623,0,64,tcpFlood
tcp,OTH,24616,0,66,tcpFlood
tcp,OTH,22843,0,66,tcpFlood
tcp,OTH,23674,0,67,tcpFlood
tcp,OTH,6022,0,75,tcpFlood
tcp,OTH,7331,0,74,tcpFlood
tcp,OTH,2299,0,64,tcpFlood
tcp,OTH,5521,0,75,tcpFlood
tcp,OTH,4541,0,67,tcpFlood
tcp,OTH,5561,0,70,tcpFlood
tcp,OTH,5242,0,72,tcpFlood
tcp,OTH,8684,0,71,tcpFlood
tcp,OTH,2123,0,65,tcpFlood
tcp,OTH,6233,0,67,tcpFlood
tcp,OTH,15474,0,67,tcpFlood
tcp,OTH,11120,0,69,tcpFlood
tcp,OTH,8420,0,68,tcpFlood
tcp,OTH,22738,0,69,tcpFlood
tcp,OTH,25991,0,72,tcpFlood
tcp,OTH,5500,0,64,tcpFlood
tcp,OTH,6220,0,71,tcpFlood
tcp,OTH,6353,0,70,tcpFlood
tcp,OTH,26696,0,66,tcpFlood
tcp,OTH,10930,0,73,tcpFlood
tcp,OTH,5642,0,68,tcpFlood
tcp,OTH,6540,0,71,tcpFlood
tcp,OTH,15117,0,77,tcpFlood
tcp,OTH,6930,0,68,tcpFlood
tcp,OTH,21965,0,68,tcpFlood
tcp,OTH,9326,0,65,tcpFlood
tcp,OTH,8296,0,66,tcpFlood
tcp,OTH,8826,0,66,tcpFlood
tcp,OTH,12049,0,72,tcpFlood
tcp,OTH,5728,0,67,tcpFlood
tcp,OTH,25800,0,64,tcpFlood
tcp,OTH,15889,0,73,tcpFlood
tcp,OTH,1529,0,69,tcpFlood
tcp,OTH,19264,0,67,tcpFlood
tcp,OTH,22916,0,71,tcpFlood
tcp,OTH,10821,0,73,tcpFlood
tcp,OTH,13132,0,76,tcpFlood
tcp,OTH,5514,0,74,tcpFlood
tcp,OTH,6591,0,72,tcpFlood
tcp,OTH,8177,0,72,tcpFlood
tcp,OTH,10075,0,73,tcpFlood
tcp,OTH,21023,0,69,tcpFlood
tcp,OTH,19419,0,67,tcpFlood
tcp,OTH,15696,0,73,tcpFlood
tcp,OTH,11538,0,68,tcpFlood
tcp,OTH,18018,0,75,tcpFlood
tcp,OTH,5503,0,71,tcpFlood
tcp,OTH,10701,0,71,tcpFlood
tcp,OTH,7536,0,68,tcpFlood
tcp,OTH,10274,0,70,tcpFlood
tcp,OTH,4240,0,71,tcpFlood
tcp,OTH,8053,0,70,tcpFlood
tcp,OTH,26769,0,65,tcpFlood
tcp,OTH,20664,0,69,tcpFlood
tcp,OTH,8956,0,68,tcpFlood
tcp,OTH,8636,0,67,tcpFlood
tcp,OTH,6728,0,68,tcpFlood
tcp,OTH,11099,0,69,tcpFlood
tcp,OTH,6555,0,71,tcpFlood
tcp,OTH,12457,0,74,tcpFlood
tcp,OTH,11702,0,65,tcpFlood
tcp,OTH,3205,0,67,tcpFlood
tcp,OTH,15069,0,72,tcpFlood
tcp,OTH,19644,0,53,tcpFlood
tcp,OTH,4679,0,67,tcpFlood
tcp,OTH,14811,0,71,tcpFlood
tcp,OTH,6493,0,67,tcpFlood
tcp,OTH,6090,0,72,tcpFlood
tcp,OTH,5158,0,67,tcpFlood
tcp,OTH,10607,0,67,tcpFlood
tcp,OTH,9899,0,71,tcpFlood
tcp,OTH,14842,0,71,tcpFlood
tcp,OTH,6968,0,71,tcpFlood
tcp,OTH,17369,0,76,tcpFlood
tcp,OTH,5566,0,70,tcpFlood
tcp,OTH,10601,0,70,tcpFlood
